drug_name	total_signals	female_signals	male_signals	mean_log_ratio	total_reports	pct_female
PAROXETINE	186	90	96	-0.028459601353228416	20526	48.4
IBRUTINIB	186	120	66	0.2457756252398331	16494	64.5
FLUDARABINE	184	155	29	0.7032456207740737	20045	84.2
UPADACITINIB	181	44	137	-0.41709966533361764	25807	24.3
RIBAVIRIN	181	118	63	0.2091582113409631	28591	65.2
EMTRICITABINE;TENOFOVIR	181	86	95	0.04493989684753397	49043	47.5
CARBAMAZEPINE	180	70	110	-0.17731311165628816	23460	38.9
DABIGATRAN	176	140	36	0.4630212848459518	27974	79.5
CLARITHROMYCIN	175	65	110	-0.24101439913247877	20905	37.1
MOXIFLOXACIN	175	103	72	0.2483898299370124	44557	58.9
FLUTICASONE;VILANTEROL	175	33	142	-0.7227570318470353	30645	18.9
FOLINIC ACID	175	114	61	0.23187127009467234	15735	65.1
BUPROPION	174	94	80	0.08156141475490408	42848	54.0
GEMCITABINE	173	133	40	0.5178777943622063	17140	76.9
HYDROCHLOROTHIAZIDE	171	70	101	-0.16748997138475238	24857	40.9
TRIAMCINOLONE	170	102	68	0.7006070335917893	63655	60.0
INTERFERON BETA-1A	170	22	148	-0.6031996920190307	54014	12.9
ANTITHYMOCYTE IMMUNOGLOBULIN	169	133	36	0.6098523582261663	18264	78.7
DILTIAZEM	169	113	56	0.5072146182634624	38660	66.9
BACLOFEN	168	83	85	-0.1264297861746298	25615	49.4
VENETOCLAX	168	121	47	0.41064834085657376	13784	72.0
CEFTRIAXONE	167	107	60	0.13459163908045188	23763	64.1
TREPROSTINIL	165	53	112	-0.31640930519803906	29005	32.1
LENVATINIB	165	103	62	0.27664475633219715	20695	62.4
AMOXICILLIN;CLAVULANIC ACID	162	69	93	-0.218908864203016	16240	42.6
SPIRONOLACTONE	162	81	81	0.0575305049975062	16039	50.0
ZOPICLONE	161	97	64	0.36752846353427754	32218	60.2
OXYBATE SODIUM	161	48	113	-0.31935061383917424	24270	29.8
PALIPERIDONE	161	138	23	0.6897213143157772	26483	85.7
IPILIMUMAB	161	122	39	0.4198854125927442	16765	75.8
FINGOLIMOD	159	31	128	-0.4978385432002408	27922	19.5
HALOPERIDOL	158	89	69	0.13251392182305843	15731	56.3
SACUBITRIL;VALSARTAN	157	106	51	0.2958872932052654	15339	67.5
IMATINIB	155	127	28	0.5028391923899597	10426	81.9
SITAGLIPTIN	154	85	69	0.19289985288208625	16149	55.2
DAPAGLIFLOZIN	154	91	63	0.09122909626867501	21705	59.1
SEMAGLUTIDE	152	48	104	-0.27849717351305925	16845	31.6
SODIUM CHLORIDE	152	40	112	-0.4675070151810616	15791	26.3
ATEZOLIZUMAB	152	126	26	0.575511628417155	15288	82.9
TRAZODONE	151	99	52	0.4611145613811324	30456	65.6
COVID-19 VACCINE	148	64	84	-0.2200755184505528	19974	43.2
METHYLPHENIDATE	147	114	33	0.473819476293407	23810	77.6
ZOLPIDEM	146	88	58	0.1253259948280049	16359	60.3
VORICONAZOLE	145	127	18	0.7333739501434567	11730	87.6
HEPARIN	144	92	52	0.11886402076227237	13547	63.9
LITHIUM	143	71	72	-0.1216666087829953	14048	49.7
CODEINE;PARACETAMOL	141	118	23	1.0826069925080195	51030	83.7
NATALIZUMAB	141	32	109	-0.4376351716069036	50013	22.7
FUMARIC ACID	139	20	119	-0.6457378413132887	46657	14.4
FLUCONAZOLE	138	90	48	0.43684960803528083	21860	65.2
ASPIRIN	137	113	24	0.5828168367565121	13523	82.5
RISANKIZUMAB	137	41	96	-0.2802765546459804	11434	29.9
MAGNESIUM	136	68	68	0.03652901373443314	37258	50.0
OCRELIZUMAB	136	39	97	-0.3160764822462517	22651	28.7
ATENOLOL	136	90	46	0.3516873289550187	17447	66.2
TICAGRELOR	136	108	28	0.47251623145656424	13982	79.4
ECULIZUMAB	136	48	88	-0.2533023959399389	10679	35.3
PIPERACILLIN;TAZOBACTAM	136	117	19	0.6688307427043162	11434	86.0
MELPHALAN	134	113	21	0.6703769051680545	10650	84.3
POTASSIUM	134	62	72	-0.14885001844844492	18736	46.3
IRINOTECAN	134	90	44	0.2860754870739178	13157	67.2
PEMETREXED	133	104	29	0.518510907380345	12068	78.2
NILOTINIB	132	103	29	0.42859942175059235	10089	78.0
EVOLOCUMAB	131	25	106	-0.48767147216314516	61153	19.1
ACICLOVIR	131	88	43	0.32211798903183486	11385	67.2
LOSARTAN	130	64	66	0.0018647361927523441	13163	49.2
BETAMETHASONE	130	46	84	-0.42455346183797904	25712	35.4
IPRATROPIUM	129	59	70	-0.2011942680471139	19970	45.7
POMALIDOMIDE	128	73	55	0.10174132800990193	14830	57.0
PROPOFOL	128	72	56	0.13170209775148553	10575	56.2
RUXOLITINIB	127	89	38	0.33844295082276454	9309	70.1
AMBRISENTAN	125	41	84	-0.25177278705045847	23166	32.8
EPINEPHRINE	125	51	74	-0.35700358236437907	16339	40.8
MINOXIDIL	125	55	70	-0.07940440233899572	67899	44.0
LINEZOLID	124	100	24	0.5416089710928427	11340	80.6
BOTULINUM TOXIN	124	54	70	-0.19994808549052892	48538	43.5
PROPRANOLOL	123	34	89	-0.47334025430168675	14247	27.6
PEGINTERFERON ALFA-2A	123	63	60	0.006917085952036748	16418	51.2
PERINDOPRIL	123	84	39	0.40523821717918235	14564	68.3
CICLESONIDE	123	43	80	-0.3643440087327904	23633	35.0
PEGASPARGASE	122	96	26	0.5214680540538286	10533	78.7
GLUCOSE;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	122	70	52	0.08630620494137989	24790	57.4
SUNITINIB	122	80	42	0.2746360598822818	12548	65.6
LAMIVUDINE	120	86	34	0.45347718740817905	16206	71.7
