adverse_event	n_total	n_drugs	n_female	n_male	pct_female
Colitis ulcerative	75	75	51	24	68.0
Jaundice	75	75	54	21	72.0
Nephrolithiasis	74	74	29	45	39.2
Renal failure acute	74	74	65	9	87.8
Low birth weight baby	74	74	35	39	47.3
Restlessness	74	74	48	26	64.9
Dementia	73	73	51	22	69.9
Hypoacusis	73	73	40	33	54.8
Drug eruption	73	73	50	23	68.5
Blood bilirubin increased	73	73	52	21	71.2
Rash pruritic	73	73	49	24	67.1
Orthostatic hypotension	72	72	54	18	75.0
Sedation	72	72	37	35	51.4
Neutrophil count decreased	72	72	39	33	54.2
Nervousness	72	72	10	62	13.9
Systemic lupus erythematosus	71	71	32	39	45.1
Altered state of consciousness	71	71	55	16	77.5
Eye irritation	71	71	10	61	14.1
Anaphylactic shock	71	71	29	42	40.8
Gamma-glutamyltransferase increased	71	71	44	27	62.0
Stevens-Johnson syndrome	71	71	58	13	81.7
Skin lesion	71	71	34	37	47.9
Nervous system disorder	71	71	30	41	42.3
Swollen tongue	70	70	25	45	35.7
Pallor	70	70	32	38	45.7
Leukocytosis	70	70	36	34	51.4
Hepatic steatosis	70	70	30	40	42.9
Joint stiffness	70	70	39	31	55.7
Mucosal inflammation	69	69	49	20	71.0
Pollakiuria	69	69	40	29	58.0
Bronchiectasis	69	69	22	47	31.9
Gout	69	69	36	33	52.2
Vasculitis	69	69	13	56	18.8
Staphylococcal infection	69	69	40	29	58.0
Accidental exposure to product	69	69	11	58	15.9
Aphasia	68	68	41	27	60.3
Angina pectoris	68	68	51	17	75.0
Urinary incontinence	68	68	29	39	42.6
Disseminated intravascular coagulation	68	68	57	11	83.8
Aggression	68	68	46	22	67.6
Ocular hyperaemia	67	67	25	42	37.3
Lip swelling	67	67	19	48	28.4
Skin ulcer	67	67	44	23	65.7
Tubulointerstitial nephritis	67	67	39	28	58.2
Intestinal obstruction	67	67	40	27	59.7
Feeling cold	67	67	22	45	32.8
Haematoma	67	67	51	16	76.1
Skin disorder	66	66	40	26	60.6
Disturbance in attention	66	66	30	36	45.5
Psoriatic arthropathy	66	66	48	18	72.7
Injection site erythema	66	66	5	61	7.6
Ischaemic stroke	66	66	36	30	54.5
Diverticulitis	66	66	22	44	33.3
Flatulence	66	66	29	37	43.9
Product prescribing error	65	65	19	46	29.2
Blood test abnormal	65	65	38	27	58.5
Candida infection	65	65	22	43	33.8
Impaired work ability	65	65	20	45	30.8
Deafness	65	65	46	19	70.8
Acute hepatic failure	65	65	39	26	60.0
Joint injury	65	65	27	38	41.5
Visual acuity reduced	65	65	20	45	30.8
Eye swelling	64	64	8	56	12.5
Photosensitivity reaction	64	64	13	51	20.3
Blood alkaline phosphatase increased	64	64	40	24	62.5
Drug withdrawal syndrome	64	64	54	10	84.4
Ejection fraction decreased	64	64	36	28	56.2
Gastric disorder	64	64	26	38	40.6
Haematemesis	64	64	45	19	70.3
Ventricular fibrillation	64	64	38	26	59.4
Hepatic cirrhosis	64	64	56	8	87.5
Neurotoxicity	64	64	58	6	90.6
Prescribed overdose	64	64	45	19	70.3
Red blood cell count decreased	64	64	26	38	40.6
Brain oedema	64	64	39	25	60.9
Melaena	64	64	55	9	85.9
Cystitis	63	63	25	38	39.7
Unresponsive to stimuli	63	63	47	16	74.6
Dyskinesia	63	63	41	22	65.1
Tachypnoea	63	63	42	21	66.7
Nodule	63	63	9	54	14.3
Lacrimation increased	63	63	23	40	36.5
Presyncope	63	63	20	43	31.7
Cardiomyopathy	63	63	39	24	61.9
Blindness	63	63	18	45	28.6
Throat irritation	63	63	19	44	30.2
Panic attack	63	63	10	53	15.9
Cholelithiasis	63	63	27	36	42.9
Pneumothorax	62	62	39	23	62.9
Hypomagnesaemia	62	62	44	18	71.0
Frequent bowel movements	62	62	37	25	59.7
Lung neoplasm malignant	62	62	43	19	69.4
Rash papular	61	61	5	56	8.2
Bacteraemia	61	61	43	18	70.5
Cytopenia	61	61	51	10	83.6
Underdose	61	61	44	17	72.1
Femur fracture	61	61	6	55	9.8
Diplopia	61	61	18	43	29.5
Neoplasm malignant	61	61	49	12	80.3
Hyperbilirubinaemia	60	60	43	17	71.7
Pulmonary congestion	60	60	21	39	35.0
Irritable bowel syndrome	59	59	31	28	52.5
Fear	59	59	8	51	13.6
Atelectasis	59	59	31	28	52.5
Coronary artery disease	59	59	39	20	66.1
Viral infection	59	59	17	42	28.8
Toxic skin eruption	59	59	41	18	69.5
Intentional self-injury	58	58	24	34	41.4
Limb discomfort	58	58	18	40	31.0
Blood potassium decreased	58	58	24	34	41.4
Drug effect incomplete	58	58	19	39	32.8
Gastritis	58	58	17	41	29.3
Coagulopathy	58	58	36	22	62.1
Micturition urgency	57	57	7	50	12.3
Respiratory tract infection	57	57	36	21	63.2
Drug level increased	57	57	37	20	64.9
Adverse reaction	57	57	21	36	36.8
Face oedema	57	57	26	31	45.6
Haematocrit decreased	57	57	36	21	63.2
Crying	57	57	10	47	17.5
Lymphocyte count decreased	56	56	9	47	16.1
Mental disorder	56	56	31	25	55.4
Hyperlipidaemia	56	56	19	37	33.9
Blood pressure systolic increased	56	56	35	21	62.5
Cyanosis	56	56	30	26	53.6
International normalised ratio increased	56	56	47	9	83.9
Myelodysplastic syndrome	56	56	48	8	85.7
Pulmonary mass	55	55	21	34	38.2
Hypophagia	55	55	39	16	70.9
Procedural pain	55	55	13	42	23.6
Chromaturia	55	55	34	21	61.8
Cardiac murmur	55	55	21	34	38.2
Therapy partial responder	55	55	36	19	65.5
Cytomegalovirus infection	55	55	46	9	83.6
Splenomegaly	55	55	39	16	70.9
Myelosuppression	55	55	20	35	36.4
Abnormal behaviour	55	55	43	12	78.2
Oral candidiasis	55	55	28	27	50.9
Eye disorder	55	55	16	39	29.1
Renal tubular necrosis	54	54	42	12	77.8
Blood pressure fluctuation	54	54	32	22	59.3
Mood swings	54	54	8	46	14.8
Pain in jaw	54	54	7	47	13.0
Head injury	54	54	38	16	70.4
Troponin increased	54	54	27	27	50.0
Secretion discharge	54	54	14	40	25.9
Poor quality sleep	54	54	34	20	63.0
Dysstasia	54	54	16	38	29.6
Sciatica	54	54	31	23	57.4
Blood lactate dehydrogenase increased	53	53	38	15	71.7
Mouth ulceration	53	53	17	36	32.1
Haemodynamic instability	53	53	46	7	86.8
Throat tightness	53	53	15	38	28.3
Thinking abnormal	53	53	15	38	28.3
Withdrawal syndrome	53	53	22	31	41.5
Synovitis	53	53	38	15	71.7
Eating disorder	52	52	37	15	71.2
Upper gastrointestinal haemorrhage	52	52	36	16	69.2
Injection site reaction	52	52	22	30	42.3
Pneumonitis	52	52	33	19	63.5
Sputum discoloured	52	52	26	26	50.0
Dry eye	52	52	25	27	48.1
Peritonitis	52	52	46	6	88.5
Conjunctivitis	52	52	35	17	67.3
Mood altered	52	52	14	38	26.9
Therapy interrupted	51	51	13	38	25.5
Lymphopenia	51	51	13	38	25.5
Muscle spasticity	51	51	24	27	47.1
Generalised tonic-clonic seizure	51	51	33	18	64.7
Anuria	51	51	41	10	80.4
Acute myeloid leukaemia	51	51	44	7	86.3
Feeding disorder	51	51	25	26	49.0
Multiple-drug resistance	50	50	41	9	82.0
Unevaluable event	50	50	35	15	70.0
Incorrect product administration duration	50	50	7	43	14.0
Photophobia	50	50	11	39	22.0
Muscle twitching	50	50	23	27	46.0
Rash macular	49	49	10	39	20.4
Parkinson's disease	49	49	38	11	77.6
Clostridium difficile infection	49	49	30	19	61.2
Basal cell carcinoma	49	49	21	28	42.9
Lower limb fracture	49	49	25	24	51.0
Metastases to bone	49	49	24	25	49.0
Disability	49	49	42	7	85.7
Nephropathy toxic	49	49	41	8	83.7
Cardiomegaly	49	49	17	32	34.7
Blood urea increased	49	49	36	13	73.5
Metastases to liver	48	48	14	34	29.2
Arteriosclerosis	48	48	28	20	58.3
Hypercalcaemia	48	48	37	11	77.1
Hypokinesia	48	48	24	24	50.0
Ear infection	48	48	26	22	54.2
Therapy cessation	48	48	11	37	22.9
Therapeutic response unexpected	48	48	9	39	18.8
Surgery	48	48	7	41	14.6
Product substitution issue	48	48	14	34	29.2
Psychomotor hyperactivity	47	47	30	17	63.8
Inappropriate schedule of drug administration	47	47	12	35	25.5
Glaucoma	47	47	21	26	44.7
Generalised oedema	47	47	15	32	31.9
Schizophrenia	47	47	38	9	80.9
Sensory disturbance	47	47	10	37	21.3
Sinus tachycardia	47	47	27	20	57.4
Adrenal insufficiency	47	47	38	9	80.9
Cardiovascular disorder	47	47	29	18	61.7
Hypotonia	47	47	31	16	66.0
Limb injury	47	47	27	20	57.4
Poisoning	47	47	30	17	63.8
Clostridium difficile colitis	47	47	32	15	68.1
Neutrophil count increased	46	46	24	22	52.2
Left ventricular dysfunction	46	46	35	11	76.1
Myocarditis	46	46	41	5	89.1
Electrolyte imbalance	46	46	32	14	69.6
Product dose omission	46	46	9	37	19.6
Ileus	46	46	41	5	89.1
Cold sweat	46	46	12	34	26.1
Hypophosphataemia	46	46	23	23	50.0
Serotonin syndrome	46	46	23	23	50.0
Anger	46	46	21	25	45.7
Wound infection	46	46	25	21	54.3
Folliculitis	46	46	22	24	47.8
Posterior reversible encephalopathy syndrome	46	46	36	10	78.3
Eye pruritus	46	46	11	35	23.9
Faeces discoloured	46	46	30	16	65.2
Gastric ulcer	45	45	32	13	71.1
Pulmonary hypertension	45	45	13	32	28.9
Knee arthroplasty	45	45	22	23	48.9
Dystonia	45	45	32	13	71.1
Polyneuropathy	45	45	33	12	73.3
Cytokine release syndrome	45	45	39	6	86.7
Thrombotic microangiopathy	45	45	31	14	68.9
Musculoskeletal discomfort	45	45	10	35	22.2
Localised infection	44	44	18	26	40.9
Blood urine present	44	44	37	7	84.1
Status epilepticus	44	44	35	9	79.5
Blood glucose decreased	44	44	33	11	75.0
Neuroleptic malignant syndrome	44	44	39	5	88.6
Blood potassium increased	44	44	35	9	79.5
Lipase increased	44	44	33	11	75.0
Sinus bradycardia	44	44	31	13	70.5
Eosinophil count increased	44	44	21	23	47.7
Rib fracture	44	44	20	24	45.5
Blood sodium decreased	44	44	20	24	45.5
Respiratory depression	44	44	24	20	54.5
Inappropriate antidiuretic hormone secretion	44	44	29	15	65.9
Haemolytic anaemia	44	44	28	16	63.6
Haemorrhoids	44	44	24	20	54.5
Product administration error	44	44	14	30	31.8
Rales	44	44	27	17	61.4
Proteinuria	44	44	38	6	86.4
Intervertebral disc protrusion	44	44	10	34	22.7
Bronchopulmonary aspergillosis	44	44	36	8	81.8
Bone marrow failure	44	44	31	13	70.5
Myoclonus	43	43	32	11	74.4
Tenderness	43	43	17	26	39.5
Acute generalised exanthematous pustulosis	43	43	26	17	60.5
Bursitis	43	43	23	20	53.5
Fibromyalgia	43	43	21	22	48.8
Ataxia	43	43	26	17	60.5
Ear pain	43	43	20	23	46.5
Delusion	43	43	33	10	76.7
Red blood cell sedimentation rate increased	43	43	26	17	60.5
Torsade de pointes	43	43	27	16	62.8
Hernia	42	42	29	13	69.0
Extrapyramidal disorder	42	42	36	6	85.7
Hypothermia	42	42	30	12	71.4
Hallucination, visual	42	42	29	13	69.0
Restless legs syndrome	42	42	12	30	28.6
Musculoskeletal disorder	42	42	15	27	35.7
Hypocalcaemia	42	42	26	16	61.9
