drug_name	n_signals	n_female_signals	n_male_signals	pct_female	n_unique_aes	mean_abs_lr	median_abs_lr	max_abs_lr	total_female_reports	total_male_reports	total_reports	report_pct_female
VINCRISTINE SULFATE	101	82	19	81.188	101	0.869	0.822	1.971	3344	3578	6922	48.310
LIRAGLUTIDE	101	14	87	13.861	101	0.978	0.760	2.691	4509	4156	8665	52.037
BASILIXIMAB	101	89	12	88.119	101	0.965	0.840	2.319	3332	4504	7836	42.522
ANAKINRA	100	48	52	48.000	100	1.144	0.946	3.713	13004	5798	18802	69.163
FOLIC ACID	100	31	69	31.000	100	1.353	1.235	3.807	28602	3076	31678	90.290
MINOCYCLINE	100	55	45	55.000	100	1.381	1.287	3.069	26795	3889	30684	87.326
METOCLOPRAMIDE	100	48	52	48.000	100	0.953	0.808	2.411	8595	3251	11846	72.556
HYDROXYCHLOROQUINE SULFATE	99	28	71	28.283	99	1.350	1.187	4.064	30262	4538	34800	86.960
LACOSAMIDE	98	48	50	48.980	98	0.797	0.752	1.600	4674	3351	8025	58.243
CLINDAMYCIN	98	42	56	42.857	98	0.805	0.748	1.534	6601	2973	9574	68.947
GLYCERYL TRINITRATE	98	62	36	63.265	98	1.205	1.113	4.058	11403	3831	15234	74.852
IFOSFAMIDE	98	72	26	73.469	98	0.906	0.836	1.984	4027	4928	8955	44.969
METAMIZOLE	98	29	69	29.592	98	1.112	0.919	3.379	4685	6747	11432	40.981
LISDEXAMFETAMINE	97	26	71	26.804	97	0.905	0.770	2.454	6364	6573	12937	49.192
IRBESARTAN	97	42	55	43.299	97	0.997	0.887	2.722	8202	4341	12543	65.391
EMPAGLIFLOZIN	96	58	38	60.417	96	0.765	0.703	1.345	4376	4387	8763	49.937
MERCAPTOPURINE	96	67	29	69.792	96	0.842	0.763	1.615	3187	3164	6351	50.181
PRAMIPEXOLE	95	39	56	41.053	95	0.956	0.826	2.557	4936	3923	8859	55.717
