adverse_event	n_signals	n_drugs	n_female_signals	n_male_signals	pct_female	mean_abs_lr	median_abs_lr	max_abs_lr	total_reports
Arrhythmia	88	88	49	39	55.682	0.812	0.719	2.320	6419
Fluid retention	88	88	68	20	77.273	1.109	0.937	3.162	18536
Acute respiratory failure	88	88	69	19	78.409	0.815	0.748	2.213	5745
Speech disorder	88	88	32	56	36.364	0.889	0.804	1.766	7148
Obstructive airways disorder	88	88	26	62	29.545	1.297	1.113	3.126	19676
Shock	88	88	62	26	70.455	0.836	0.778	2.124	6137
Sleep apnoea syndrome	87	87	49	38	56.322	1.055	0.860	2.900	13911
Cellulitis	87	87	41	46	47.126	0.934	0.796	2.377	10420
Dysgeusia	87	87	38	49	43.678	0.869	0.677	3.046	11394
Chronic kidney disease	87	87	71	16	81.609	0.909	0.752	2.413	87056
Depressed mood	87	87	32	55	36.782	0.845	0.726	2.688	9859
Cerebral haemorrhage	86	86	76	10	88.372	0.776	0.678	1.829	6514
Incorrect dose administered	86	86	35	51	40.698	0.887	0.724	3.711	12620
Illness	86	86	27	59	31.395	0.841	0.711	1.929	9722
Cerebral infarction	85	85	72	13	84.706	0.855	0.791	1.832	5076
Disorientation	85	85	55	30	64.706	0.759	0.666	1.944	6479
Psychotic disorder	84	84	58	26	69.048	1.055	0.846	3.375	10782
Lethargy	84	84	49	35	58.333	0.752	0.704	1.867	6687
Road traffic accident	84	84	63	21	75.000	1.345	0.846	3.664	37839
Mental status changes	84	84	67	17	79.762	0.759	0.703	1.369	5538
Epilepsy	83	83	58	25	69.880	1.374	0.972	3.986	23936
Hyperglycaemia	83	83	58	25	69.880	0.944	0.779	2.523	9983
Ventricular tachycardia	83	83	63	20	75.904	0.912	0.826	2.019	7584
Skin discolouration	83	83	31	52	37.349	0.774	0.674	2.356	7218
Irritability	83	83	15	68	18.072	0.793	0.686	1.935	8174
Liver function test abnormal	82	82	45	37	54.878	0.837	0.671	2.753	9184
White blood cell count decreased	82	82	24	58	29.268	0.804	0.741	2.111	22282
Maternal exposure during pregnancy	82	82	31	51	37.805	1.361	1.125	3.985	103720
Respiratory distress	81	81	39	42	48.148	0.866	0.758	1.881	6122
Body temperature increased	81	81	43	38	53.086	0.966	0.820	2.941	10915
Sleep disorder due to a general medical condition	81	81	31	50	38.272	1.243	1.095	3.624	21375
Herpes zoster	81	81	22	59	27.160	0.910	0.762	2.504	12622
Full blood count abnormal	80	80	24	56	30.000	1.299	1.130	3.193	21845
Movement disorder	80	80	33	47	41.250	0.846	0.721	1.938	9415
Emotional disorder	79	79	65	14	82.278	0.991	0.882	4.578	15114
Heart rate decreased	79	79	42	37	53.165	0.873	0.721	3.680	8799
Pancreatitis acute	79	79	49	30	62.025	0.892	0.813	3.445	5256
Pericarditis	79	79	38	41	48.101	1.878	1.237	5.396	88768
Neuralgia	79	79	9	70	11.392	1.189	0.923	3.316	8744
Respiratory arrest	79	79	54	25	68.354	0.779	0.696	1.867	9990
Hypercholesterolaemia	79	79	43	36	54.430	1.756	1.624	3.904	33253
Agranulocytosis	77	77	54	23	70.130	0.877	0.785	3.134	8641
Crohn's disease	77	77	57	20	74.026	1.143	0.889	2.909	24144
Aspiration	77	77	61	16	79.221	1.094	1.007	2.633	6208
Acute myocardial infarction	76	76	62	14	81.579	0.847	0.765	2.492	9030
Bacterial infection	76	76	16	60	21.053	1.195	0.964	3.151	7594
Transient ischaemic attack	76	76	35	41	46.053	0.858	0.770	1.906	7642
Accidental overdose	76	76	38	38	50.000	0.986	0.856	4.673	7708
Injection site pain	76	76	25	51	32.895	0.897	0.802	2.637	21096
Circulatory collapse	76	76	51	25	67.105	0.873	0.792	1.530	5659
Jaundice	75	75	54	21	72.000	0.811	0.772	1.598	5946
Pericardial effusion	75	75	40	35	53.333	0.858	0.715	2.062	6188
