adverse_event	n_signals	n_drugs	n_female_signals	n_male_signals	pct_female	mean_abs_lr	median_abs_lr	max_abs_lr	total_reports
Device computer issue	1	1	0	1	0.000	0.627	0.627	0.627	49
Device dispensing error	1	1	0	1	0.000	0.508	0.508	0.508	23
Device safety feature issue	1	1	0	1	0.000	0.772	0.772	0.772	29
Device electrical finding	1	1	0	1	0.000	0.754	0.754	0.754	103
Device extrusion	1	1	0	1	0.000	0.598	0.598	0.598	32
Device fastener issue	1	1	0	1	0.000	0.621	0.621	0.621	48
Device physical property issue	1	1	0	1	0.000	0.899	0.899	0.899	2222
Device power source issue	1	1	1	0	100.000	0.629	0.629	0.629	296
Device programming error	1	1	0	1	0.000	0.617	0.617	0.617	50
Dermatophytosis	1	1	0	1	0.000	0.756	0.756	0.756	91
Dermatillomania	1	1	1	0	100.000	0.604	0.604	0.604	40
Dependent personality disorder	1	1	1	0	100.000	0.616	0.616	0.616	34
Denture wearer	1	1	0	1	0.000	0.799	0.799	0.799	30
Dental restoration failure	1	1	0	1	0.000	0.589	0.589	0.589	57
Dental prosthesis placement	1	1	0	1	0.000	1.232	1.232	1.232	28
Dental plaque	1	1	0	1	0.000	1.114	1.114	1.114	38
Delayed haemolytic transfusion reaction	1	1	0	1	0.000	1.734	1.734	1.734	31
Delayed delivery	1	1	0	1	0.000	2.091	2.091	2.091	62
Dehiscence	1	1	1	0	100.000	0.531	0.531	0.531	21
Degenerative bone disease	1	1	1	0	100.000	0.740	0.740	0.740	53
Deep vein thrombosis postoperative	1	1	0	1	0.000	2.942	2.942	2.942	33
Deep brain stimulation	1	1	1	0	100.000	1.530	1.530	1.530	28
Decreased vibratory sense	1	1	0	1	0.000	0.626	0.626	0.626	51
Decompensated hypothyroidism	1	1	0	1	0.000	2.448	2.448	2.448	24
Deafness transitory	1	1	1	0	100.000	1.659	1.659	1.659	227
Deafness permanent	1	1	0	1	0.000	0.609	0.609	0.609	106
Device related bacteraemia	1	1	1	0	100.000	0.919	0.919	0.919	42
Diabetic blindness	1	1	1	0	100.000	0.502	0.502	0.502	36
Dawn phenomenon	1	1	1	0	100.000	1.313	1.313	1.313	50
Drug delivery system removal	1	1	0	1	0.000	1.646	1.646	1.646	64
Dopamine dysregulation syndrome	1	1	1	0	100.000	1.223	1.223	1.223	151
Double outlet right ventricle	1	1	1	0	100.000	0.560	0.560	0.560	25
Drain placement	1	1	0	1	0.000	0.710	0.710	0.710	40
Drug administered in wrong device	1	1	1	0	100.000	0.541	0.541	0.541	63
Drug delivery device implantation	1	1	0	1	0.000	0.836	0.836	0.836	68
Drug delivery system issue	1	1	0	1	0.000	0.729	0.729	0.729	336
Drug dose titration not performed	1	1	0	1	0.000	0.544	0.544	0.544	53
Diabetic coma	1	1	1	0	100.000	0.671	0.671	0.671	43
Drug label confusion	1	1	0	1	0.000	0.744	0.744	0.744	37
Drug monitoring procedure incorrectly performed	1	1	0	1	0.000	0.640	0.640	0.640	57
Drug specific antibody	1	1	1	0	100.000	0.672	0.672	0.672	489
Drug specific antibody absent	1	1	1	0	100.000	0.576	0.576	0.576	44
Drug-disease interaction	1	1	1	0	100.000	0.833	0.833	0.833	32
Dry gangrene	1	1	0	1	0.000	0.533	0.533	0.533	114
Donor specific antibody present	1	1	1	0	100.000	0.668	0.668	0.668	57
Distractibility	1	1	0	1	0.000	0.944	0.944	0.944	27
Dissociative disorder	1	1	0	1	0.000	1.043	1.043	1.043	27
Disseminated strongyloidiasis	1	1	1	0	100.000	1.469	1.469	1.469	54
Disseminated Bacillus Calmette-Guerin infection	1	1	1	0	100.000	0.793	0.793	0.793	313
Disease susceptibility	1	1	1	0	100.000	0.821	0.821	0.821	69
Dilatation atrial	1	1	0	1	0.000	1.050	1.050	1.050	25
Dihydropyrimidine dehydrogenase deficiency	1	1	1	0	100.000	0.742	0.742	0.742	36
Diffuse large B-cell lymphoma stage IV	1	1	1	0	100.000	0.722	0.722	0.722	51
Diffuse alopecia	1	1	0	1	0.000	2.380	2.380	2.380	29
Diet refusal	1	1	1	0	100.000	0.774	0.774	0.774	26
Diet noncompliance	1	1	0	1	0.000	0.528	0.528	0.528	25
Diaphragmatic disorder	1	1	0	1	0.000	2.252	2.252	2.252	65
Dialysis hypotension	1	1	0	1	0.000	0.932	0.932	0.932	23
Diabetic ketoacidotic hyperglycaemic coma	1	1	1	0	100.000	1.294	1.294	1.294	37
Diabetic gangrene	1	1	1	0	100.000	1.002	1.002	1.002	43
Diabetic foot infection	1	1	1	0	100.000	0.793	0.793	0.793	81
Daydreaming	1	1	0	1	0.000	0.907	0.907	0.907	59
Dark circles under eyes	1	1	0	1	0.000	0.672	0.672	0.672	35
Genital abscess	1	1	0	1	0.000	1.880	1.880	1.880	43
Congenital heart valve disorder	1	1	0	1	0.000	0.702	0.702	0.702	27
Complications of transplanted liver	1	1	1	0	100.000	0.597	0.597	0.597	57
Complications of transplanted lung	1	1	1	0	100.000	0.605	0.605	0.605	39
Compulsive sexual behaviour	1	1	1	0	100.000	1.764	1.764	1.764	544
Congenital aortic valve incompetence	1	1	0	1	0.000	0.567	0.567	0.567	31
Congenital choroid plexus cyst	1	1	0	1	0.000	0.592	0.592	0.592	22
Congenital hand malformation	1	1	1	0	100.000	0.946	0.946	0.946	37
Congenital musculoskeletal anomaly	1	1	0	1	0.000	0.665	0.665	0.665	51
Contraindicated drug prescribed	1	1	0	1	0.000	1.034	1.034	1.034	24
Congenital oral malformation	1	1	0	1	0.000	0.645	0.645	0.645	43
Congenital skin dimples	1	1	1	0	100.000	0.884	0.884	0.884	22
Congestive hepatopathy	1	1	1	0	100.000	1.325	1.325	1.325	48
Conjunctival oedema	1	1	0	1	0.000	1.041	1.041	1.041	32
Connective tissue disorder	1	1	0	1	0.000	0.550	0.550	0.550	50
Continuous haemodiafiltration	1	1	0	1	0.000	0.686	0.686	0.686	37
Complications of bone marrow transplant	1	1	1	0	100.000	0.787	0.787	0.787	51
Complement factor abnormal	1	1	0	1	0.000	0.578	0.578	0.578	38
Complement factor C3 decreased	1	1	0	1	0.000	0.761	0.761	0.761	31
Colour blindness	1	1	0	1	0.000	0.660	0.660	0.660	58
Colorectal cancer stage III	1	1	1	0	100.000	0.717	0.717	0.717	229
Colorectal cancer stage II	1	1	1	0	100.000	0.669	0.669	0.669	129
Colonoscopy abnormal	1	1	0	1	0.000	0.904	0.904	0.904	112
Colonic abscess	1	1	0	1	0.000	0.642	0.642	0.642	31
Colon dysplasia	1	1	0	1	0.000	0.599	0.599	0.599	41
Colon adenoma	1	1	0	1	0.000	0.608	0.608	0.608	66
Collagen disorder	1	1	0	1	0.000	1.326	1.326	1.326	28
Colectomy total	1	1	0	1	0.000	1.185	1.185	1.185	35
Coccydynia	1	1	0	1	0.000	1.254	1.254	1.254	24
Coagulation factor V level decreased	1	1	1	0	100.000	0.535	0.535	0.535	35
Coagulation factor V level abnormal	1	1	0	1	0.000	0.794	0.794	0.794	62
Clonic convulsion	1	1	0	1	0.000	0.592	0.592	0.592	57
Claustrophobia	1	1	0	1	0.000	0.909	0.909	0.909	63
Contraindicated drug administered	1	1	1	0	100.000	1.192	1.192	1.192	46
Contraindication to vaccination	1	1	0	1	0.000	0.542	0.542	0.542	38
Dairy intolerance	1	1	0	1	0.000	0.639	0.639	0.639	33
Cutaneous nocardiosis	1	1	1	0	100.000	0.977	0.977	0.977	36
Crush syndrome	1	1	1	0	100.000	1.311	1.311	1.311	34
Cryptococcal cutaneous infection	1	1	1	0	100.000	0.708	0.708	0.708	34
Cryptococcal fungaemia	1	1	1	0	100.000	0.791	0.791	0.791	41
Crystal urine present	1	1	1	0	100.000	1.226	1.226	1.226	182
Cubital tunnel syndrome	1	1	0	1	0.000	0.563	0.563	0.563	32
Cutaneous leishmaniasis	1	1	1	0	100.000	1.588	1.588	1.588	26
Cutaneous symptom	1	1	0	1	0.000	0.919	0.919	0.919	29
Coombs direct test positive	1	1	1	0	100.000	0.821	0.821	0.821	84
Cystic fibrosis related diabetes	1	1	1	0	100.000	0.520	0.520	0.520	40
Cystic fibrosis respiratory infection suppression	1	1	0	1	0.000	0.544	0.544	0.544	69
Cystitis escherichia	1	1	0	1	0.000	1.713	1.713	1.713	36
Cytarabine syndrome	1	1	1	0	100.000	2.405	2.405	2.405	32
Cytokine increased	1	1	1	0	100.000	0.532	0.532	0.532	71
Cytotoxic oedema	1	1	0	1	0.000	0.776	0.776	0.776	29
Croup infectious	1	1	0	1	0.000	1.235	1.235	1.235	38
Crossmatch incompatible	1	1	1	0	100.000	1.762	1.762	1.762	36
Creatinine renal clearance abnormal	1	1	1	0	100.000	0.768	0.768	0.768	28
Craniofacial deformity	1	1	0	1	0.000	0.654	0.654	0.654	43
Corrective lens user	1	1	0	1	0.000	0.581	0.581	0.581	80
Coronary vein stenosis	1	1	0	1	0.000	0.728	0.728	0.728	23
Coronary artery dissection	1	1	0	1	0.000	1.435	1.435	1.435	45
Coronary angioplasty	1	1	1	0	100.000	0.820	0.820	0.820	53
Corona virus infection	1	1	1	0	100.000	0.613	0.613	0.613	20
Corneal transplant	1	1	0	1	0.000	1.121	1.121	1.121	55
Corneal epithelial microcysts	1	1	0	1	0.000	1.595	1.595	1.595	31
Corneal deposits	1	1	1	0	100.000	0.513	0.513	0.513	54
Corneal abrasion	1	1	0	1	0.000	1.150	1.150	1.150	36
Cornea verticillata	1	1	0	1	0.000	0.654	0.654	0.654	73
Cor pulmonale acute	1	1	1	0	100.000	0.588	0.588	0.588	28
Coombs positive haemolytic anaemia	1	1	0	1	0.000	1.122	1.122	1.122	77
Coombs indirect test positive	1	1	1	0	100.000	0.861	0.861	0.861	29
Ductus arteriosus stenosis foetal	1	1	0	1	0.000	0.535	0.535	0.535	41
Dupuytren's contracture	1	1	0	1	0.000	0.694	0.694	0.694	68
Dysaesthesia pharynx	1	1	1	0	100.000	0.558	0.558	0.558	109
Foetal exposure during delivery	1	1	0	1	0.000	3.597	3.597	3.597	86
Fingerprint loss	1	1	0	1	0.000	1.058	1.058	1.058	60
Fluid imbalance	1	1	1	0	100.000	0.873	0.873	0.873	45
Fluorosis	1	1	1	0	100.000	1.131	1.131	1.131	33
Foaming at mouth	1	1	1	0	100.000	0.514	0.514	0.514	36
Focal nodular hyperplasia	1	1	0	1	0.000	0.932	0.932	0.932	77
Foetal death	1	1	0	1	0.000	1.584	1.584	1.584	82
Foetal heart rate deceleration abnormality	1	1	0	1	0.000	0.615	0.615	0.615	30
Full blood count increased	1	1	1	0	100.000	0.535	0.535	0.535	95
Foetal hypokinesia	1	1	0	1	0.000	3.046	3.046	3.046	30
Foetal methotrexate syndrome	1	1	1	0	100.000	0.508	0.508	0.508	60
Forced expiratory flow decreased	1	1	0	1	0.000	1.051	1.051	1.051	51
Forced expiratory volume abnormal	1	1	0	1	0.000	0.740	0.740	0.740	31
Foreign body in gastrointestinal tract	1	1	0	1	0.000	0.646	0.646	0.646	37
Fracture nonunion	1	1	0	1	0.000	1.813	1.813	1.813	43
Finger amputation	1	1	0	1	0.000	0.892	0.892	0.892	25
Fibroma	1	1	0	1	0.000	0.528	0.528	0.528	425
Fever neonatal	1	1	1	0	100.000	0.817	0.817	0.817	24
Felty's syndrome	1	1	0	1	0.000	1.997	1.997	1.997	39
Febrile convulsion	1	1	1	0	100.000	0.648	0.648	0.648	27
Family stress	1	1	0	1	0.000	0.798	0.798	0.798	24
Familial mediterranean fever	1	1	1	0	100.000	0.832	0.832	0.832	79
False negative investigation result	1	1	1	0	100.000	0.726	0.726	0.726	33
Failure of child resistant product closure	1	1	0	1	0.000	0.579	0.579	0.579	52
Faecal volume decreased	1	1	1	0	100.000	0.682	0.682	0.682	53
Faecal calprotectin abnormal	1	1	0	1	0.000	0.505	0.505	0.505	148
Factor VIII inhibition	1	1	1	0	100.000	1.716	1.716	1.716	497
Factor V inhibition	1	1	1	0	100.000	0.844	0.844	0.844	28
Facial discomfort	1	1	0	1	0.000	0.784	0.784	0.784	76
Facial asymmetry	1	1	1	0	100.000	0.932	0.932	0.932	258
Eyelid thickening	1	1	0	1	0.000	1.398	1.398	1.398	34
Eyelid skin dryness	1	1	0	1	0.000	1.056	1.056	1.056	522
Fractured coccyx	1	1	0	1	0.000	0.579	0.579	0.579	75
Fungal endocarditis	1	1	1	0	100.000	0.998	0.998	0.998	33
Dysbacteriosis	1	1	1	0	100.000	0.537	0.537	0.537	25
Gastrointestinal neoplasm	1	1	1	0	100.000	0.690	0.690	0.690	46
Gastrointestinal anastomotic stenosis	1	1	0	1	0.000	0.530	0.530	0.530	27
Gastrointestinal angiodysplasia	1	1	1	0	100.000	0.887	0.887	0.887	43
Gastrointestinal angiodysplasia haemorrhagic	1	1	1	0	100.000	0.502	0.502	0.502	39
Gastrointestinal bacterial overgrowth	1	1	1	0	100.000	1.286	1.286	1.286	100
Gastrointestinal fistula	1	1	0	1	0.000	0.584	0.584	0.584	377
Gastrointestinal mucosal necrosis	1	1	1	0	100.000	0.603	0.603	0.603	46
Gastrointestinal oedema	1	1	0	1	0.000	0.567	0.567	0.567	346
Fungal oesophagitis	1	1	0	1	0.000	0.728	0.728	0.728	26
Gastrointestinal procedural complication	1	1	0	1	0.000	0.848	0.848	0.848	37
Gastrointestinal scarring	1	1	0	1	0.000	0.654	0.654	0.654	28
Gastrointestinal surgery	1	1	0	1	0.000	0.784	0.784	0.784	59
Gastrointestinal tract mucosal pigmentation	1	1	0	1	0.000	1.292	1.292	1.292	120
Gastrointestinal viral infection	1	1	0	1	0.000	1.045	1.045	1.045	25
Generalised bullous fixed drug eruption	1	1	0	1	0.000	0.918	0.918	0.918	38
Gastroenterostomy	1	1	0	1	0.000	0.570	0.570	0.570	31
Gastroenteropancreatic neuroendocrine tumour disease	1	1	1	0	100.000	1.427	1.427	1.427	35
Gastroenteritis adenovirus	1	1	1	0	100.000	0.501	0.501	0.501	29
Gastroenteritis Escherichia coli	1	1	0	1	0.000	0.678	0.678	0.678	22
Gastric operation	1	1	0	1	0.000	0.631	0.631	0.631	34
Gastric mucosal lesion	1	1	0	1	0.000	0.512	0.512	0.512	26
Gastric cancer stage II	1	1	1	0	100.000	0.618	0.618	0.618	703
Gastric cancer stage I	1	1	1	0	100.000	1.209	1.209	1.209	956
Gastric cancer stage 0	1	1	1	0	100.000	2.699	2.699	2.699	106
Gastrectomy	1	1	0	1	0.000	0.809	0.809	0.809	26
Gas gangrene	1	1	0	1	0.000	0.641	0.641	0.641	116
Gambling disorder	1	1	0	1	0.000	0.990	0.990	0.990	30
Gallbladder polyp	1	1	0	1	0.000	0.615	0.615	0.615	70
Gallbladder perforation	1	1	1	0	100.000	0.573	0.573	0.573	27
Gallbladder non-functioning	1	1	0	1	0.000	1.242	1.242	1.242	52
Gallbladder enlargement	1	1	0	1	0.000	0.814	0.814	0.814	28
Fungal pharyngitis	1	1	0	1	0.000	1.112	1.112	1.112	24
Eyelid rash	1	1	0	1	0.000	0.540	0.540	0.540	296
Eyelid pain	1	1	0	1	0.000	0.795	0.795	0.795	139
Eyelid infection	1	1	0	1	0.000	0.849	0.849	0.849	37
Embolism arterial	1	1	0	1	0.000	0.951	0.951	0.951	34
Ejection fraction	1	1	0	1	0.000	0.838	0.838	0.838	79
Elbow deformity	1	1	1	0	100.000	1.093	1.093	1.093	146
Electric shock	1	1	0	1	0.000	0.784	0.784	0.784	37
Embedded device	1	1	0	1	0.000	6.447	6.447	6.447	717
Embolic cerebral infarction	1	1	1	0	100.000	0.530	0.530	0.530	54
Embolic stroke	1	1	1	0	100.000	0.941	0.941	0.941	30
Emergency care examination	1	1	1	0	100.000	0.590	0.590	0.590	42
Eyelid exfoliation	1	1	0	1	0.000	1.065	1.065	1.065	193
Enanthema	1	1	1	0	100.000	0.909	0.909	0.909	54
Encephalomalacia	1	1	1	0	100.000	1.185	1.185	1.185	30
Endocrine disorder	1	1	1	0	100.000	0.689	0.689	0.689	46
Enterobiasis	1	1	0	1	0.000	1.089	1.089	1.089	28
Enterocolonic fistula	1	1	0	1	0.000	0.526	0.526	0.526	31
Enterostomy	1	1	0	1	0.000	0.553	0.553	0.553	54
Effusion	1	1	1	0	100.000	0.591	0.591	0.591	82
Eczema infected	1	1	0	1	0.000	0.524	0.524	0.524	29
Eczema eyelids	1	1	0	1	0.000	0.665	0.665	0.665	232
Ecthyma	1	1	0	1	0.000	1.125	1.125	1.125	27
Echolalia	1	1	0	1	0.000	0.690	0.690	0.690	50
Echocardiogram abnormal	1	1	1	0	100.000	0.627	0.627	0.627	30
Early satiety	1	1	0	1	0.000	0.828	0.828	0.828	32
Ear, nose and throat disorder	1	1	0	1	0.000	0.910	0.910	0.910	51
Ear inflammation	1	1	0	1	0.000	1.187	1.187	1.187	23
Ear infection bacterial	1	1	0	1	0.000	1.350	1.350	1.350	32
Ear haemorrhage	1	1	1	0	100.000	0.673	0.673	0.673	26
EGFR gene mutation	1	1	1	0	100.000	0.736	0.736	0.736	27
Dyspraxia	1	1	0	1	0.000	0.979	0.979	0.979	43
Dysplastic naevus	1	1	1	0	100.000	0.994	0.994	0.994	44
Dysmetria	1	1	0	1	0.000	0.672	0.672	0.672	26
Dyslexia	1	1	0	1	0.000	0.634	0.634	0.634	41
Dyslalia	1	1	1	0	100.000	0.864	0.864	0.864	60
Enterovirus test positive	1	1	1	0	100.000	1.143	1.143	1.143	27
Environmental exposure	1	1	0	1	0.000	0.615	0.615	0.615	75
Eosinophilic fasciitis	1	1	1	0	100.000	1.221	1.221	1.221	44
Explorative laparotomy	1	1	0	1	0.000	0.686	0.686	0.686	32
Eyelid disorder	1	1	0	1	0.000	0.592	0.592	0.592	100
Eye laser surgery	1	1	0	1	0.000	0.545	0.545	0.545	26
Eye infection staphylococcal	1	1	0	1	0.000	0.772	0.772	0.772	22
Eye colour change	1	1	0	1	0.000	0.726	0.726	0.726	39
Extremity contracture	1	1	1	0	100.000	0.682	0.682	0.682	63
Extrapulmonary tuberculosis	1	1	1	0	100.000	0.534	0.534	0.534	42
External auditory canal atresia	1	1	1	0	100.000	1.144	1.144	1.144	20
Expulsion of medication	1	1	1	0	100.000	1.837	1.837	1.837	93
Exposure via direct contact	1	1	0	1	0.000	0.552	0.552	0.552	148
Exposure via body fluid	1	1	0	1	0.000	3.624	3.624	3.624	45
Exposure to communicable disease	1	1	0	1	0.000	0.529	0.529	0.529	27
Exposure to chemical pollution	1	1	0	1	0.000	1.682	1.682	1.682	312
Exposure to allergen	1	1	0	1	0.000	1.410	1.410	1.410	28
Exposure to SARS-CoV-2	1	1	0	1	0.000	0.976	0.976	0.976	65
Expired device used	1	1	0	1	0.000	1.376	1.376	1.376	1362
Eosinophilic pleural effusion	1	1	1	0	100.000	1.096	1.096	1.096	67
Expiratory reserve volume decreased	1	1	1	0	100.000	1.300	1.300	1.300	25
Executive dysfunction	1	1	0	1	0.000	0.568	0.568	0.568	40
Excoriation	1	1	0	1	0.000	0.559	0.559	0.559	36
Excessive cerumen production	1	1	0	1	0.000	1.528	1.528	1.528	22
Evans syndrome	1	1	1	0	100.000	0.529	0.529	0.529	22
Euthanasia	1	1	1	0	100.000	0.900	0.900	0.900	94
Essential tremor	1	1	1	0	100.000	0.661	0.661	0.661	80
Epithelioid mesothelioma	1	1	0	1	0.000	0.789	0.789	0.789	39
Epiphyses premature fusion	1	1	0	1	0.000	1.466	1.466	1.466	88
Epilepsia partialis continua	1	1	0	1	0.000	1.528	1.528	1.528	24
Epiglottic cancer	1	1	1	0	100.000	1.003	1.003	1.003	21
Epidural lipomatosis	1	1	1	0	100.000	1.267	1.267	1.267	50
Epidermodysplasia verruciformis	1	1	1	0	100.000	1.053	1.053	1.053	69
Eosinophilic pneumonia acute	1	1	1	0	100.000	1.247	1.247	1.247	24
Circumstance or information capable of leading to device use error	1	1	0	1	0.000	0.531	0.531	0.531	245
Ciliary hyperaemia	1	1	1	0	100.000	0.604	0.604	0.604	21
Chronic rhinosinusitis with nasal polyps	1	1	0	1	0.000	0.606	0.606	0.606	42
Apnoeic attack	1	1	1	0	100.000	0.664	0.664	0.664	21
Aortic dilatation	1	1	1	0	100.000	0.553	0.553	0.553	34
Aortic disorder	1	1	0	1	0.000	0.503	0.503	0.503	48
Aortic thrombosis	1	1	0	1	0.000	0.529	0.529	0.529	27
Aortic valve replacement	1	1	0	1	0.000	0.518	0.518	0.518	38
Aortic valve sclerosis	1	1	0	1	0.000	0.881	0.881	0.881	46
Aortic valve thickening	1	1	1	0	100.000	0.506	0.506	0.506	39
Appendix cancer	1	1	1	0	100.000	0.792	0.792	0.792	49
Application site scar	1	1	0	1	0.000	0.758	0.758	0.758	33
Appendix disorder	1	1	0	1	0.000	1.099	1.099	1.099	55
Application site acne	1	1	0	1	0.000	1.212	1.212	1.212	163
Application site bruise	1	1	0	1	0.000	0.697	0.697	0.697	44
Application site discomfort	1	1	0	1	0.000	1.857	1.857	1.857	85
Application site infection	1	1	1	0	100.000	0.532	0.532	0.532	29
Application site laceration	1	1	1	0	100.000	0.880	0.880	0.880	42
Aortic calcification	1	1	0	1	0.000	0.644	0.644	0.644	151
Anxiety disorder due to a general medical condition	1	1	0	1	0.000	0.618	0.618	0.618	27
Antisocial behaviour	1	1	1	0	100.000	0.589	0.589	0.589	31
Antinuclear antibody increased	1	1	0	1	0.000	0.594	0.594	0.594	143
Antineutrophil cytoplasmic antibody positive	1	1	0	1	0.000	2.255	2.255	2.255	80
Antineutrophil cytoplasmic antibody	1	1	0	1	0.000	0.763	0.763	0.763	29
Antidepressant discontinuation syndrome	1	1	0	1	0.000	1.174	1.174	1.174	43
Anticonvulsant drug level decreased	1	1	1	0	100.000	0.985	0.985	0.985	77
Anticonvulsant drug level below therapeutic	1	1	0	1	0.000	0.800	0.800	0.800	52
Anticonvulsant drug level abnormal	1	1	1	0	100.000	0.752	0.752	0.752	35
Anticoagulation drug level below therapeutic	1	1	0	1	0.000	0.644	0.644	0.644	222
Antibiotic therapy	1	1	0	1	0.000	0.724	0.724	0.724	96
Antibiotic level below therapeutic	1	1	1	0	100.000	0.884	0.884	0.884	23
Antibiotic level above therapeutic	1	1	1	0	100.000	0.638	0.638	0.638	154
Anti-insulin antibody increased	1	1	1	0	100.000	0.888	0.888	0.888	27
Anti-erythropoietin antibody positive	1	1	1	0	100.000	1.053	1.053	1.053	42
Anti-erythrocyte antibody positive	1	1	0	1	0.000	0.834	0.834	0.834	20
Application site oedema	1	1	0	1	0.000	0.635	0.635	0.635	34
Application site ulcer	1	1	0	1	0.000	1.729	1.729	1.729	172
Basophil count decreased	1	1	0	1	0.000	0.518	0.518	0.518	28
B-cell lymphoma refractory	1	1	0	1	0.000	0.734	0.734	0.734	45
Autonomic neuropathy	1	1	0	1	0.000	0.538	0.538	0.538	94
Autophobia	1	1	0	1	0.000	1.115	1.115	1.115	32
Autoscopy	1	1	0	1	0.000	1.381	1.381	1.381	41
Axillary mass	1	1	0	1	0.000	0.643	0.643	0.643	24
B precursor type acute leukaemia	1	1	1	0	100.000	0.718	0.718	0.718	41
B-cell aplasia	1	1	1	0	100.000	0.899	0.899	0.899	31
B-lymphocyte abnormalities	1	1	0	1	0.000	0.638	0.638	0.638	33
Arterial intramural haematoma	1	1	1	0	100.000	0.535	0.535	0.535	29
B-lymphocyte count abnormal	1	1	0	1	0.000	0.920	0.920	0.920	32
BK polyomavirus test positive	1	1	1	0	100.000	0.882	0.882	0.882	25
BRAF V600E mutation positive	1	1	1	0	100.000	0.785	0.785	0.785	21
Bacterial endophthalmitis	1	1	1	0	100.000	0.543	0.543	0.543	28
Bacterial test	1	1	1	0	100.000	0.941	0.941	0.941	107
Bankruptcy	1	1	1	0	100.000	0.874	0.874	0.874	358
Autoinflammatory disease	1	1	0	1	0.000	0.655	0.655	0.655	34
Autoimmune myositis	1	1	1	0	100.000	1.129	1.129	1.129	24
Autoimmune myocarditis	1	1	1	0	100.000	1.209	1.209	1.209	54
Autoimmune hypothyroidism	1	1	0	1	0.000	0.519	0.519	0.519	74
Autoimmune arthritis	1	1	1	0	100.000	0.528	0.528	0.528	25
Autism	1	1	1	0	100.000	0.966	0.966	0.966	21
Atelectasis neonatal	1	1	0	1	0.000	1.306	1.306	1.306	39
Asthma exercise induced	1	1	0	1	0.000	0.561	0.561	0.561	28
Aspiration pleural cavity	1	1	0	1	0.000	0.519	0.519	0.519	24
Aspergilloma	1	1	1	0	100.000	0.716	0.716	0.716	21
Arthrodesis	1	1	0	1	0.000	0.790	0.790	0.790	29
Arthritis reactive	1	1	0	1	0.000	0.827	0.827	0.827	55
Arteriovenous malformation	1	1	0	1	0.000	1.348	1.348	1.348	47
Arteriovenous fistula thrombosis	1	1	1	0	100.000	0.838	0.838	0.838	30
Arteriovenous fistula site complication	1	1	1	0	100.000	0.655	0.655	0.655	57
Arterial stenosis	1	1	0	1	0.000	0.696	0.696	0.696	35
Arterial rupture	1	1	0	1	0.000	0.537	0.537	0.537	28
Anti factor VIII antibody positive	1	1	1	0	100.000	2.880	2.880	2.880	315
Anterograde amnesia	1	1	0	1	0.000	0.646	0.646	0.646	58
Anterior chamber flare	1	1	1	0	100.000	0.510	0.510	0.510	68
Adenoidal hypertrophy	1	1	1	0	100.000	0.828	0.828	0.828	65
Acute monocytic leukaemia	1	1	1	0	100.000	0.778	0.778	0.778	21
Acute myelomonocytic leukaemia	1	1	1	0	100.000	0.556	0.556	0.556	20
Acute phase reaction	1	1	0	1	0.000	1.127	1.127	1.127	103
Acute phosphate nephropathy	1	1	1	0	100.000	1.411	1.411	1.411	78
Acute promyelocytic leukaemia differentiation syndrome	1	1	0	1	0.000	0.567	0.567	0.567	78
Adenoidal disorder	1	1	1	0	100.000	1.092	1.092	1.092	24
Adenovirus interstitial nephritis	1	1	1	0	100.000	2.939	2.939	2.939	33
Anorectal swelling	1	1	0	1	0.000	0.805	0.805	0.805	57
Adhesive tape use	1	1	0	1	0.000	2.767	2.767	2.767	132
Adjustment disorder with depressed mood	1	1	0	1	0.000	1.425	1.425	1.425	73
Adrenal gland cancer	1	1	0	1	0.000	0.549	0.549	0.549	130
Adrenal haemorrhage	1	1	1	0	100.000	0.628	0.628	0.628	30
Adverse food reaction	1	1	1	0	100.000	0.568	0.568	0.568	29
Agonal respiration	1	1	1	0	100.000	0.739	0.739	0.739	27
Acute lymphocytic leukaemia refractory	1	1	1	0	100.000	0.807	0.807	0.807	55
Acute left ventricular failure	1	1	1	0	100.000	0.525	0.525	0.525	38
Acute chest syndrome	1	1	1	0	100.000	0.504	0.504	0.504	40
Activation syndrome	1	1	0	1	0.000	0.802	0.802	0.802	35
Acromegaly	1	1	1	0	100.000	0.731	0.731	0.731	33
Acquired aminoaciduria	1	1	1	0	100.000	2.161	2.161	2.161	22
Acoustic neuroma	1	1	0	1	0.000	0.645	0.645	0.645	26
Acidosis hyperchloraemic	1	1	1	0	100.000	1.232	1.232	1.232	32
Acetabulum fracture	1	1	0	1	0.000	1.927	1.927	1.927	31
Acarodermatitis	1	1	1	0	100.000	0.593	0.593	0.593	62
Acanthosis	1	1	0	1	0.000	0.543	0.543	0.543	22
Abscess bacterial	1	1	0	1	0.000	0.538	0.538	0.538	31
Abdominal wall haemorrhage	1	1	1	0	100.000	0.615	0.615	0.615	23
Abdominal symptom	1	1	0	1	0.000	0.983	0.983	0.983	50
Abdominal rigidity	1	1	0	1	0.000	0.503	0.503	0.503	44
Abdominal compartment syndrome	1	1	1	0	100.000	0.863	0.863	0.863	25
ADAMTS13 activity decreased	1	1	1	0	100.000	0.694	0.694	0.694	127
Air embolism	1	1	0	1	0.000	0.604	0.604	0.604	33
Airway complication of anaesthesia	1	1	0	1	0.000	0.601	0.601	0.601	48
Alcohol test false positive	1	1	1	0	100.000	0.598	0.598	0.598	23
Anastomotic complication	1	1	1	0	100.000	0.878	0.878	0.878	39
