drug_name	adverse_event	direction	log_ratio	n_female	n_male	total_reports
CAPECITABINE	Sudden death	female_higher	0.8632376913553609	26	15	41
DEXTROMETHORPHAN;QUINIDINE	Death	female_higher	0.8625849773952865	1717	767	2484
HYDROXYCHLOROQUINE	Cardio-respiratory arrest	male_higher	-0.8600656277362175	41	37	78
EMTRICITABINE;TENOFOVIR	Completed suicide	female_higher	0.8590045245562581	14	16	30
VALACICLOVIR	Cardio-respiratory arrest	female_higher	0.8580783397689935	35	17	52
CLOPIDOGREL	Death	female_higher	0.8575634042658432	287	314	601
ALCOHOL	Completed suicide	female_higher	0.8567953067134502	1693	1266	2959
RADIOTHERAPY, UNSPECIFIED	Death	female_higher	0.8559629921260825	11	20	31
AMFETAMINE	Cardio-respiratory arrest	female_higher	0.8558024088794816	169	148	317
ACETYLSALICYLIC ACID	Cell death	female_higher	0.8553640957214692	17	11	28
VALPROIC ACID	Sudden unexplained death in epilepsy	female_higher	0.8536304453075454	34	28	62
CLOPIDOGREL BISULFATE	Death	female_higher	0.8535524768031668	15	16	31
GLIPIZIDE	Completed suicide	male_higher	-0.8525671779684285	110	268	378
CIPROFLOXACIN	Cardio-respiratory arrest	male_higher	-0.8503818803124464	13	31	44
CLORAZEPIC ACID	Death	female_higher	0.8470365832075505	27	15	42
LINEZOLID	Cardio-respiratory arrest	female_higher	0.8432863016116389	24	20	44
ANIFROLUMAB	Death	male_higher	-0.8428609413273971	24	10	34
FLUTICASONE	Death	male_higher	-0.8424692930417452	90	191	281
VALPROIC ACID	Cardio-respiratory arrest	female_higher	0.840760842577834	155	105	260
DASABUVIR	Death	female_higher	0.8397813177113971	53	35	88
OMBITASVIR;PARITAPREVIR;RITONAVIR	Death	female_higher	0.838750796321007	58	42	100
DOXYCYCLINE	Completed suicide	male_higher	-0.8383376998265057	42	64	106
BUSPIRONE	Completed suicide	female_higher	0.8383049417891777	517	145	662
NEFOPAM	Cardio-respiratory arrest	female_higher	0.8358682289831127	23	11	34
DOXYLAMINE	Accidental death	female_higher	0.8354396250091414	17	11	28
LEVOTHYROXINE	Cardio-respiratory arrest	male_higher	-0.8351005295427891	120	72	192
ELOTUZUMAB	Death	female_higher	0.8338816298943786	76	83	159
VINORELBINE	Death	female_higher	0.8333125805290081	124	43	167
VORICONAZOLE	Cardio-respiratory arrest	female_higher	0.8329405766880432	19	20	39
PALIVIZUMAB	Death	female_higher	0.829707652726942	418	432	850
SENNA SPP	Completed suicide	male_higher	-0.8294449940402416	12	15	27
WARFARIN	Cardio-respiratory arrest	female_higher	0.8291288944454986	74	55	129
PIPAMPERONE	Death	female_higher	0.826130385696694	20	11	31
PHENCYCLIDINE	Completed suicide	female_higher	0.8242599414849883	33	29	62
COCAINE	Death	female_higher	0.8227379056452852	478	796	1274
SPIRONOLACTONE	Cardio-respiratory arrest	female_higher	0.8217286525431812	74	40	114
DICLOFENAC	Completed suicide	male_higher	-0.8199911470384371	121	151	272
FAMOTIDINE	Completed suicide	female_higher	0.8184539519069753	107	27	134
VENLAFAXINE	Accidental death	male_higher	-0.8172916388603295	19	42	61
FLUOXETINE HYDROCHLORIDE	Cardio-respiratory arrest	female_higher	0.8165558369958412	54	15	69
MAGNESIUM	Completed suicide	male_higher	-0.8164926614583979	12	14	26
ETHAMBUTOL	Death	female_higher	0.8152184827408737	28	24	52
CLOPIDOGREL	Brain death	female_higher	0.8121776816677397	13	10	23
CARVEDILOL	Death	female_higher	0.8069266652298239	177	162	339
MIRTAZAPINE	Cardio-respiratory arrest	female_higher	0.8061465395399681	199	93	292
INDOMETHACIN	Completed suicide	male_higher	-0.8057384490058215	13	20	33
RAMIPRIL	Completed suicide	male_higher	-0.8054442807040444	21	52	73
OXYCODONE;PARACETAMOL	Completed suicide	female_higher	0.8052009301528409	907	540	1447
LEVOFLOXACIN	Fear of death	male_higher	-0.8034871409029567	15	17	32
POTASSIUM CHLORIDE	Cardio-respiratory arrest	male_higher	-0.8034356281377466	14	24	38
PIPERACILLIN;TAZOBACTAM	Cardio-respiratory arrest	female_higher	0.8010073267837259	33	30	63
BENDAMUSTINE HYDROCHLORIDE	Death	female_higher	0.79939053193563	33	44	77
BENZONATATE	Completed suicide	female_higher	0.7988766859141627	154	33	187
LARONIDASE	Death	female_higher	0.7986550316210748	52	43	95
VORICONAZOLE	Death	female_higher	0.7970851259221771	240	319	559
QUININE	Death	male_higher	-0.7959976639416727	19	86	105
CALCIUM CHLORIDE;GLUCOSE;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	Death	female_higher	0.79478925125397	126	136	262
GLUCAGON	Death	male_higher	-0.7941414876022355	17	63	80
DAUNORUBICIN	Cardio-respiratory arrest	female_higher	0.7937791683163681	32	25	57
KETOROLAC	Completed suicide	female_higher	0.7932975792725887	38	12	50
METHYLPHENIDATE	Death	female_higher	0.7926345418593912	60	77	137
LISDEXAMFETAMINE	Completed suicide	female_higher	0.7922564379824352	82	36	118
NEBIVOLOL	Completed suicide	female_higher	0.7918546416402226	89	36	125
DIAZEPAM	Accidental death	female_higher	0.7917132155562094	47	46	93
AVIBACTAM;CEFTAZIDIME	Death	female_higher	0.7891810170350273	41	57	98
FERUMOXYTOL	Cardio-respiratory arrest	male_higher	-0.7887518965067746	15	19	34
FLECAINIDE	Cardio-respiratory arrest	female_higher	0.788063253755503	58	28	86
CALCIUM;ICODEXTRIN;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	Cardio-respiratory arrest	female_higher	0.7879180828640729	25	25	50
AMOXICILLIN	Cardio-respiratory arrest	male_higher	-0.7877676387798627	28	56	84
NORDAZEPAM	Death	female_higher	0.7872924861651694	48	94	142
BUTALBITAL	Death	female_higher	0.7855315553463109	50	13	63
DIAZEPAM	Completed suicide	female_higher	0.7841601160846161	1622	869	2491
CARBOPLATIN	Sudden death	female_higher	0.7831350043965106	33	26	59
CODEINE;PROMETHAZINE	Death	female_higher	0.7816410003427879	79	75	154
ALCOHOL	Death	female_higher	0.7805114149599659	323	321	644
IRON	Death	male_higher	-0.7799436864375106	191	260	451
