drug_name	adverse_event	direction	log_ratio	ror_female	ror_male	n_female	n_male	total_reports
ABATACEPT	Therapeutic product effect decreased	female_higher	0.9332306120057958	32.61235383307801	12.8258229484368	5840	355	6195
METHOTREXATE	Disability	female_higher	0.933196509214838	7.566866786028575	2.976007311376138	835	200	1035
OXYCODONE	Drug ineffective	female_higher	0.9328410367094943	1.007801051031539	0.39650356112463697	4967	2186	7153
TOCILIZUMAB	Asthenia	female_higher	0.9326357087259239	2.3561775436142773	0.9271915618242123	2983	318	3301
CLONAZEPAM	Vomiting	female_higher	0.9325289841603097	2.5740786556045316	1.0130470620474623	1401	269	1670
BUDESONIDE	Pneumonia	female_higher	0.932303573690789	4.337315129904109	1.7073662001866554	909	281	1190
BUPROPION	Headache	female_higher	0.9321506689142965	2.4212284492003286	0.9532523319745212	1755	195	1950
GOLIMUMAB	Psoriatic arthropathy	female_higher	0.9318002690853646	31.896166115405013	12.56211513101201	3158	290	3448
INFLIXIMAB	Rheumatoid arthritis	female_higher	0.9315411394611295	25.390086059355987	10.002325797962252	12745	1114	13859
GLATIRAMER	Multiple sclerosis relapse	male_higher	-0.9314523611769983	20.33119940193018	51.60450545673454	3114	783	3897
CALCIUM	Nasopharyngitis	female_higher	0.9312156359672419	13.140377879532267	5.178286109500098	1236	97	1333
ADALIMUMAB	Deep vein thrombosis	male_higher	-0.9311990390196092	0.4348945571828679	1.1035666729987597	444	602	1046
ADALIMUMAB	Drug intolerance	female_higher	0.9308772047424855	6.312412881367877	2.488402127915373	11763	1583	13346
LEFLUNOMIDE	Dyspepsia	female_higher	0.9305294419339925	7.5777317946698775	2.9882396775049562	1575	85	1660
TISAGENLECLEUCEL	Cytokine release syndrome	female_higher	0.9302579615230471	1565.0660228809984	617.3433349352407	591	869	1460
CORTISONE	Off label use	female_higher	0.9301334824349325	11.199056582223509	4.418039557138977	2713	176	2889
SALBUTAMOL	Fall	female_higher	0.9300349119184897	1.4458775518545495	0.5704564367509456	1269	228	1497
LAMOTRIGINE	Product use in unapproved indication	female_higher	0.9287747158216422	2.724141091987312	1.0761377424845053	931	192	1123
TOCILIZUMAB	Weight increased	female_higher	0.9287020452124397	6.93701787901337	2.7405809857784305	5190	428	5618
PEGFILGRASTIM	Device leakage	female_higher	0.9285851341602096	11.34770151118266	4.483616966272726	829	302	1131
ALENDRONIC ACID	Pneumonia	female_higher	0.9285158850449816	5.312978320790246	2.0993687031917108	2116	77	2193
MORPHINE	Arthralgia	female_higher	0.9280627112160597	0.9728773480058883	0.3845967210594479	955	253	1208
RAMIPRIL	Asthenia	female_higher	0.927934289099564	4.808227927344171	1.90102708822073	1304	500	1804
ETANERCEPT	Product use in unapproved indication	female_higher	0.9270726381616616	0.6053955659261755	0.23956132400331065	2433	340	2773
HYDROMORPHONE	Fatigue	female_higher	0.927033086598813	0.9734633088453647	0.38522479521338454	1153	402	1555
APREMILAST	Condition aggravated	female_higher	0.9269678031713036	1.8674235070666159	0.7390363833267228	2404	437	2841
FLUTICASONE;SALMETEROL	Chest pain	female_higher	0.926958587482997	3.238649663935381	1.2817135390587169	852	167	1019
INFLIXIMAB	Joint swelling	female_higher	0.926830428579841	13.241610408277293	5.241112298839297	7462	1023	8485
ANASTROZOLE	Arthralgia	female_higher	0.9265862954780077	5.093665773259835	2.0165970600098517	1232	13	1245
DIPHENHYDRAMINE	Hypersensitivity	female_higher	0.9263969559065163	6.759192924215602	2.6764908096122224	1026	109	1135
ISOTRETINOIN	Inflammatory bowel disease	male_higher	-0.9262444813522848	278.2555440361219	702.5976506049678	1153	1595	2748
DICLOFENAC	Pain in extremity	female_higher	0.9258842685302908	3.401794176902817	1.3477259936151122	2351	280	2631
SECUKINUMAB	Off label use	female_higher	0.9257799134889525	0.9880336256839058	0.3914809353310729	3873	979	4852
ERENUMAB	Accidental exposure to product	male_higher	-0.9257122248788172	49.305000320971295	124.42930548164404	7464	2080	9544
RITUXIMAB	Fall	female_higher	0.9254993115094069	1.4088878745512545	0.5583894283268902	2156	478	2634
OXYCODONE	Dizziness	female_higher	0.9250968216077252	1.0133426077233594	0.40178327906335737	1942	721	2663
RITUXIMAB	Dizziness	female_higher	0.924727428082009	1.4343313759004108	0.5689125043501714	3197	661	3858
CALCIUM	Drug intolerance	female_higher	0.9241881675337478	25.72549090778764	10.209250253472703	1244	94	1338
