drug_name	adverse_event	log_ratio	n_female	n_male	ror_female	ror_male	direction	abs_lr
RITUXIMAB	Helicobacter infection	3.869	3487	27	135.611	2.832	female_higher	3.869
SODIUM BICARBONATE;SODIUM CHLORIDE	Chest discomfort	-3.869	28	78	8.817	422.129	male_higher	3.869
SODIUM CITRATE	Constipation	-3.859	10	182	0.181	8.588	male_higher	3.859
TOCILIZUMAB	Apparent death	-3.859	25	279	1.959	92.857	male_higher	3.859
FLUOROURACIL	Carbohydrate antigen 15-3 increased	-3.857	10	10	6.568	310.905	male_higher	3.857
PANTOPRAZOLE	Wound	3.855	1099	10	18.499	0.392	female_higher	3.855
FINASTERIDE	Exposure via father	3.853	15	12	768.029	16.291	female_higher	3.853
CHORIONIC GONADOTROPHIN	Product dose omission issue	-3.851	12	79	0.297	13.959	male_higher	3.851
CORTISONE	Pulmonary embolism	-3.843	17	99	0.545	25.439	male_higher	3.843
CETIRIZINE	Discomfort	3.839	3323	18	46.161	0.993	female_higher	3.839
USTEKINUMAB	Hypercholesterolaemia	3.839	823	10	50.004	1.076	female_higher	3.839
CHLORHEXIDINE	Pyrexia	3.832	2525	11	40.253	0.872	female_higher	3.832
TOCILIZUMAB	Folliculitis	3.831	3297	20	174.856	3.791	female_higher	3.831
PSEUDOEPHEDRINE	Fatigue	3.830	3483	14	16.981	0.369	female_higher	3.830
HYDROCORTISONE	Mobility decreased	3.825	1475	13	27.659	0.603	female_higher	3.825
CLOTRIMAZOLE	Pain in extremity	-3.825	17	106	0.536	24.580	male_higher	3.825
OXYCODONE	Swelling	3.824	3160	52	8.100	0.177	female_higher	3.824
PARACETAMOL	Therapeutic product effect decreased	3.818	2290	19	13.726	0.302	female_higher	3.818
USTEKINUMAB	Sleep disorder	3.817	1322	18	8.332	0.183	female_higher	3.817
BUPRENORPHINE	Obesity	3.817	338	10	15.388	0.338	female_higher	3.817
CALCIUM	Hypothyroidism	-3.816	16	140	1.008	45.777	male_higher	3.816
RANITIDINE	C-reactive protein increased	3.814	417	12	1.577	0.035	female_higher	3.814
GABAPENTIN	Hand deformity	-3.813	13	38	0.266	12.052	male_higher	3.813
ALMOTRIPTAN	Product use in unapproved indication	-3.812	10	176	2.467	111.557	male_higher	3.812
