kg_node_id,kg_drug_name,chembl_id,atc_code,atc_name,atc_l1,atc_l1_desc,atc_l2,atc_l2_desc,atc_l3,atc_l3_desc,atc_l4,atc_l4_desc,source
DRUG:ITRACONAZOLE,ITRACONAZOLE,CHEMBL64391,J02AC02,itraconazole,J,ANTIINFECTIVES FOR SYSTEMIC USE,J02,ANTIMYCOTICS FOR SYSTEMIC USE,J02A,ANTIMYCOTICS FOR SYSTEMIC USE,J02AC,Triazole and tetrazole derivatives,ChEMBL_36
DRUG:IVABRADINE,IVABRADINE,CHEMBL471737,C01EB17,ivabradine,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,ChEMBL_36
DRUG:IVACAFTOR,IVACAFTOR,CHEMBL2010601,R07AX02,ivacaftor,R,RESPIRATORY SYSTEM,R07,OTHER RESPIRATORY SYSTEM PRODUCTS,R07A,OTHER RESPIRATORY SYSTEM PRODUCTS,R07AX,Other respiratory system products,ChEMBL_36
DRUG:IVERMECTIN,IVERMECTIN,CHEMBL6067487,P02CF01,ivermectin,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P02,ANTHELMINTICS,P02C,ANTINEMATODAL AGENTS,P02CF,Avermectines,ChEMBL_36
DRUG:IVERMECTIN,IVERMECTIN,CHEMBL6067487,D11AX22,ivermectin,D,DERMATOLOGICALS,D11,OTHER DERMATOLOGICAL PREPARATIONS,D11A,OTHER DERMATOLOGICAL PREPARATIONS,D11AX,Other dermatologicals,ChEMBL_36
DRUG:IVOSIDENIB,IVOSIDENIB,CHEMBL3989958,L01XM02,ivosidenib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS,L01XM,Isocitrate dehydrogenase (IDH) inhibitors,ChEMBL_36
DRUG:IXABEPILONE,IXABEPILONE,CHEMBL1201752,L01DC04,ixabepilone,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01DC,Other cytotoxic antibiotics,ChEMBL_36
DRUG:IXAZOMIB,IXAZOMIB,CHEMBL2141296,L01XG03,ixazomib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS,L01XG,Proteasome inhibitors,ChEMBL_36
DRUG:IXEKIZUMAB,IXEKIZUMAB,CHEMBL1743034,L04AC13,ixekizumab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AC,Interleukin inhibitors,ChEMBL_36
DRUG:KANAMYCIN,KANAMYCIN,CHEMBL1384,J01GB04,kanamycin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01G,AMINOGLYCOSIDE ANTIBACTERIALS,J01GB,Other aminoglycosides,ChEMBL_36
DRUG:KANAMYCIN,KANAMYCIN,CHEMBL1384,S01AA24,kanamycin,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,ChEMBL_36
DRUG:KANAMYCIN,KANAMYCIN,CHEMBL1384,A07AA08,kanamycin,A,ALIMENTARY TRACT AND METABOLISM,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07A,INTESTINAL ANTIINFECTIVES,A07AA,Antibiotics,ChEMBL_36
DRUG:KETAMINE,KETAMINE,CHEMBL742,N01AX03,ketamine,N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics,ChEMBL_36
DRUG:KETOBEMIDONE,KETOBEMIDONE,CHEMBL47072,N02AB01,ketobemidone,N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AB,Phenylpiperidine derivatives,ChEMBL_36
DRUG:KETOCONAZOLE,KETOCONAZOLE,CHEMBL157101,G01AF11,ketoconazole,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AF,Imidazole derivatives,ChEMBL_36
