id,name,soc
AE:Congenital central nervous system anomaly,Congenital central nervous system anomaly,"Congenital, familial and genetic disorders"
AE:Cytomegalovirus infection,Cytomegalovirus infection,Infections and infestations
AE:Dandy-Walker syndrome,Dandy-Walker syndrome,Unclassified
AE:Decreased immune responsiveness,Decreased immune responsiveness,Unclassified
AE:Dehydration,Dehydration,Unclassified
AE:Dementia Alzheimer's type,Dementia Alzheimer's type,Nervous system disorders
AE:Depressed level of consciousness,Depressed level of consciousness,Unclassified
AE:Diplopia,Diplopia,Eye disorders
AE:Disease recurrence,Disease recurrence,"Neoplasms benign, malignant and unspecified"
AE:Drug level increased,Drug level increased,Investigations
AE:Drug reaction with eosinophilia and systemic symptoms,Drug reaction with eosinophilia and systemic symptoms,Immune system disorders
AE:Dyslipidaemia,Dyslipidaemia,Unclassified
AE:Dysphagia,Dysphagia,Gastrointestinal disorders
AE:Dysuria,Dysuria,Renal and urinary disorders
AE:Enterococcal infection,Enterococcal infection,Infections and infestations
AE:Enterovirus infection,Enterovirus infection,Infections and infestations
AE:Exposure during pregnancy,Exposure during pregnancy,Unclassified
AE:Extraocular muscle paresis,Extraocular muscle paresis,Musculoskeletal and connective tissue disorders
AE:Eyelid ptosis,Eyelid ptosis,Eye disorders
AE:Fluid retention,Fluid retention,Unclassified
AE:Foetal death,Foetal death,"Pregnancy, puerperium and perinatal conditions"
AE:Foetal exposure during pregnancy,Foetal exposure during pregnancy,"Pregnancy, puerperium and perinatal conditions"
AE:Foetal growth abnormality,Foetal growth abnormality,"Pregnancy, puerperium and perinatal conditions"
AE:Foetal growth restriction,Foetal growth restriction,"Pregnancy, puerperium and perinatal conditions"
AE:Food allergy,Food allergy,Unclassified
AE:Gastrointestinal disorder,Gastrointestinal disorder,Gastrointestinal disorders
AE:Gastroschisis,Gastroschisis,Unclassified
AE:Gene mutation,Gene mutation,Unclassified
AE:Glucose tolerance impaired,Glucose tolerance impaired,Investigations
AE:HIV infection,HIV infection,Infections and infestations
AE:Haemoglobin decreased,Haemoglobin decreased,Investigations
AE:Hepatic enzyme increased,Hepatic enzyme increased,Hepatobiliary disorders
AE:Hepatic failure,Hepatic failure,Hepatobiliary disorders
AE:Hepatic fibrosis,Hepatic fibrosis,Hepatobiliary disorders
AE:Hepatic function abnormal,Hepatic function abnormal,Hepatobiliary disorders
AE:Hepatitis,Hepatitis,Unclassified
AE:Hepatitis C,Hepatitis C,Infections and infestations
AE:Herpes virus infection,Herpes virus infection,Infections and infestations
AE:Hospitalisation,Hospitalisation,Surgical and medical procedures
AE:Hyperbilirubinaemia,Hyperbilirubinaemia,Unclassified
AE:Hyperhidrosis,Hyperhidrosis,Unclassified
AE:Hyperlactacidaemia,Hyperlactacidaemia,Unclassified
AE:Hypertriglyceridaemia,Hypertriglyceridaemia,Unclassified
AE:Hypotension,Hypotension,Vascular disorders
AE:Immune reconstitution inflammatory syndrome,Immune reconstitution inflammatory syndrome,Unclassified
AE:Infertility,Infertility,Unclassified
AE:Kaposi's sarcoma,Kaposi's sarcoma,"Neoplasms benign, malignant and unspecified"
AE:Laboratory test abnormal,Laboratory test abnormal,Investigations
AE:Lactic acidosis,Lactic acidosis,Metabolism and nutrition disorders
AE:Leukopenia,Leukopenia,Unclassified
AE:Lipodystrophy acquired,Lipodystrophy acquired,Unclassified
AE:Live birth,Live birth,Unclassified
AE:Liver disorder,Liver disorder,Hepatobiliary disorders
AE:Liver function test abnormal,Liver function test abnormal,Hepatobiliary disorders
AE:Low birth weight baby,Low birth weight baby,Unclassified
AE:Lung cancer metastatic,Lung cancer metastatic,"Neoplasms benign, malignant and unspecified"
AE:Lung neoplasm malignant,Lung neoplasm malignant,"Neoplasms benign, malignant and unspecified"
AE:Lymphadenopathy,Lymphadenopathy,Unclassified
AE:Lymphoedema,Lymphoedema,Vascular disorders
AE:Macrocephaly,Macrocephaly,Unclassified
AE:Maternal exposure during pregnancy,Maternal exposure during pregnancy,Unclassified
AE:Megacolon,Megacolon,Unclassified
AE:Meningitis cryptococcal,Meningitis cryptococcal,Infections and infestations
AE:Metabolic acidosis,Metabolic acidosis,Metabolism and nutrition disorders
AE:Metrorrhagia,Metrorrhagia,Unclassified
AE:Mitochondrial myopathy,Mitochondrial myopathy,Musculoskeletal and connective tissue disorders
AE:Mitochondrial toxicity,Mitochondrial toxicity,"Injury, poisoning and procedural complications"
AE:Multi-organ failure,Multi-organ failure,General disorders and administration site conditions
AE:Multiple-drug resistance,Multiple-drug resistance,Unclassified
AE:Muscle atrophy,Muscle atrophy,Musculoskeletal and connective tissue disorders
AE:Muscular weakness,Muscular weakness,Musculoskeletal and connective tissue disorders
AE:Myalgia,Myalgia,Musculoskeletal and connective tissue disorders
AE:Mycobacterium avium complex infection,Mycobacterium avium complex infection,Infections and infestations
AE:Myocardial infarction,Myocardial infarction,Cardiac disorders
AE:Nephrolithiasis,Nephrolithiasis,Unclassified
AE:Nephropathy toxic,Nephropathy toxic,Renal and urinary disorders
AE:Nervous system disorder,Nervous system disorder,Nervous system disorders
AE:Neurodevelopmental disorder,Neurodevelopmental disorder,Unclassified
AE:Neuropathy peripheral,Neuropathy peripheral,Unclassified
AE:Neutropenia,Neutropenia,Unclassified
AE:Oedema,Oedema,General disorders and administration site conditions
AE:Ophthalmoplegia,Ophthalmoplegia,Unclassified
AE:Osteonecrosis,Osteonecrosis,Musculoskeletal and connective tissue disorders
AE:Osteoporosis,Osteoporosis,Unclassified
AE:Ovarian failure,Ovarian failure,Reproductive system and breast disorders
AE:Pancreatitis,Pancreatitis,Unclassified
AE:Pancytopenia,Pancytopenia,Unclassified
AE:Paraesthesia,Paraesthesia,Nervous system disorders
AE:Pathogen resistance,Pathogen resistance,Unclassified
AE:Peripheral venous disease,Peripheral venous disease,Vascular disorders
AE:Polydactyly,Polydactyly,"Congenital, familial and genetic disorders"
AE:Polyneuropathy,Polyneuropathy,Unclassified
AE:Pregnancy,Pregnancy,Unclassified
AE:Premature baby,Premature baby,"Pregnancy, puerperium and perinatal conditions"
AE:Premature delivery,Premature delivery,Unclassified
AE:Premature labour,Premature labour,Unclassified
AE:Prescribed overdose,Prescribed overdose,"Injury, poisoning and procedural complications"
AE:Progressive external ophthalmoplegia,Progressive external ophthalmoplegia,Unclassified
AE:Progressive multifocal leukoencephalopathy,Progressive multifocal leukoencephalopathy,Unclassified
AE:Proteinuria,Proteinuria,Unclassified
AE:Pruritus,Pruritus,Skin and subcutaneous tissue disorders
AE:Pseudomonas infection,Pseudomonas infection,Infections and infestations
AE:Psoriasis,Psoriasis,Skin and subcutaneous tissue disorders
AE:Pulmonary hypertension,Pulmonary hypertension,"Respiratory, thoracic and mediastinal disorders"
AE:Rash erythematous,Rash erythematous,Skin and subcutaneous tissue disorders
AE:Renal disorder,Renal disorder,Renal and urinary disorders
AE:Renal failure,Renal failure,Renal and urinary disorders
AE:Renal impairment,Renal impairment,Renal and urinary disorders
AE:Renal tubular necrosis,Renal tubular necrosis,Renal and urinary disorders
AE:Respiratory failure,Respiratory failure,"Respiratory, thoracic and mediastinal disorders"
AE:Retching,Retching,Unclassified
AE:Skin lesion,Skin lesion,Skin and subcutaneous tissue disorders
AE:Small for dates baby,Small for dates baby,Unclassified
AE:Speech disorder developmental,Speech disorder developmental,Nervous system disorders
AE:Splenomegaly,Splenomegaly,Unclassified
AE:Stillbirth,Stillbirth,"Pregnancy, puerperium and perinatal conditions"
AE:Suicidal ideation,Suicidal ideation,Psychiatric disorders
AE:Tachycardia,Tachycardia,Cardiac disorders
AE:Temperature regulation disorder,Temperature regulation disorder,Unclassified
AE:Thrombocytopenia,Thrombocytopenia,Unclassified
AE:Toxic epidermal necrolysis,Toxic epidermal necrolysis,Skin and subcutaneous tissue disorders
AE:Transaminases increased,Transaminases increased,Investigations
AE:Transplant rejection,Transplant rejection,Surgical and medical procedures
AE:Treatment noncompliance,Treatment noncompliance,General disorders and administration site conditions
AE:Trisomy 21,Trisomy 21,"Congenital, familial and genetic disorders"
AE:Tubulointerstitial nephritis,Tubulointerstitial nephritis,Renal and urinary disorders
AE:Viral load increased,Viral load increased,Infections and infestations
AE:Viral mutation identified,Viral mutation identified,Infections and infestations
AE:Virologic failure,Virologic failure,Unclassified
AE:White matter lesion,White matter lesion,Unclassified
AE:Generalised anxiety disorder,Generalised anxiety disorder,Psychiatric disorders
AE:Rash generalised,Rash generalised,Skin and subcutaneous tissue disorders
AE:Rash maculo-papular,Rash maculo-papular,Skin and subcutaneous tissue disorders
AE:Social avoidant behaviour,Social avoidant behaviour,Unclassified
AE:Abdominal discomfort,Abdominal discomfort,Gastrointestinal disorders
AE:Abdominal lymphadenopathy,Abdominal lymphadenopathy,Gastrointestinal disorders
AE:Abortion induced,Abortion induced,Unclassified
AE:Adverse drug reaction,Adverse drug reaction,General disorders and administration site conditions
AE:Agitation,Agitation,Psychiatric disorders
AE:Alopecia,Alopecia,Skin and subcutaneous tissue disorders
AE:Angina pectoris,Angina pectoris,Cardiac disorders
AE:Blood bilirubin increased,Blood bilirubin increased,Investigations
AE:Cerebrovascular accident,Cerebrovascular accident,Nervous system disorders
AE:Completed suicide,Completed suicide,"Injury, poisoning and procedural complications"
AE:Cryptosporidiosis infection,Cryptosporidiosis infection,Infections and infestations
AE:Depressed mood,Depressed mood,Psychiatric disorders
AE:Dermatitis allergic,Dermatitis allergic,Skin and subcutaneous tissue disorders
AE:Disseminated mycobacterium avium complex infection,Disseminated mycobacterium avium complex infection,Infections and infestations
AE:Drug dose omission,Drug dose omission,Unclassified
AE:Drug eruption,Drug eruption,Skin and subcutaneous tissue disorders
AE:Emotional distress,Emotional distress,Psychiatric disorders
AE:Feeding disorder,Feeding disorder,Unclassified
AE:Flatulence,Flatulence,Gastrointestinal disorders
AE:Gestational diabetes,Gestational diabetes,"Pregnancy, puerperium and perinatal conditions"
AE:Glomerular filtration rate decreased,Glomerular filtration rate decreased,Investigations
AE:Glycosylated haemoglobin increased,Glycosylated haemoglobin increased,Investigations
