drug_name,chembl_id,atc_code,atc_name,atc_l1,atc_l1_desc,atc_l2,atc_l2_desc,atc_l3,atc_l3_desc,atc_l4,atc_l4_desc
SALMETEROL,CHEMBL1263,R03AC12,salmeterol,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03A,"ADRENERGICS, INHALANTS",R03AC,Selective beta-2-adrenoreceptor agonists
SALSALATE,CHEMBL154111,N02BA06,salsalate,N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BA,Salicylic acid and derivatives
SAMARIUM SM 153 LEXIDRONAM PENTASODIUM,CHEMBL2096660,V10BX02,samarium (153Sm) lexidronam,V,VARIOUS,V10,THERAPEUTIC RADIOPHARMACEUTICALS,V10B,PAIN PALLIATION (BONE SEEKING AGENTS),V10BX,Various pain palliation radiopharmaceuticals
SAPROPTERIN,CHEMBL1201774,A16AX07,sapropterin,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AX,Various alimentary tract and metabolism products
SAQUINAVIR,CHEMBL114,J05AE01,saquinavir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AE,Protease inhibitors
SARECYCLINE,CHEMBL2364632,J01AA14,sarecycline,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01A,TETRACYCLINES,J01AA,Tetracyclines
SARGRAMOSTIM,CHEMBL1201670,L03AA09,sargramostim,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03AA,Colony stimulating factors
SARILUMAB,CHEMBL2108730,L04AC14,sarilumab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AC,Interleukin inhibitors
SARUPLASE,CHEMBL2108129,B01AD08,saruplase,B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AD,Enzymes
SATRALIZUMAB,CHEMBL3833307,L04AC19,satralizumab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AC,Interleukin inhibitors
SATRANIDAZOLE,CHEMBL2105542,P01AB08,satranidazole,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AB,Nitroimidazole derivatives
SATRAPLATIN,CHEMBL3833367,L01XA04,satraplatin,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS,L01XA,Platinum compounds
SAXAGLIPTIN,CHEMBL2103745,A10BH03,saxagliptin,A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors
SCOPOLAMINE,CHEMBL569713,S01FA02,scopolamine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01F,MYDRIATICS AND CYCLOPLEGICS,S01FA,Anticholinergics
SCOPOLAMINE,CHEMBL569713,A04AD01,scopolamine,A,ALIMENTARY TRACT AND METABOLISM,A04,ANTIEMETICS AND ANTINAUSEANTS,A04A,ANTIEMETICS AND ANTINAUSEANTS,A04AD,Other antiemetics
SCOPOLAMINE,CHEMBL569713,A04AD51,"scopolamine, combinations",A,ALIMENTARY TRACT AND METABOLISM,A04,ANTIEMETICS AND ANTINAUSEANTS,A04A,ANTIEMETICS AND ANTINAUSEANTS,A04AD,Other antiemetics
SCOPOLAMINE,CHEMBL569713,N05CM05,scopolamine,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CM,Other hypnotics and sedatives
SEBELIPASE ALFA,CHEMBL3039537,A16AB14,sebelipase alfa,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB,Enzymes
SEBETRALSTAT,CHEMBL5095248,B06AC08,sebetralstat,B,BLOOD AND BLOOD FORMING ORGANS,B06,OTHER HEMATOLOGICAL AGENTS,B06A,OTHER HEMATOLOGICAL AGENTS,B06AC,Drugs used in hereditary angioedema
SECNIDAZOLE,CHEMBL498847,P01AB07,secnidazole,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AB,Nitroimidazole derivatives
SECOBARBITAL,CHEMBL447,N05CA06,secobarbital,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CA,"Barbiturates, plain"
SECRETIN,CHEMBL6067494,V04CK01,secretin,V,VARIOUS,V04,DIAGNOSTIC AGENTS,V04C,OTHER DIAGNOSTIC AGENTS,V04CK,Tests for pancreatic function
SECUKINUMAB,CHEMBL1743068,L04AC10,secukinumab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AC,Interleukin inhibitors
SELADELPAR,CHEMBL230158,A05AX07,seladelpar,A,ALIMENTARY TRACT AND METABOLISM,A05,BILE AND LIVER THERAPY,A05A,BILE THERAPY,A05AX,Other drugs for bile therapy
SELEGILINE,CHEMBL972,N04BD01,selegiline,N,NERVOUS SYSTEM,N04,ANTI-PARKINSON DRUGS,N04B,DOPAMINERGIC AGENTS,N04BD,Monoamine oxidase B inhibitors
SELENIUM (75SE) TAUROSELCHOLIC ACID,CHEMBL3707262,V09DX01,selenium (75Se) tauroselcholic acid,V,VARIOUS,V09,DIAGNOSTIC RADIOPHARMACEUTICALS,V09D,HEPATIC AND RETICULO ENDOTHELIAL SYSTEM,V09DX,Other hepatic and reticulo endothelial system diagnostic radiopharmaceuticals
SELENIUM SULFIDE,CHEMBL1200680,D01AE13,selenium sulfide,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AE,Other antifungals for topical use
SELEXIPAG,CHEMBL238804,B01AC27,selexipag,B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin
SELINEXOR,CHEMBL3545185,L01XX66,selinexor,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS,L01XX,Other antineoplastic agents
SELPERCATINIB,CHEMBL4559134,L01EX22,selpercatinib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EX,Other protein kinase inhibitors
SELUMETINIB,CHEMBL1614701,L01EE04,selumetinib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EE,Mitogen-activated protein kinase (MEK) inhibitors
SEMAGLUTIDE,CHEMBL2108724,A10BJ06,semaglutide,A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BJ,Glucagon-like peptide-1 (GLP-1) analogues
SEMUSTINE,CHEMBL12948,L01AD03,semustine,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AD,Nitrosoureas
SENEGA SYRUP,CHEMBL2108112,R05CA06,senega,R,RESPIRATORY SYSTEM,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CA,Expectorants
SENIPRUTUG,CHEMBL5314876,L04AG17,seniprutug,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AG,Monoclonal antibodies
SENNA,CHEMBL2108558,A06AB06,senna glycosides,A,ALIMENTARY TRACT AND METABOLISM,A06,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06AB,Contact laxatives
SENNA,CHEMBL2108558,A06AB56,"senna glycosides, combinations",A,ALIMENTARY TRACT AND METABOLISM,A06,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06AB,Contact laxatives
SEPOFARSEN,CHEMBL4594497,S01XA29,sepofarsen,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01X,OTHER OPHTHALMOLOGICALS,S01XA,Other ophthalmologicals
SEQUIFENADINE,CHEMBL2105505,R06AX32,sequifenadine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AX,Other antihistamines for systemic use
SERATRODAST,CHEMBL70972,R03DX06,seratrodast,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DX,Other systemic drugs for obstructive airway diseases
SERELAXIN,CHEMBL2108358,C01DX21,serelaxin,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases
SERMORELIN ACETATE,CHEMBL1201490,V04CD03,sermorelin,V,VARIOUS,V04,DIAGNOSTIC AGENTS,V04C,OTHER DIAGNOSTIC AGENTS,V04CD,Tests for pituitary function
SERMORELIN ACETATE,CHEMBL1201490,H01AC04,sermorelin,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC,Somatropin and somatropin agonists
SERPLULIMAB,CHEMBL4594550,L01FF12,serplulimab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01F,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FF,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors
SERTACONAZOLE,CHEMBL1201196,D01AC14,sertaconazole,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AC,Imidazole and triazole derivatives
SERTACONAZOLE,CHEMBL1201196,G01AF19,sertaconazole,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AF,Imidazole derivatives
SERTINDOLE,CHEMBL12713,N05AE03,sertindole,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AE,Indole derivatives
SERTRALINE,CHEMBL809,N06AB06,sertraline,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AB,Selective serotonin reuptake inhibitors
SETMELANOTIDE,CHEMBL3301624,A08AA12,setmelanotide,A,ALIMENTARY TRACT AND METABOLISM,A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08AA,Centrally acting antiobesity products
SEVELAMER,CHEMBL5314349,V03AE02,sevelamer,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia
SEVOFLURANE,CHEMBL1200694,N01AB08,sevoflurane,N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AB,Halogenated hydrocarbons
SIBUTRAMINE,CHEMBL1419,A08AA10,sibutramine,A,ALIMENTARY TRACT AND METABOLISM,A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08AA,Centrally acting antiobesity products
SILDENAFIL,CHEMBL192,G04BE03,sildenafil,G,GENITO URINARY SYSTEM AND SEX HORMONES,G04,UROLOGICALS,G04B,UROLOGICALS,G04BE,Drugs used in erectile dysfunction
SILIBININ,CHEMBL9509,A05BA03,silymarin,A,ALIMENTARY TRACT AND METABOLISM,A05,BILE AND LIVER THERAPY,A05B,"LIVER THERAPY, LIPOTROPICS",A05BA,Liver therapy
SILODOSIN,CHEMBL24778,G04CA04,silodosin,G,GENITO URINARY SYSTEM AND SEX HORMONES,G04,UROLOGICALS,G04C,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,G04CA,Alpha-adrenoreceptor antagonists
SILTUXIMAB,CHEMBL1743070,L04AC11,siltuximab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AC,Interleukin inhibitors
SILVER,CHEMBL1230866,D08AL30,silver,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AL,Silver compounds
SILVER NITRATE,CHEMBL177367,D08AL01,silver nitrate,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AL,Silver compounds
SIMEPREVIR,CHEMBL501849,J05AP05,simeprevir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AP,Antivirals for treatment of HCV infections
SIMFIBRATE,CHEMBL2105435,C10AB06,simfibrate,C,CARDIOVASCULAR SYSTEM,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AB,Fibrates
SIMVASTATIN,CHEMBL1064,C10AA01,simvastatin,C,CARDIOVASCULAR SYSTEM,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AA,HMG CoA reductase inhibitors
SINCALIDE,CHEMBL1121,V04CC03,sincalide,V,VARIOUS,V04,DIAGNOSTIC AGENTS,V04C,OTHER DIAGNOSTIC AGENTS,V04CC,Tests for bile duct patency
SINECATECHINS,CHEMBL1201723,D06BB12,sinecatechins,D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06BB,Antivirals
SIPAVIBART,CHEMBL5315011,J06BD09,sipavibart,J,ANTIINFECTIVES FOR SYSTEMIC USE,J06,IMMUNE SERA AND IMMUNOGLOBULINS,J06B,IMMUNOGLOBULINS,J06BD,Antiviral monoclonal antibodies
SIPONIMOD,CHEMBL2336071,L04AE03,siponimod,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AE,Sphingosine-1-phosphate (S1P) receptor modulators
SIPULEUCEL-T,CHEMBL1237024,L03AX17,sipuleucel-T,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03AX,Other immunostimulants
SIROLIMUS,CHEMBL413,S01XA23,sirolimus,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01X,OTHER OPHTHALMOLOGICALS,S01XA,Other ophthalmologicals
SIROLIMUS,CHEMBL413,L04AH01,sirolimus,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AH,Mammalian target of rapamycin (mTOR) kinase inhibitors
SIROLIMUS,CHEMBL413,L01EG04,sirolimus,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EG,Mammalian target of rapamycin (mTOR) kinase inhibitors
SIRUKUMAB,CHEMBL1743071,L04AC15,sirukumab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AC,Interleukin inhibitors
SISOMICIN,CHEMBL221886,J01GB08,sisomicin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01G,AMINOGLYCOSIDE ANTIBACTERIALS,J01GB,Other aminoglycosides
SITAFLOXACIN,CHEMBL3989504,J01MA21,sitafloxacin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01M,QUINOLONE ANTIBACTERIALS,J01MA,Fluoroquinolones
SITAGLIPTIN,CHEMBL1422,A10BH01,sitagliptin,A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors
SITAXENTAN,CHEMBL282724,C02KX03,sitaxentan,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02K,OTHER ANTIHYPERTENSIVES,C02KX,Antihypertensives for pulmonary arterial hypertension
SITIMAGENE CERADENOVEC,CHEMBL2108335,L01XL01,sitimagene ceradenovec,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS,L01XL,Antineoplastic cell and gene therapy
SITRAVATINIB,CHEMBL3989926,L01EX26,sitravatinib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EX,Other protein kinase inhibitors
SOBREROL,CHEMBL2228862,R05CB07,sobrerol,R,RESPIRATORY SYSTEM,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CB,Mucolytics
SODIUM ACETATE,CHEMBL1354,B05XA08,sodium acetate,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05X,I.V. SOLUTION ADDITIVES,B05XA,Electrolyte solutions
SODIUM AUROTIOSULFATE,CHEMBL3833379,M01CB02,sodium aurotiosulfate,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01C,SPECIFIC ANTIRHEUMATIC AGENTS,M01CB,Gold preparations
SODIUM BENZOATE,CHEMBL1356,A16AX11,sodium benzoate,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AX,Various alimentary tract and metabolism products
SODIUM BICARBONATE,CHEMBL1353,B05XA02,sodium bicarbonate,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05X,I.V. SOLUTION ADDITIVES,B05XA,Electrolyte solutions
SODIUM BICARBONATE,CHEMBL1353,B05CB04,sodium bicarbonate,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05C,IRRIGATING SOLUTIONS,B05CB,Salt solutions
SODIUM BORATE,CHEMBL3833375,S01AX07,sodium borate,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives
SODIUM CHLORIDE,CHEMBL1200574,A12CA01,sodium chloride,A,ALIMENTARY TRACT AND METABOLISM,A12,MINERAL SUPPLEMENTS,A12C,OTHER MINERAL SUPPLEMENTS,A12CA,Sodium
SODIUM CHLORIDE,CHEMBL1200574,S01XA03,"sodium chloride, hypertonic",S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01X,OTHER OPHTHALMOLOGICALS,S01XA,Other ophthalmologicals
SODIUM CHLORIDE,CHEMBL1200574,B05CB01,sodium chloride,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05C,IRRIGATING SOLUTIONS,B05CB,Salt solutions
SODIUM CHLORIDE,CHEMBL1200574,B05XA03,sodium chloride,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05X,I.V. SOLUTION ADDITIVES,B05XA,Electrolyte solutions
SODIUM CITRATE,CHEMBL1355,B05CB02,sodium citrate,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05C,IRRIGATING SOLUTIONS,B05CB,Salt solutions
SODIUM FEREDETATE,CHEMBL1705709,B03AB03,sodium feredetate,B,BLOOD AND BLOOD FORMING ORGANS,B03,ANTIANEMIC PREPARATIONS,B03A,IRON PREPARATIONS,B03AB,"Iron trivalent, oral preparations"
SODIUM FERROUS CITRATE,CHEMBL5314906,B03AA12,ferrous sodium citrate,B,BLOOD AND BLOOD FORMING ORGANS,B03,ANTIANEMIC PREPARATIONS,B03A,IRON PREPARATIONS,B03AA,"Iron bivalent, oral preparations"
SODIUM FLUORIDE,CHEMBL1528,A01AA51,"sodium fluoride, combinations",A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents
SODIUM FLUORIDE,CHEMBL1528,A12CD01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM,A12,MINERAL SUPPLEMENTS,A12C,OTHER MINERAL SUPPLEMENTS,A12CD,Fluoride
SODIUM FLUORIDE,CHEMBL1528,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents
SODIUM FLUORIDE F 18,CHEMBL1200744,V09IX06,sodium fluoride (18F),V,VARIOUS,V09,DIAGNOSTIC RADIOPHARMACEUTICALS,V09I,TUMOUR DETECTION,V09IX,Other diagnostic radiopharmaceuticals for tumour detection
SODIUM GLYCEROPHOSPHATE,CHEMBL6067979,B05XA14,sodium glycerophosphate,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05X,I.V. SOLUTION ADDITIVES,B05XA,Electrolyte solutions
SODIUM HYPOCHLORITE,CHEMBL1334078,D08AX07,sodium hypochlorite,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AX,Other antiseptics and disinfectants
SODIUM IODIDE (124I),CHEMBL3707217,V09FX04,sodium iodide (124I),V,VARIOUS,V09,DIAGNOSTIC RADIOPHARMACEUTICALS,V09F,THYROID,V09FX,Various thyroid diagnostic radiopharmaceuticals
SODIUM IODIDE I 123,CHEMBL1201083,V09FX02,sodium iodide (123I),V,VARIOUS,V09,DIAGNOSTIC RADIOPHARMACEUTICALS,V09F,THYROID,V09FX,Various thyroid diagnostic radiopharmaceuticals
SODIUM IODIDE I 131,CHEMBL1201084,V10XA01,sodium iodide (131I),V,VARIOUS,V10,THERAPEUTIC RADIOPHARMACEUTICALS,V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,V10XA,Iodine (131I) compounds
SODIUM IODIDE I 131,CHEMBL1201084,V09FX03,sodium iodide (131I),V,VARIOUS,V09,DIAGNOSTIC RADIOPHARMACEUTICALS,V09F,THYROID,V09FX,Various thyroid diagnostic radiopharmaceuticals
SODIUM LEVOFOLINATE,CHEMBL3707343,V03AF10,sodium levofolinate,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AF,Detoxifying agents for antineoplastic treatment
SODIUM MONOFLUOROPHOSPHATE,CHEMBL1908359,A12CD02,sodium monofluorophosphate,A,ALIMENTARY TRACT AND METABOLISM,A12,MINERAL SUPPLEMENTS,A12C,OTHER MINERAL SUPPLEMENTS,A12CD,Fluoride
SODIUM MONOFLUOROPHOSPHATE,CHEMBL1908359,A01AA02,sodium monofluorophosphate,A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents
SODIUM NITRITE,CHEMBL93268,V03AB08,sodium nitrite,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes
SODIUM OXYBATE,CHEMBL1200682,N01AX11,sodium oxybate,N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics
SODIUM OXYBATE,CHEMBL1200682,N07XX04,sodium oxybate,N,NERVOUS SYSTEM,N07,OTHER NERVOUS SYSTEM DRUGS,N07X,OTHER NERVOUS SYSTEM DRUGS,N07XX,Other nervous system drugs
SODIUM PERBORATE,CHEMBL3707333,A01AB19,sodium perborate,A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment
SODIUM PERTECHNETATE TC 99M,CHEMBL2096641,V09FX01,technetium (99mTc) pertechnetate,V,VARIOUS,V09,DIAGNOSTIC RADIOPHARMACEUTICALS,V09F,THYROID,V09FX,Various thyroid diagnostic radiopharmaceuticals
SODIUM PHENYLBUTYRATE,CHEMBL1746,A16AX03,sodium phenylbutyrate,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AX,Various alimentary tract and metabolism products
SODIUM PHOSPHATE P 32,CHEMBL2107525,V10XX01,sodium phosphate (32P),V,VARIOUS,V10,THERAPEUTIC RADIOPHARMACEUTICALS,V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,V10XX,Various therapeutic radiopharmaceuticals
"SODIUM PHOSPHATE, DIBASIC, ANHYDROUS",CHEMBL1060,B05XA09,sodium phosphate,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05X,I.V. SOLUTION ADDITIVES,B05XA,Electrolyte solutions
