drug_name,chembl_id,atc_code,atc_name,atc_l1,atc_l1_desc,atc_l2,atc_l2_desc,atc_l3,atc_l3_desc,atc_l4,atc_l4_desc
CHLORAL HYDRATE,CHEMBL455917,N05CC01,chloral hydrate,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CC,Aldehydes and derivatives
CHLORAMBUCIL,CHEMBL515,L01AA02,chlorambucil,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AA,Nitrogen mustard analogues
CHLORAMINE-T ANHYDROUS,CHEMBL1697734,D08AX04,tosylchloramide sodium,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AX,Other antiseptics and disinfectants
CHLORAMPHENICOL,CHEMBL130,S01AA01,chloramphenicol,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics
CHLORAMPHENICOL,CHEMBL130,S03AA08,chloramphenicol,S,SENSORY ORGANS,S03,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,S03A,ANTIINFECTIVES,S03AA,Antiinfectives
CHLORAMPHENICOL,CHEMBL130,D06AX02,chloramphenicol,D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06A,ANTIBIOTICS FOR TOPICAL USE,D06AX,Other antibiotics for topical use
CHLORAMPHENICOL,CHEMBL130,G01AA05,chloramphenicol,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AA,Antibiotics
CHLORAMPHENICOL,CHEMBL130,S02AA01,chloramphenicol,S,SENSORY ORGANS,S02,OTOLOGICALS,S02A,ANTIINFECTIVES,S02AA,Antiinfectives
CHLORAMPHENICOL,CHEMBL130,D10AF03,chloramphenicol,D,DERMATOLOGICALS,D10,ANTI-ACNE PREPARATIONS,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AF,Antiinfectives for treatment of acne
CHLORAMPHENICOL,CHEMBL130,J01BA01,chloramphenicol,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01B,AMPHENICOLS,J01BA,Amphenicols
CHLORBENZOXAMINE,CHEMBL2110781,A03AX03,chlorbenzoxamine,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03AX,Other drugs for functional gastrointestinal disorders
CHLORCYCLIZINE,CHEMBL22150,R06AE04,chlorcyclizine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AE,Piperazine derivatives
CHLORDANTOIN,CHEMBL356479,G01AX01,clodantoin,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AX,Other antiinfectives and antiseptics
CHLORDIAZEPOXIDE,CHEMBL451,N05BA02,chlordiazepoxide,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BA,Benzodiazepine derivatives
CHLORHEXADOL,CHEMBL2104116,N05CC02,chloralodol,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CC,Aldehydes and derivatives
CHLORHEXIDINE,CHEMBL790,D08AC02,chlorhexidine,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AC,Biguanides and amidines
CHLORHEXIDINE,CHEMBL790,D09AA12,chlorhexidine,D,DERMATOLOGICALS,D09,MEDICATED DRESSINGS,D09A,MEDICATED DRESSINGS,D09AA,Medicated dressings with antiinfectives
CHLORHEXIDINE,CHEMBL790,S01AX09,chlorhexidine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives
CHLORHEXIDINE,CHEMBL790,B05CA02,chlorhexidine,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05C,IRRIGATING SOLUTIONS,B05CA,Antiinfectives
CHLORHEXIDINE,CHEMBL790,D08AC52,"chlorhexidine, combinations",D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AC,Biguanides and amidines
CHLORHEXIDINE,CHEMBL790,A01AB03,chlorhexidine,A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment
CHLORHEXIDINE,CHEMBL790,R02AA05,chlorhexidine,R,RESPIRATORY SYSTEM,R02,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02AA,Antiseptics
CHLORHEXIDINE,CHEMBL790,S02AA09,chlorhexidine,S,SENSORY ORGANS,S02,OTOLOGICALS,S02A,ANTIINFECTIVES,S02AA,Antiinfectives
CHLORHEXIDINE,CHEMBL790,S03AA04,chlorhexidine,S,SENSORY ORGANS,S03,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,S03A,ANTIINFECTIVES,S03AA,Antiinfectives
CHLORMADINONE ACETATE,CHEMBL110691,G03DB06,chlormadinone,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03D,PROGESTOGENS,G03DB,Pregnadien derivatives
CHLORMEZANONE,CHEMBL1200714,M03BB72,"chlormezanone, combinations with psycholeptics",M,MUSCULO-SKELETAL SYSTEM,M03,MUSCLE RELAXANTS,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BB,"Oxazol, thiazine, and triazine derivatives"
CHLORMEZANONE,CHEMBL1200714,M03BB52,"chlormezanone, combinations excl. psycholeptics",M,MUSCULO-SKELETAL SYSTEM,M03,MUSCLE RELAXANTS,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BB,"Oxazol, thiazine, and triazine derivatives"
CHLORMEZANONE,CHEMBL1200714,M03BB02,chlormezanone,M,MUSCULO-SKELETAL SYSTEM,M03,MUSCLE RELAXANTS,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BB,"Oxazol, thiazine, and triazine derivatives"
CHLORMIDAZOLE,CHEMBL152649,D01AC04,chlormidazole,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AC,Imidazole and triazole derivatives
CHLOROBUTANOL,CHEMBL1439973,A04AD54,"chlorobutanol, combinations",A,ALIMENTARY TRACT AND METABOLISM,A04,ANTIEMETICS AND ANTINAUSEANTS,A04A,ANTIEMETICS AND ANTINAUSEANTS,A04AD,Other antiemetics
CHLOROBUTANOL,CHEMBL1439973,A04AD04,chlorobutanol,A,ALIMENTARY TRACT AND METABOLISM,A04,ANTIEMETICS AND ANTINAUSEANTS,A04A,ANTIEMETICS AND ANTINAUSEANTS,A04AD,Other antiemetics
