drug_id	cluster	pc1	pc2
CHEMBL2109382	13	0.58239573	-0.42032695
CHEMBL2109434	13	0.53853697	-0.5031178
CHEMBL1739	11	0.47585183	-0.106564224
CHEMBL447664	19	0.51375586	-0.2721774
CHEMBL2105732	19	0.54904336	-0.25442654
CHEMBL2107801	11	0.4195772	-0.2678089
CHEMBL3989695	19	0.60534275	-0.39754248
CHEMBL1200328	17	0.76195735	-0.14788371
CHEMBL285674	11	0.40601796	-0.3784855
CHEMBL1200733	11	0.4079901	-0.17923531
CHEMBL2109342	19	0.47182065	-0.16234036
CHEMBL4650343	13	0.5506807	-0.5110397
CHEMBL4297631	13	0.3699973	-0.48439115
CHEMBL4594275	13	0.55722946	-0.35810488
CHEMBL495727	15	0.4634514	-0.14206636
CHEMBL4297181	13	0.4805438	-0.19228476
CHEMBL1200826	15	0.5076423	-0.20168988
CHEMBL2109354	13	0.50983757	-0.1778
CHEMBL3707277	15	0.48858905	-0.21628284
CHEMBL1743043	13	0.2775359	-0.18524003
CHEMBL2111109	15	0.41709277	-0.36314234
CHEMBL4297268	15	0.41281906	-0.1352002
CHEMBL2093999	13	0.4048758	-0.2256386
CHEMBL2103863	15	0.53716755	-0.3714577
CHEMBL3545057	13	0.61212075	-0.3237707
CHEMBL254219	11	0.4586876	-0.17914551
CHEMBL1201580	6	0.5854183	-0.42158216
CHEMBL2107455	13	0.38351747	-0.04654473
CHEMBL4297315	18	0.35509947	-0.0022547543
CHEMBL1200413	19	0.67149645	-0.45198277
CHEMBL1558	19	0.5281972	-0.46512213
CHEMBL1743069	15	0.42802352	-0.43537235
CHEMBL4650395	13	0.5189039	-0.20455074
CHEMBL2109528	13	0.5106385	-0.11903331
CHEMBL2107771	11	0.2593516	-0.36118606
CHEMBL3678076	11	0.53659385	-0.2550422
CHEMBL43064	11	0.3819113	-0.4205567
CHEMBL404849	11	0.3405116	-0.22212812
CHEMBL1769	11	0.35609013	-0.2939335
CHEMBL1201729	11	0.42536828	-0.28225026
CHEMBL1200443	11	0.45512855	-0.09893441
CHEMBL1194	11	0.45064813	-0.23817745
CHEMBL3707183	11	0.62788576	-0.101688564
CHEMBL1200478	11	0.4570117	-0.21460007
CHEMBL944	11	0.4526428	-0.31469908
CHEMBL4297354	17	0.5592482	-0.1642329
CHEMBL350775	17	0.5425958	-0.29147506
CHEMBL3545040	11	0.26584873	-0.06368253
CHEMBL2104745	11	0.57681274	-0.43302348
CHEMBL1094	11	0.5603437	-0.34171453
CHEMBL3545093	17	0.66955864	-0.16072129
CHEMBL1200819	11	0.44502783	-0.3928892
CHEMBL568	11	0.358754	-0.2286777
CHEMBL4299940	17	0.55120665	-0.18247293
CHEMBL4650288	13	0.6376075	-0.22220577
CHEMBL1614	11	0.54000986	-0.24599876
CHEMBL3358920	19	0.6486692	-0.34766787
CHEMBL1278146	13	0.5985644	-0.40894443
CHEMBL1721885	13	0.62371016	-0.31420842
CHEMBL52885	13	0.4796962	-0.4844633
CHEMBL2107354	15	0.56918913	-0.32668924
CHEMBL2109295	13	0.51194286	-0.35507798
CHEMBL3039507	11	0.45584524	-0.2309594
CHEMBL256147	13	0.5261587	-0.4324493
CHEMBL35	19	0.51181686	-0.37048632
CHEMBL1200699	13	0.4530818	-0.25667107
CHEMBL1743032	13	0.4929822	-0.137512
CHEMBL5314357	6	0.5497391	-0.5031843
CHEMBL571948	13	0.42151842	-0.3536056
CHEMBL3990012	19	0.29270166	-0.111827284
CHEMBL3545411	17	0.69046146	-0.13452855
CHEMBL38	15	0.48286486	-0.17234468
CHEMBL1201666	13	0.55852604	-0.31867206
CHEMBL2364618	7	0.49407077	-0.10802597
CHEMBL2107841	19	0.36282894	-0.26948765
CHEMBL1200326	11	0.57876754	-0.34634352
CHEMBL1201468	13	0.5667701	-0.24600889
CHEMBL1280	11	0.48549414	-0.18972775
CHEMBL1200721	17	0.6669591	-0.27030027
CHEMBL766	17	0.64924115	-0.09836325
CHEMBL4650277	15	0.46728432	-0.3811398
CHEMBL539770	11	0.4823004	-0.30936038
CHEMBL46618	17	0.6204437	-0.41997832
CHEMBL1201528	19	0.44666648	-0.25663385
CHEMBL2108041	17	0.5751777	-0.14311811
CHEMBL231779	6	0.349056	-0.32651156
CHEMBL971	11	0.50568974	-0.25914097
CHEMBL1200790	11	0.38080958	-0.5095163
CHEMBL2096631	11	0.42758632	-0.1631656
CHEMBL4298079	13	0.64089143	-0.19297694
CHEMBL2364652	15	0.2831673	-0.3287097
CHEMBL1200728	11	0.3694976	-0.4526347
CHEMBL429876	13	0.36181736	-0.21080473
CHEMBL4297793	17	0.56086665	-0.23810518
CHEMBL2107457	19	0.4822592	-0.27096432
CHEMBL338975	17	0.7409356	-0.22088201
CHEMBL2105345	11	0.3963542	-0.25483984
CHEMBL1078178	13	0.6411604	-0.20626228
CHEMBL1025	1	0.54688895	-0.04655519
CHEMBL1795071	13	0.40388107	-0.117488176
CHEMBL2109282	15	0.3959874	-0.4819701
CHEMBL4298209	15	0.4103843	-0.280998
CHEMBL3990032	15	0.5093114	-0.33550352
CHEMBL1743031	15	0.5385363	-0.19502813
CHEMBL1879463	13	0.5784888	-0.37305433
CHEMBL2326966	13	0.42420292	-0.25637895
CHEMBL1200789	11	0.34692976	0.07949337
CHEMBL526	11	0.44812799	-0.258357
CHEMBL119625	11	0.41045246	-0.22767392
CHEMBL4297750	17	0.774064	-0.41695628
CHEMBL566315	17	0.6696097	-0.23936224
CHEMBL240597	17	0.6537407	-0.42806882
CHEMBL1742982	13	0.51975137	-0.03902307
CHEMBL8030	6	0.59228736	-0.44811657
CHEMBL3545085	13	0.5195672	-0.21457875
CHEMBL1201438	13	0.473974	-0.08097911
CHEMBL1421	13	0.49503398	-0.3555493
CHEMBL3989967	19	0.5282543	-0.35914144
CHEMBL1200875	19	0.3214288	-0.1313752
CHEMBL3989703	11	0.44889545	-0.32493195
CHEMBL328560	19	0.4197096	-0.52122176
CHEMBL1800955	11	0.4355966	-0.53497344
CHEMBL1096882	15	0.47309	-0.4333368
CHEMBL3581647	17	0.5351005	-0.3152129
CHEMBL1743058	13	0.43252945	-0.38816002
CHEMBL3	11	0.4507386	-0.27112538
CHEMBL3545110	17	0.7491186	-0.17714038
CHEMBL3545031	19	0.37989572	-0.20862596
CHEMBL411907	13	0.47572744	-0.35945007
CHEMBL6067987	13	0.32504597	-0.55549693
CHEMBL831	19	0.5545375	-0.18164758
CHEMBL2311030	19	0.38004178	-0.4013087
CHEMBL1009	19	0.5059892	-0.35184053
CHEMBL2108054	17	0.72592133	-0.38124576
CHEMBL3989794	19	0.5558868	-0.08303699
CHEMBL3137301	13	0.47902685	-0.1272895
CHEMBL189475	13	0.42131174	-0.17479701
CHEMBL1131	15	0.3655652	-0.23011202
CHEMBL4297866	13	0.6472202	-0.46356806
CHEMBL3702854	13	0.6069255	-0.26052466
CHEMBL4072833	13	0.38890314	-0.42004162
CHEMBL1873475	13	0.60310906	-0.13591385
CHEMBL2135460	19	0.49552488	-0.37805295
CHEMBL3900409	17	0.7355727	-0.2467739
CHEMBL4594567	13	0.55626214	-0.20948996
CHEMBL464	15	0.40781277	-0.18581277
CHEMBL1200690	19	0.6206812	-0.33431283
CHEMBL4297756	19	0.6052484	-0.3049929
CHEMBL1743029	6	0.6079611	-0.34485006
CHEMBL3989680	19	0.46335083	-0.37975067
CHEMBL2104986	19	0.5455614	-0.31780463
CHEMBL3545385	13	0.5513405	-0.13305703
CHEMBL1201470	19	0.51614815	-0.32189775
