drug	cluster	pca1	pca2
DEUCRAVACITINIB	12	-4.4743204	-3.231778
DEUTETRABENAZINE	18	-1.9119433	0.5391655
DEVICE	15	-4.708677	-2.1525943
DEVICE, UNSPECIFIED	18	-2.2334373	-1.5215843
DEVICE\GELATIN	7	-1.8464212	0.53224176
DEVICE\POLYURETHANE	5	-2.0931685	-1.2070336
DEVICE\YTTRIUM Y-90	8	5.6742	1.9189016
DEXAMETHASONE	19	3.8765476	-1.2979491
DEXAMETHASONE SODIUM PHOSPHATE	9	-4.08466	3.5248396
DEXAMETHASONE;NEOMYCIN;POLYMYXIN B	12	-3.901981	-2.5217693
DEXAMETHASONE;OXYTETRACYCLINE	8	2.0256393	0.45689347
DEXAMETHASONE;TOBRAMYCIN	12	-3.4821112	-3.9885802
DEXAMETHASONE\FRAMYCETIN SULFATE\GRAMICIDIN	8	1.2159716	-2.469833
DEXAMETHASONE\NEOMYCIN\POLYMYXIN B SULFATE	8	3.8065622	-3.5564785
DEXAMFETAMINE	0	-2.2719698	1.4533753
DEXAMFETAMINE;AMFETAMINE	0	-2.5757616	0.8098119
DEXCHLORPHENIRAMINE	7	-2.167445	3.210096
DEXCHLORPHENIRAMINE MALEATE	7	1.167993	-1.1203922
DEXCHLORPHENIRAMINE;IBUPROFEN;PHENYLEPHRINE	13	2.5337222	-1.2526568
DEXFENFLURAMINE	8	6.119746	-1.1083432
DEXIBUPROFEN	10	-0.88353485	1.82789
DEXKETOPROFEN	17	-1.0892428	4.623624
DEXLANSOPRAZOLE	18	0.49241927	-1.742909
DEXMEDETOMIDINE	17	-0.1534169	5.411786
DEXMEDETOMIDINE HYDROCHLORIDE	17	-1.0468602	4.626032
DEXMETHYLPHENIDATE	0	-1.376164	-0.35253128
DEXMETHYLPHENIDATE HYDROCHLORIDE	1	-1.3114191	0.52237207
DEXPANTHENOL	3	2.5184782	0.7666895
DEXRAZOXANE	9	-2.1394858	4.9531355
DEXTRAN 70\HYPROMELLOSE 2910 (4000 MPA.S)	1	3.09913	-1.6974007
DEXTRAN;VITAMIN B2	12	2.8082874	-3.2453086
DEXTROAMPHETAMINE	0	-1.7988609	-0.11813891
DEXTROAMPHETAMINE SULFATE	0	-2.651488	0.9396569
DEXTROMETHORPHAN	18	-0.52470297	-0.6559849
DEXTROMETHORPHAN HYDROBROMIDE	0	-1.2630552	3.0746646
DEXTROMETHORPHAN HYDROBROMIDE\GUAIFENESIN	5	-3.81519	2.5887117
DEXTROMETHORPHAN HYDROBROMIDE\GUAIFENESIN\PHENYLEPHRINE HYDROCHLORIDE	1	-0.3661733	-1.1190857
DEXTROMETHORPHAN HYDROBROMIDE\PSEUDOEPHEDRINE HYDROCHLORIDE\TRIPROLIDINE HYDROCHLORIDE	4	-0.015103277	-2.6940534
DEXTROMETHORPHAN;DOXYLAMINE;PARACETAMOL	0	-2.2242956	2.7464926
DEXTROMETHORPHAN;GUAIFENESIN	18	-2.2652066	-0.9488943
DEXTROMETHORPHAN;QUINIDINE	18	-2.7039192	0.4206669
DEXTROMETHORPHAN\GUAIFENESIN	5	-5.442681	0.20308341
DEXTROPROPOXYPHENE	18	-1.9597563	0.35313624
DEXTROPROPOXYPHENE;PARACETAMOL	4	-1.5668396	-1.4954726
DEXTROSE	17	-0.2966807	4.324354
DEXTROSE\HEPARIN	8	6.1645827	-1.2710286
DEXTROSE\LIDOCAINE HYDROCHLORIDE	1	3.2097485	-1.9177048
DEXTROSE\SODIUM CHLORIDE	8	5.6059756	-1.4663024
DIACEREIN	13	-0.9976404	3.3949606
DIAMORPHINE	18	0.8529798	1.6145282
DIANEAL LOW CALCIUM PD SOLUTION WITH 1.5% DEXTROSE ^BAXTER	8	4.182068	0.10624106
"DIANEAL LOW CALCIUM PD SOLUTION WITH 2.5% DEXTROSE ""BAXTER"	8	4.859121	0.13876443
DIANEAL LOW CALCIUM PERITIONEAL DIALYSIS SOLUTION WITH 1.5%	6	-1.8519688	3.2147882
DIANEAL LOW CALCIUM PERITIONEAL DIALYSIS SOLUTION WITH 2.5%	6	-0.90683717	1.038667
DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH 1.5%	8	3.9874516	0.2743365
DIANEAL LOW CALCIUM WITH 1.5 PERCENT W/V GLUCOSE PERITONEAL DIALYSIS S	8	4.5456324	0.30443105
DIANEAL PD-2, PERITONEAL DIALYSIS SOLUTION WITH 1.5% DEXTROSE ^BAXTER^	8	4.2882514	0.65514237
DIANEAL PD-2, PERITONEAL DIALYSIS SOLUTION WITH 2.5% DEXTROSE ^BAXTER^	8	3.0651863	0.7815981
DIANEAL-N PD-2 2.5 PD SOLUTION	8	4.158654	0.6163682
DIATRIZOIC ACID	4	-3.5335155	-3.6874423
DIAZEPAM	19	3.2249792	0.013919507
DIAZEPAM;SULPIRIDE	15	-3.1583817	-1.5763054
DIAZEPAM\SULPIRIDE	0	0.7487839	1.9574937
DIAZOXIDE	6	-1.4996586	1.6950798
DIBUCAINE\ESCULIN\HYDROCORTISONE\NEOMYCIN	14	-2.5533895	-2.0445166
DICHLORALPHENAZONE;ISOMETHEPTENE;PARACETAMOL	2	3.8830054	-2.5366104
DICLOFENAC	19	3.5108073	-1.7328053
DICLOFENAC POTASSIUM	4	-3.1321783	-3.090692
DICLOFENAC SODIUM	18	-0.4609872	-2.1617334
DICLOFENAC SODIUM\MISOPROSTOL	1	3.5912519	-2.370527
DICLOFENAC;MISOPROSTOL	18	-2.907095	-3.2997475
DICLOFENAMIDE	18	-2.8743002	-0.7036037
DICLOXACILLIN	7	-0.9616698	1.6317736
DICOUMAROL	14	0.23182546	-2.9040058
DICYCLOMINE HYDROCHLORIDE	3	6.0912857	1.0222206
DICYCLOVERINE	0	-3.4690483	1.7869897
DIDANOSINE	9	-1.1713524	2.3297794
DIENESTROL	14	-0.6438554	-4.7577972
DIENOGEST	13	-1.7321751	-0.62527704
DIENOGEST;ESTRADIOL	15	-4.7094846	-0.5466219
DIENOGEST;ETHINYLESTRADIOL	14	-2.2190003	0.004817623
DIENOGEST\ETHINYL ESTRADIOL	13	-2.0597272	-0.8350575
DIETARY SUPPLEMENT	5	-3.2694154	2.2999883
DIETARY SUPPLEMENT\HERBALS	8	4.7419515	0.46389365
DIFELIKEFALIN	0	0.23362227	6.1214232
DIFENOXIN	16	-4.267579	-1.9818398
DIFFERIN GEL, 0.3%	8	3.112552	-2.7223644
DIFLUCORTOLONE	8	5.722581	-0.5948923
DIFLUNISAL	2	4.432784	-1.4471473
DIFLUPREDNATE	12	-3.6100154	-4.956161
DIGITOXIN	6	-1.05109	1.9463466
DIGOXIN	19	1.745046	2.1168756
DIGOXIN-SPECIFIC ANTIBODY FRAGMENTS	13	-0.32085943	1.631579
DIHYDRALAZINE	13	0.96121085	3.3684638
DIHYDROARTEMISININ;PIPERAQUINE	8	5.2443213	-0.5916559
DIHYDROCODEINE	0	-0.61915624	5.7699127
DIHYDROCODEINE;PARACETAMOL	0	-2.0108416	1.957793
DIHYDROERGOTAMINE	0	-3.3451152	1.751824
DIHYDROERGOTOXINE	17	-1.7707831	4.1146855
DILPACIMAB	3	2.1572506	0.6575608
DILTIAZEM	19	2.5438879	-0.67664075
DILTIAZEM HYDROCHLORIDE	14	-2.786252	0.33430454
DIMENHYDRINATE	18	0.05421821	-0.7667765
DIMETHICONE\LOPERAMIDE HYDROCHLORIDE	8	4.3760953	-1.0679553
DIMETHYL SULFOXIDE	16	-4.182737	-2.3301268
DIMETHYLTRYPTAMINE	3	6.018556	0.29910752
DIMETINDENE	15	-5.806666	-1.023244
DINITROPHENOL	19	2.7782123	-0.34034163
DINOPROSTONE	13	1.0082569	1.4652286
DINUTUXIMAB	9	-0.8202103	3.5082042
DIOSMECTITE	17	0.014405337	4.5757017
DIOSMIN	6	-3.0648355	1.9626782
DIOSMIN;HESPERIDIN	17	1.922323	6.406438
DIOVAN HCT UNKNOWN	8	1.9468542	-0.9463173
DIPHENHYDRAMINE	19	2.4138124	-1.2724243
DIPHENHYDRAMINE HYDROCHLORIDE	18	-2.124228	0.29459593
DIPHENHYDRAMINE HYDROCHLORIDE\IBUPROFEN	3	6.3151526	-0.3969844
DIPHENHYDRAMINE HYDROCHLORIDE\NAPROXEN SODIUM	3	5.416502	1.2480196
DIPHENHYDRAMINE;IBUPROFEN	15	-3.2986712	-1.7156491
DIPHENHYDRAMINE;NAPROXEN	15	-4.5611606	-0.81871986
DIPHENHYDRAMINE;PARACETAMOL	18	-1.6625531	0.20694199
DIPHENOXYLATE	16	-4.5089645	-1.5336388
DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE	0	-1.971747	-0.12527752
DIPHTHERIA VACCINE	14	-3.3026543	-1.7077156
DIPHTHERIA VACCINE;HEPATITIS B VACCINE;HIB VACCINE;PERTUSSIS VACCINE;POLIO VACCINE;TETANUS VACCINE	8	2.274417	-0.19215237
DIPHTHERIA VACCINE;PERTUSSIS VACCINE;POLIO VACCINE;TETANUS VACCINE	5	-0.80464745	2.3094566
DIPHTHERIA VACCINE;PERTUSSIS VACCINE;TETANUS VACCINE	8	3.366818	-0.46767417
DIPHTHERIA VACCINE;TETANUS VACCINE	2	4.2932057	-2.6884472
DIPYRIDAMOLE	10	-2.2205305	0.64796644
DIROXIMEL FUMARATE	18	0.28566042	-1.4057856
DISOPYRAMIDE	0	-4.3633957	2.3233438
DISOPYRAMIDE PHOSPHATE	1	3.237084	-1.7478553
DISTIGMINE	11	-1.8896494	-0.7302673
DISULFIRAM	0	-2.595794	4.2819276
DITIOCARB	15	-3.826002	-1.1288332
DIURETICS, UNSPECIFIED	17	-0.94725335	1.4568012
DIVALPROEX SODIUM	0	-1.041211	5.933494
DOBUTAMINE	11	0.041602165	2.4441664
DOBUTAMINE HYDROCHLORIDE	1	2.9173095	-1.9060172
DOCETAXEL	19	3.1458642	-0.53066844
DOCONEXENT\ICOSAPENT	3	3.7774143	1.5191562
DOCOSANOL	12	-3.0233588	-4.8347015
DOCUSATE	18	0.031090273	-0.1432625
DOCUSATE SODIUM	0	-0.10999672	2.8258703
DOCUSATE SODIUM\PHENOLPHTHALEIN	10	-2.004101	3.114107
DOCUSATE;SENNA SPP	0	-1.0658855	1.1122808
DOFETILIDE	18	-1.3086334	-0.0053274455
DOLUTEGRAVIR	19	0.66292953	1.0617588
DOLUTEGRAVIR;LAMIVUDINE	15	-5.0077477	-0.78560686
DOLUTEGRAVIR;LAMIVUDINE;TENOFOVIR	8	3.4404492	0.596098
DOLUTEGRAVIR;RILPIVIRINE	15	-4.2751956	0.27359724
DOMPERIDONE	19	1.2770835	-1.3191756
DOMPERIDONE;PANTOPRAZOLE	4	-3.3604589	-5.104082
DOMVANALIMAB	5	-4.1039805	2.1938958
DONANEMAB	7	-2.2424412	2.4409432
DONEPEZIL	19	1.3095754	1.145078
DONEPEZIL HYDROCHLORIDE	0	-2.2338097	3.3399775
DONEPEZIL;MEMANTINE	5	-3.7467315	0.26124257
DOPAMINE	17	0.57836944	6.032701
DORAVIRINE	5	-2.1745567	0.90003973
DORAVIRINE;LAMIVUDINE;TENOFOVIR	8	4.122476	0.22539221
DORIPENEM	9	-2.780369	2.7205868
DORNASE ALFA	18	-1.5428399	-0.042469945
DORZOLAMIDE	12	-3.657938	-3.0044076
DORZOLAMIDE HYDROCHLORIDE	12	-2.5960388	-4.314183
DORZOLAMIDE HYDROCHLORIDE\TIMOLOL MALEATE	12	-0.92923075	-5.899804
DORZOLAMIDE;TIMOLOL	12	-2.2292387	-2.5928137
DORZOLAMIDE\TIMOLOL	1	2.4618924	-2.1357558
DOSTARLIMAB	9	-3.5428498	1.6064428
DOSULEPIN	0	-2.4980297	3.3513317
DOXAZOSIN	19	0.8282669	0.53447723
DOXAZOSIN MESYLATE	14	0.800109	-3.014215
DOXEPIN	18	0.4529231	0.96947336
DOXEPIN HYDROCHLORIDE	0	-2.0688744	1.6900728
DOXERCALCIFEROL	7	-3.5866194	0.09698911
DOXIFLURIDINE	5	-3.3036926	0.76836324
DOXOFYLLINE	7	1.477903	-1.3623221
DOXORUBICIN	19	3.984965	-0.4658742
DOXORUBICIN HYDROCHLORIDE	19	0.31105557	1.8645736
DOXYCYCLINE	19	2.027591	-1.2599041
DOXYCYCLINE HYCLATE	18	-3.4032886	-2.0379505
DOXYLAMINE	0	-0.7691211	3.3953052
DOXYLAMINE SUCCINATE	3	1.4064425	5.0673447
DOXYLAMINE SUCCINATE\PYRIDOXINE HYDROCHLORIDE	13	1.0870268	0.59194314
DOXYLAMINE;VITAMIN B6	0	-2.1887348	2.6252604
DR. SCHOLL'S FREEZE AWAY DUAL ACTION COMMON + PLANTAR WART REMOVER	1	4.0162473	-2.2664735
DR. SCHOLLS CLEAR AWAY WART REMOVER ONE STEP	1	3.2006922	-1.8972944
DRONABINOL	0	-1.1941725	2.1250317
DRONEDARONE	6	-2.1770773	-0.057383303
DROPERIDOL	0	-2.656961	3.9901738
DROPERIDOL\FENTANYL CITRATE	3	5.831648	-0.5260663
DROSPIRENONE	15	-4.942135	-0.5100077
DROSPIRENONE;ESTETROL	8	6.035159	-2.0560787
DROSPIRENONE;ESTRADIOL	8	2.9685626	-2.2237692
DROSPIRENONE;ETHINYLESTRADIOL	19	0.9669819	-0.18132372
DROSPIRENONE;ETHINYLESTRADIOL;VITAMIN B9	15	-3.7005646	-0.39980116
DROSPIRENONE\ETHINYL ESTRADIOL	5	-4.7859545	-0.024045682
DROSTANOLONE	3	4.5796757	0.19764929
DROTAVERINE	10	-2.100307	2.6420743
DROXIDOPA	18	-0.16690935	0.119025595
DULAGLUTIDE	19	1.961505	-0.9258159
DULOXETINE	19	3.6254852	-0.92588747
DULOXETINE HYDROCHLORIDE	0	-1.7672468	1.7344233
DUPILUMAB	19	3.3769083	-1.7501134
DURVALUMAB	19	0.6382212	1.862446
DURVALUMAB, TRIAL	9	-0.20480576	2.0714471
DUTASTERIDE	18	-0.86845785	0.5260196
DUTASTERIDE;TAMSULOSIN	6	-3.089027	2.0053308
DUVELISIB	13	-0.10643238	1.3511828
DYDROGESTERONE	0	-0.8990584	2.1066244
DYDROGESTERONE;ESTRADIOL	7	-3.4521801	-3.5641923
EBASTINE	0	-2.126818	4.134456
ECALLANTIDE	15	-5.004811	-2.476662
ECGONINE	0	1.9460549	3.5222719
ECONAZOLE	6	-1.6776557	1.1673049
ECONAZOLE NITRATE	7	0.8022277	1.8294098
ECOTHIOPATE	8	4.75103	-3.5482757
ECULIZUMAB	19	2.548866	-0.4083605
EDARAVONE	15	-4.323558	2.7286088
EDETIC ACID	4	-3.7614882	-4.4213657
EDOXABAN	6	1.2127153	1.6457425
EFALIZUMAB	12	-3.542339	-0.74287343
EFANESOCTOCOG ALFA	8	5.9745545	-1.8592001
EFAVIRENZ	19	0.8297473	0.9605174
EFAVIRENZ;EMTRICITABINE;TENOFOVIR	18	0.7160185	-0.47974682
EFAVIRENZ\EMTRICITABINE\TENOFOVIR DISOPROXIL FUMARATE	8	3.9773486	-1.1776849
EFAVIRENZ\LAMIVUDINE\TENOFOVIR DISOPROXIL FUMARATE	8	5.387958	-0.6256767
EFGARTIGIMOD ALFA	15	-6.71777	-0.26984763
EFINACONAZOLE	11	-0.9902517	-2.5829718
EFLORNITHINE	12	-3.2244709	-3.1633766
EGG PHOSPHOLIPIDS\GLYCERIN\MEDIUM-CHAIN TRIGLYCERIDES\SOYBEAN OIL	7	-2.3655713	1.4856813
ELACESTRANT	18	-3.0151298	-1.8764653
ELAFIBRANOR	15	-5.6532416	-2.0797698
ELAGOLIX	15	-3.7911553	-1.7088954
ELAGOLIX;ESTRADIOL;NORETHISTERONE	15	-5.4496055	-2.0070415
ELAPEGADEMASE-LVLR	14	-1.829668	-3.3701346
ELBASVIR	4	-3.5646355	-3.5806122
ELBASVIR;GRAZOPREVIR	15	-3.3333287	-0.529333
ELBASVIR\GRAZOPREVIR	8	5.004202	-1.9103074
ELDECALCITOL	9	-0.078693144	4.9151464
ELECTROLYTES NOS\POLYETHYLENE GLYCOLS	5	-2.188702	-0.85329556
ELECTROLYTES, UNSPECIFIED	7	-1.2905546	2.5628037
ELECTROLYTES, UNSPECIFIED;MACROGOL	11	-2.8025863	0.29593164
ELECTROLYTES, UNSPECIFIED;MINERALS, UNSPECIFIED	5	-4.19054	1.32856
ELETRIPTAN	18	-2.471081	-0.22106776
ELEXACAFTOR;IVACAFTOR;TEZACAFTOR	18	0.06461178	-0.49642205
ELIGLUSTAT	15	-5.6705213	-1.6558735
ELOSULFASE ALFA	18	-3.6190562	-2.1544902
ELOTUZUMAB	9	-1.9166803	1.8896971
ELRANATAMAB	9	-4.4113274	3.1520064
ELTROMBOPAG	19	1.1379496	-0.3389782
ELUXADOLINE	15	-3.823926	-0.25635812
ELVITEGRAVIR	1	3.0701523	0.9018135
EMAPALUMAB	9	1.5559866	4.010194
EMEND INJETAVEL	8	5.706407	-2.0643964
EMICIZUMAB	18	-1.3400406	-1.5935445
EMPAGLIFLOZIN	19	2.2794847	-0.3425206
EMPAGLIFLOZIN;LINAGLIPTIN	6	-3.5634854	1.89795
EMPAGLIFLOZIN;METFORMIN	6	-2.9356248	3.7083607
EMPAGLIFLOZIN\LINAGLIPTIN\METFORMIN HYDROCHLORIDE	8	4.0407405	-1.1055479
EMTRICITABINE	9	-0.5154544	1.5754989
EMTRICITABINE;RILPIVIRINE;TENOFOVIR	18	0.07979152	-0.13965641
EMTRICITABINE;TENOFOVIR	19	1.5861169	-0.39925024
EMTRICITABINE\RILPIVIRINE HYDROCHLORIDE\TENOFOVIR DISOPROXIL FUMARATE	8	4.5284047	-0.8798276
EMTRICITABINE\TENOFOVIR	8	5.3886404	-0.2869358
EMTRICITABINE\TENOFOVIR DISOPROXIL FUMARATE	8	3.248323	-0.5326024
ENALAPRIL	19	0.85696864	1.2313616
ENALAPRIL MALEATE	6	-3.0403056	3.1943681
ENALAPRIL, TRIAL	6	0.27193114	2.451646
ENALAPRIL;HYDROCHLOROTHIAZIDE	0	-2.6343386	5.4647393
ENALAPRIL;LERCANIDIPINE	8	0.79387724	0.9088089
ENALAPRILAT	2	2.7076664	-1.8962326
ENASIDENIB	9	-4.1952815	1.8986881
ENASIDENIB, TRIAL	9	1.0399786	1.3156528
ENBUCRILATE	13	1.8514857	-0.52866954
ENCORAFENIB	6	-1.2849256	0.9777968
ENFORTUMAB VEDOTIN	6	-0.7151652	0.9680319
ENFUVIRTIDE	18	-0.4452392	0.7528488
ENOXAPARIN	19	2.6288483	0.4000336
ENOXAPARIN SODIUM	6	-2.144477	2.2997785
ENOXOLONE	4	-4.682658	-2.68919
ENSIFENTRINE	14	-3.4460032	0.49424472
ENTACAPONE	0	-1.3841904	1.7113928
ENTECAVIR	6	-0.93052673	1.5363063
ENTRECTINIB	6	-4.5229235	2.262532
ENZALUTAMIDE	19	2.7723033	-0.5381347
EPCORITAMAB	9	-0.9082856	3.0837467
EPERISONE	5	-3.2454615	0.4837546
EPHEDRINE	17	0.3402046	2.713263
EPIDUO GEL 0.1% / 2.5%	12	-0.24932283	-4.065204
EPINASTINE	1	1.5317144	-2.6087542
EPINASTINE HYDROCHLORIDE	1	2.277361	-2.2163284
EPINEPHRINE	19	1.7507585	0.8778582
EPINEPHRINE BITARTRATE\LIDOCAINE HYDROCHLORIDE	1	-0.03762389	-0.2128904
EPINEPHRINE;LIDOCAINE	17	-2.6695077	1.4672862
EPIRUBICIN	19	1.4726063	0.23790748
EPIRUBICIN HYDROCHLORIDE	9	-3.076575	1.4219447
EPLERENONE	6	0.15278164	2.0119104
EPLONTERSEN SODIUM	8	2.4555275	0.77383965
EPOETIN ALFA	6	-0.18832703	1.068204
EPOPROSTENOL	19	2.1113966	-1.0577728
EPOPROSTENOL SODIUM	6	-3.322039	2.161815
EPROSARTAN	8	4.93382	-0.63317585
EPTIFIBATIDE	9	-0.69082797	4.4091673
EPTINEZUMAB	18	-3.029067	-1.9468232
EQUATE NTS 14MG, CLEAR	8	5.4158335	-2.3390682
ERAVACYCLINE	13	2.5163147	-0.56283075
ERDAFITINIB	15	-4.788158	-0.90818685
ERDOSTEINE	3	5.762184	0.5119232
ERENUMAB	18	1.5832355	-2.074912
ERGOCALCIFEROL	18	-1.5637145	-2.078256
ERGOCALCIFEROL\RETINOL	4	-5.7682395	-3.963293
ERGOTAMINE	13	-1.038568	0.40203783
ERIBULIN	9	-1.1665057	0.5520228
ERLOTINIB	19	1.3399031	-1.2365588
ERTAPENEM	9	-1.3550345	2.4385946
ERTAPENEM SODIUM	13	-2.2484684	0.6582643
ERTUGLIFLOZIN	5	-3.5357647	0.0640398
ERTUGLIFLOZIN;SITAGLIPTIN	5	-1.2419752	2.5804384
ERYTHROMYCIN	18	0.47090453	-1.6611267
ERYTHROMYCIN ESTOLATE	2	-0.08132804	-2.0037954
ERYTHROMYCIN ETHYLSUCCINATE	2	4.384481	-2.6389592
ERYTHROMYCIN;TRETINOIN	8	3.4803493	-0.8734009
ESAXERENONE	17	3.2611322	1.9649478
ESCITALOPRAM	19	2.8083687	-0.47206187
ESCITALOPRAM OXALATE	14	-1.8717823	-1.2060045
ESCULOSIDE	14	-1.4346036	-3.5151567
ESKETAMINE	18	0.028392771	0.61828077
ESLICARBAZEPINE	0	-1.9740646	1.8524051
ESMOLOL	17	0.6314505	3.494338
ESOMEPRAZOLE	19	3.7770271	-1.1217383
ESOMEPRAZOLE MAGNESIUM	19	1.0438946	0.23204564
ESOMEPRAZOLE MAGNESIUM\NAPROXEN	4	-2.6598904	-4.087395
ESOMEPRAZOLE SODIUM	15	-4.491182	-1.0672361
ESOMEPRAZOLE;MAGNESIUM	1	2.5080724	-2.7111459
ESOMEPRAZOLE;NAPROXEN	18	-0.9716619	-2.16159
ESTAZOLAM	0	-2.326614	6.3686795
ESTRADIOL	19	2.0077727	-1.8004096
ESTRADIOL VALERATE	15	-4.737994	-0.8117703
ESTRADIOL;LEVONORGESTREL	15	-3.3895311	-3.6710007
ESTRADIOL;NOMEGESTROL	3	4.0043597	1.9958605
ESTRADIOL;NORETHISTERONE	18	-2.5197482	-2.0315194
ESTRADIOL;NORETHISTERONE;RELUGOLIX	5	0.088822775	-0.9523823
ESTRADIOL;PROGESTERONE	15	-5.4042892	-1.0456423
ESTRADIOL\NORETHINDRONE ACETATE	1	3.2368207	-1.9958501
ESTRAMUSTINE	9	-0.037025087	3.1610887
ESTRIOL	5	-3.5046546	-0.18359387
ESTROGENS, CONJUGATED\MEDROGESTONE	16	2.256603	-2.5346072
ESTROGENS, CONJUGATED\NORGESTREL	0	2.080172	-0.9708221
ESTROGENS, UNSPECIFIED	18	0.18735729	-2.5574794
ESTROGENS, UNSPECIFIED;MEDROXYPROGESTERONE	18	-3.1547663	-1.8955888
ESTROGENS, UNSPECIFIED;METHYLTESTOSTERONE	0	2.5327852	0.78826714
ESTROPIPATE	1	2.7090514	-2.3264773
ESZOPICLONE	0	-1.5715032	2.2852144
ETACRYNIC ACID	2	1.5077078	2.1221774
ETAMSILATE	1	2.5760407	-0.9408297
ETANERCEPT	8	4.6441994	-1.0235965
ETELCALCETIDE	6	-3.9927516	1.4087299
ETEPLIRSEN	15	-3.5997894	0.52688444
ETESEVIMAB	7	-4.5704846	0.0613169
ETHAMBUTOL	19	0.20162351	0.74022806
ETHAMBUTOL;ISONIAZID;PYRAZINAMIDE;RIFAMPICIN	7	1.6423008	-0.9631938
ETHANOL	0	0.6995749	2.1589491
ETHINYL ESTRADIOL\ETONOGESTREL	15	-4.143128	-2.064907
ETHINYL ESTRADIOL\LEVONORGESTREL	5	-2.9977155	0.03733466
ETHINYL ESTRADIOL\NORELGESTROMIN	8	3.9974377	-1.5423005
ETHINYL ESTRADIOL\NORETHINDRONE	13	3.0223455	-0.5988548
ETHINYL ESTRADIOL\NORGESTIMATE	15	-4.0164804	-2.2271416
ETHINYL ESTRADIOL\NORGESTREL	1	1.7575626	-2.6179576
ETHINYLESTRADIOL	15	-5.4269843	-0.38677692
ETHINYLESTRADIOL;ETONOGESTREL	18	0.91196156	-0.70733374
ETHINYLESTRADIOL;GESTODENE	5	-4.8176985	0.8234903
ETHINYLESTRADIOL;IRON;NORETHISTERONE	15	-3.9111621	-2.2142775
ETHINYLESTRADIOL;LEVONORGESTREL	18	-0.6483953	-0.5226455
ETHINYLESTRADIOL;NORELGESTROMIN	15	-3.0659773	-2.8895066
ETHINYLESTRADIOL;NORETHISTERONE	4	-2.5644882	-3.8629277
ETHINYLESTRADIOL;NORETHISTERONE;RELUGOLIX	15	-5.1753078	-2.0946245
ETHINYLESTRADIOL;NORGESTIMATE	15	-2.8912473	-0.9833175
ETHINYLESTRADIOL;NORGESTREL	5	-3.48634	-2.3974342
ETHINYLESTRADIOL;SEGESTERONE	5	-4.220277	-1.1145215
ETHIODIZED OIL	9	-0.3742842	2.9300926
ETHIONAMIDE	9	-2.9260054	3.1899064
ETHOSUXIMIDE	0	-1.6058218	1.3606708
ETHYL LOFLAZEPATE	0	-1.8898755	2.1813865
ETHYLENE GLYCOL	17	2.5129614	6.5966806
ETHYLENEDIAMINE	4	-3.481143	-5.097304
ETHYLMORPHINE	3	4.9740596	1.2332648
ETHYLMORPHINE HYDROCHLORIDE\HERBALS	3	5.137666	0.5269528
ETHYLPHENIDATE	3	5.702198	0.50414807
ETIDRONIC ACID	4	-1.0150044	-2.2690415
ETIFOXINE	0	1.6945844	3.3779466
ETILEFRINE	7	0.5464183	-0.5223587
ETIZOLAM	0	-0.7025737	6.537819
ETODOLAC	15	-4.1279244	1.6888942
ETOFYLLINE;THEOPHYLLINE	8	4.35791	1.2361338
ETOMIDATE	17	1.4594676	5.5478973
ETONOGESTREL	18	0.58163744	-1.7526528
ETONOGESTREL IMPLANT- IMPLANON NEXT	8	3.4839275	-3.4586484
ETONOGESTREL;INTRAUTERINE CONTRACEPTIVE DEVICE	18	2.4689603	-1.5983016
ETOPOSIDE	19	3.6867788	-0.16005167
ETORICOXIB	18	-0.56724066	0.33115542
ETRASIMOD ARGININE	15	-7.6873426	-1.8447436
ETRAVIRINE	9	-0.9565177	2.604771
ETRUMADENANT	9	2.295072	3.0115347
EUCALYPTUS SPP	8	2.4578686	-1.2310444
EVEROLIMUS	19	3.4279828	-0.72769797
EVINACUMAB	5	-2.6954482	1.5299245
EVOLOCUMAB	19	2.5782008	-1.669474
EX-LAX MAX STR LAX PILLS SENNA	8	3.6024377	-1.322757
EXCIPIENT	17	3.0694065	6.184241
EXEMESTANE	19	1.0152632	-0.8085116
EXENATIDE	19	1.6219522	-1.2393165
EXTRANEAL ZESTAW DO DIALIZY OTRZEWNOWEJ	8	4.5684333	-0.001348523
EZETIMIBE	19	1.4703276	-0.16259919
EZETIMIBE;ROSUVASTATIN	6	-1.4370135	0.9562068
EZETIMIBE;SIMVASTATIN	6	-1.8096789	2.0297256
FACTOR I	17	-0.85343856	2.4111304
FACTOR I;THROMBIN	13	0.9534382	-0.4137098
FACTOR II;FACTOR IX;FACTOR VII;FACTOR X;PROTEIN C;PROTEIN S	9	0.43467942	4.349056
FACTOR III	8	5.2725863	-0.85732746
FACTOR IX	18	-2.2561972	-3.3390105
FACTOR VII	8	5.182412	-0.7848531
FACTOR VIIA	6	-0.6333515	2.1486082
FACTOR VIII	18	-0.25123072	-1.524713
FACTOR VIII INHIBITOR BYPASSING FRACTION	6	-3.5471482	-0.42017534
FACTOR VIII;VON WILLEBRAND FACTOR	7	-2.4239838	-1.2137498
FACTOR XIII	1	2.688851	-2.0995252
FAMCICLOVIR	15	-6.241975	-0.2919239
FAMOTIDINE	18	0.2772168	0.5019501
FAMOTIDINE;IBUPROFEN	15	-5.601664	-1.0217493
FAMPRIDINE	19	2.6478941	-1.4878304
FARICIMAB	12	-1.8370707	-2.5440388
