drug	cluster	pca1	pca2
ANTIHISTAMINES, UNSPECIFIED	3	3.5274017	2.0403183
ANTIHYPERTENSIVES, UNSPECIFIED	5	-5.144121	1.5723852
ANTILYMPHOCYTE IMMUNOGLOBULIN	13	-2.3207607	0.7748858
ANTINEOPLASTICS, UNSPECIFIED	15	-6.380646	-0.13480572
ANTITHROMBIN III	1	2.5193624	-1.4758772
ANTITHYMOCYTE IMMUNOGLOBULIN	19	2.475927	0.9776165
APALUTAMIDE	18	0.17275387	-0.5302922
APATINIB	8	5.880801	-1.4526666
APIXABAN	19	4.154245	-0.76434916
APOMORPHINE	18	-0.5201041	-0.15382035
APRACLONIDINE	1	3.2445312	-1.9174389
APREMILAST	19	2.3799477	-1.6080171
APREPITANT	19	-0.264397	-1.0940104
APROTININ	19	2.2572951	2.936146
APROTININ;CALCIUM;FACTOR I;FACTOR XIII;THROMBIN	17	1.1680341	0.38454217
APROTININ\CALCIUM CHLORIDE\FIBRINOGEN HUMAN\HUMAN THROMBIN	7	-0.18766183	0.12399778
ARACHIS SPP	15	-4.7112064	-3.9082515
ARFORMOTEROL	14	-5.0354443	-1.4623522
ARGATROBAN	9	0.13217433	3.7031188
ARGININE	13	0.7312013	0.46501485
ARGININE;LYSINE	9	1.8361266	2.07828
ARGININE\FOLIC ACID	8	3.3154242	-1.7967763
ARIPIPRAZOLE	19	3.7228444	-0.7388319
ARMODAFINIL	18	-2.0689576	-1.5162344
ARSENIC TRIOXIDE	9	-2.3949437	2.7184465
ARTEMETHER;LUMEFANTRINE	5	-3.5567727	0.45923597
ARTEMISIA VULGARIS POLLEN	8	4.619343	-1.8688745
ARTEMOTIL	8	3.6461728	0.2159508
ARTESUNATE	1	3.5131176	-0.50694966
ARTICAINE	7	-4.217753	0.12943871
ARTICAINE HYDROCHLORIDE\EPINEPHRINE HYDROCHLORIDE	14	-3.1398652	-1.9479744
ARTICAINE;EPINEPHRINE	7	-4.0651855	-1.9857147
ARTIFICIAL TEARS	12	-1.4597511	-3.9105988
ARTIFICIAL TEARS;GLYCEROL	12	-1.6134473	-4.914553
ASCIMINIB	9	-3.4505236	1.611904
ASCORBIC ACID	6	-2.699651	1.4358455
ASCORBIC ACID;MACROGOL;POTASSIUM;SODIUM	11	-2.3556173	-2.1297386
ASCORBIC ACID;METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA;POTASSIUM;SODIUM	14	-2.614926	-1.098578
ASCORBIC ACID\CALCIUM	4	-2.907947	-4.33178
ASCORBIC ACID\POLYETHYLENE GLYCOL 3350\POTASSIUM CHLORIDE\SODIUM ASCORBATE\SODIUM CHLORIDE\SODIUM SULFATE	11	-0.8875351	1.4034762
ASCORBIC ACID\RUTIN	4	-3.9562504	-4.697025
ASCRIPTIN BUFFERED REG STRENGTH TABLETS	8	5.5158677	-2.1578157
ASENAPINE	18	-0.42850837	-0.43442258
