drug_name	pt	ror_female	ror_male	log_ror_ratio	a_female	a_male
LEFLUNOMIDE	Injury	13.014915938457072	0.3169420206666044	3.7151325015440917	2375	11
CHLORHEXIDINE	Contusion	64.34631644020646	1.5775461849058585	3.708409097544741	1574	11
CHLORHEXIDINE	Confusional state	70.9781727166127	1.744662738569997	3.705811139300549	1990	28
ACETAMINOPHEN\CODEINE PHOSPHATE	Therapeutic product effect decreased	22.840242943061988	0.563533411201984	3.702052676443867	1538	15
TOFACITINIB CITRATE	Glossodynia	39.40791293225607	0.9735322628901579	3.7007909455720647	4952	14
USTEKINUMAB	Prescribed overdose	17.64681439704616	0.4383323555520577	3.6953331333905965	739	15
ACETAMINOPHEN\CODEINE PHOSPHATE	Stomatitis	23.351332530259736	0.5800465115951392	3.6953010364151835	2062	20
CHLORHEXIDINE GLUCONATE	Peripheral swelling	50.30779859359502	1.2510503290985566	3.6941766449406552	2694	21
TACROLIMUS\TACROLIMUS ANHYDROUS	Transplant dysfunction	1445.9035755382356	36.319389128386405	3.6841379824724525	444	31
ACETAMINOPHEN	Folliculitis	47.04650185396422	1.1852413607341474	3.6811900799319455	3457	52
HYDROCORTISONE ACETATE	Discomfort	133.69913873582084	3.382419725608831	3.6770006938058932	1328	12
SULFAMETHOXAZOLE	Weight increased	34.90890253872734	0.8843955019149864	3.67559279979063	1789	25
ALENDRONATE SODIUM	Wound	93.61406449165203	2.37174698950638	3.675553823881515	5342	21
ABATACEPT	Liver injury	24.439354086296113	0.6245507195023524	3.666917441944187	2144	11
CALCIUM CARBONATE	Liver injury	35.43137863203774	0.906992716734387	3.6652186885129634	1386	18
MORPHINE SULFATE	Orthostatic hypotension	16.474797173206408	0.4217652646413697	3.665138133759921	510	21
USTEKINUMAB	Injury	14.44850227011069	0.3718346015244393	3.6598969031987445	1962	30
FUROSEMIDE	Sedation complication	32.191041101583615	0.8420861609397341	3.6435611282472595	475	15
GOLIMUMAB	Blister	26.20585997866578	0.6864403373945742	3.6422190150005833	3641	25
ACETAMINOPHEN	Muscle injury	52.640729433336524	1.3855828951476568	3.637369229913487	3019	34
GOLIMUMAB	Ill-defined disorder	28.465114832539953	0.7508248744870266	3.6352621407363173	2903	21
GLUCOSAMINE	General physical health deterioration	21.850310977006338	0.5764782902556816	3.635032751618921	887	15
RITUXIMAB	Lower limb fracture	9.912361955522126	0.26200609742667824	3.6331701634319904	1015	11
MYCOPHENOLATE MOFETIL	Discomfort	5.493863100558123	0.14548061734796217	3.6313440847194762	760	13
INFLIXIMAB	Sleep disorder due to general medical condition, insomnia type	91.32200861237867	2.4212951080265652	3.630089251114066	2062	15
SULFASALAZINE	Delirium	13.47191126594304	0.35748660825476547	3.629264247901096	788	11
CHLORHEXIDINE	Arthropathy	109.73448737825424	2.921430531527934	3.6259902925203407	1644	11
DICLOFENAC	Liver injury	40.393252992614414	1.0796001499113388	3.6220720248669607	1142	16
RITUXIMAB	Discomfort	15.46570085579391	0.4133772630104438	3.622019357167613	4487	62
APREMILAST	Injury	5.688474383007525	0.1523621275910887	3.619937262925324	1463	17
PALIPERIDONE	Sexual dysfunction	407.1374511281996	10.910750402084794	3.619402267582814	318	125
GLICLAZIDE	Gangrene	73.19619015352097	1.9658649304761684	3.617211055872838	166	12
ENFUVIRTIDE	Hepatic enzyme increased	169.23454891886894	4.5525792591771825	3.6155916736545466	154	14
USTEKINUMAB	Pericarditis	96.90940845588857	2.608810725652308	3.6148821518512513	2935	45
CETIRIZINE HYDROCHLORIDE	Folliculitis	129.52872070736004	3.4908064669848904	3.6137698491888117	3354	37
CHLORHEXIDINE GLUCONATE	Arthropathy	104.52608488055044	2.823355906035022	3.6115104413201573	2094	12
DICLOFENAC SODIUM	Muscle injury	129.4158228506613	3.5015811074702943	3.6098160417091694	1922	11
CHLORHEXIDINE	Abdominal discomfort	42.356738132259544	1.146926878909645	3.60904142802624	1752	16
