drug_name	n_signals	n_female_higher	n_male_higher	mean_log_ratio	max_log_ratio	min_log_ratio	female_pct
LENVATINIB	165	103	62	0.27664475633219715	1.9361536607682863	-1.4077077507885802	62.4
AMOXICILLIN;CLAVULANIC ACID	162	69	93	-0.218908864203016	1.7919932893882013	-3.1927907958454034	42.6
SPIRONOLACTONE	162	81	81	0.0575305049975062	2.899730154276934	-2.893161312656212	50.0
ZOPICLONE	161	97	64	0.36752846353427754	3.0489806452941908	-2.37686511647581	60.2
OXYBATE SODIUM	161	48	113	-0.31935061383917424	1.1268591929445755	-1.64295856866506	29.8
PALIPERIDONE	161	138	23	0.6897213143157772	2.725509645056319	-2.576981108096381	85.7
IPILIMUMAB	161	122	39	0.4198854125927442	1.6962588528017422	-1.476826984151377	75.8
FINGOLIMOD	159	31	128	-0.4978385432002408	1.0010586735155624	-2.0308577163766954	19.5
HALOPERIDOL	158	89	69	0.13251392182305843	1.8395978467731702	-2.0867320376242944	56.3
SACUBITRIL;VALSARTAN	157	106	51	0.2958872932052654	1.841320505084142	-1.4458826143381294	67.5
IMATINIB	155	127	28	0.5028391923899597	2.1269573019025287	-1.536885113268838	81.9
SITAGLIPTIN	154	85	69	0.19289985288208625	3.2469954106291947	-2.4045811132961195	55.2
DAPAGLIFLOZIN	154	91	63	0.09122909626867501	1.6828561212013404	-2.461336921368118	59.1
SEMAGLUTIDE	152	48	104	-0.27849717351305925	1.5923329174771261	-1.6218442365534806	31.6
SODIUM CHLORIDE	152	40	112	-0.4675070151810616	3.134243198916763	-2.3315005942649316	26.3
ATEZOLIZUMAB	152	126	26	0.575511628417155	1.6916639409302434	-1.4879007583588488	82.9
TRAZODONE	151	99	52	0.4611145613811324	3.234363094604113	-2.163801486812472	65.6
COVID-19 VACCINE	148	64	84	-0.2200755184505528	1.2445691117588156	-2.7153483663084135	43.2
METHYLPHENIDATE	147	114	33	0.473819476293407	2.0470667588907427	-2.7672884925476637	77.6
ZOLPIDEM	146	88	58	0.1253259948280049	1.6151657040223908	-1.832043363733272	60.3
VORICONAZOLE	145	127	18	0.7333739501434567	2.0318773280540485	-1.8203474068689773	87.6
HEPARIN	144	92	52	0.11886402076227237	1.930068425384624	-2.7763174573021505	63.9
LITHIUM	143	71	72	-0.1216666087829953	1.741935024258081	-2.5073552212318186	49.7
CODEINE;PARACETAMOL	141	118	23	1.0826069925080195	3.279296498606077	-2.1323455380932463	83.7
NATALIZUMAB	141	32	109	-0.4376351716069036	0.9788942999576016	-1.7268011200521962	22.7
FUMARIC ACID	139	20	119	-0.6457378413132887	1.200127667884057	-3.107156739102947	14.4
FLUCONAZOLE	138	90	48	0.43684960803528083	2.769023204680211	-2.084511313312273	65.2
ASPIRIN	137	113	24	0.5828168367565121	2.5623257549876803	-1.2806582130566593	82.5
RISANKIZUMAB	137	41	96	-0.2802765546459804	1.251165035876428	-1.7248626718501587	29.9
MAGNESIUM	136	68	68	0.03652901373443314	2.792995672865839	-3.648637793423597	50.0
OCRELIZUMAB	136	39	97	-0.3160764822462517	1.4471456996238337	-1.4999249673068642	28.7
ATENOLOL	136	90	46	0.3516873289550187	2.903387649159077	-1.4848020920926182	66.2
TICAGRELOR	136	108	28	0.47251623145656424	1.4520625151982622	-1.5352351614225592	79.4
ECULIZUMAB	136	48	88	-0.2533023959399389	1.577130558792521	-2.9549944619652613	35.3
PIPERACILLIN;TAZOBACTAM	136	117	19	0.6688307427043162	2.58061966097529	-1.2815744880416768	86.0
MELPHALAN	134	113	21	0.6703769051680545	2.2841218623869652	-1.3170818913606104	84.3
POTASSIUM	134	62	72	-0.14885001844844492	2.2529889549246485	-3.151142057729356	46.3
IRINOTECAN	134	90	44	0.2860754870739178	1.8558597449716694	-1.7512953069378996	67.2
PEMETREXED	133	104	29	0.518510907380345	1.739060497137813	-1.815163828021064	78.2
NILOTINIB	132	103	29	0.42859942175059235	1.526069897156792	-1.3371264827617197	78.0
EVOLOCUMAB	131	25	106	-0.48767147216314516	1.1790022797838917	-2.72085984379896	19.1
ACICLOVIR	131	88	43	0.32211798903183486	2.6685330490733947	-1.6700280333574342	67.2
LOSARTAN	130	64	66	0.0018647361927523441	2.3219723061579782	-1.5586277780725117	49.2
BETAMETHASONE	130	46	84	-0.42455346183797904	2.5332532726800414	-3.5415952798472956	35.4
IPRATROPIUM	129	59	70	-0.2011942680471139	2.392963035347972	-3.3706957592684184	45.7
POMALIDOMIDE	128	73	55	0.10174132800990193	1.439815918245396	-1.2701778511510713	57.0
PROPOFOL	128	72	56	0.13170209775148553	1.9593826590810677	-1.5663425739929933	56.2
RUXOLITINIB	127	89	38	0.33844295082276454	1.9573189076470676	-1.2335350551656632	70.1
AMBRISENTAN	125	41	84	-0.25177278705045847	1.2671591189882188	-1.7389104713065509	32.8
EPINEPHRINE	125	51	74	-0.35700358236437907	1.3764286885703467	-3.637010887941504	40.8
MINOXIDIL	125	55	70	-0.07940440233899572	4.460326087507845	-6.447868373787949	44.0
LINEZOLID	124	100	24	0.5416089710928427	1.7139749106778166	-1.1164306598244595	80.6
BOTULINUM TOXIN	124	54	70	-0.19994808549052892	1.9571672405111982	-4.360015133243556	43.5
PROPRANOLOL	123	34	89	-0.47334025430168675	2.0629212888151405	-2.772857762304355	27.6
PEGINTERFERON ALFA-2A	123	63	60	0.006917085952036748	1.333461588007198	-3.78479329391962	51.2
PERINDOPRIL	123	84	39	0.40523821717918235	2.8802571635925474	-2.2953827072774047	68.3
CICLESONIDE	123	43	80	-0.3643440087327904	2.027810205821504	-3.3137331094050912	35.0
PEGASPARGASE	122	96	26	0.5214680540538286	2.0992970153564943	-1.3453562716320038	78.7
GLUCOSE;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	122	70	52	0.08630620494137989	2.5194199560269026	-2.188084964708927	57.4
SUNITINIB	122	80	42	0.2746360598822818	1.6154609801536586	-1.5937381208097379	65.6
LAMIVUDINE	120	86	34	0.45347718740817905	2.4268303780152665	-2.80978326437147	71.7
MOMETASONE	119	56	63	-0.041663636986931436	2.649681488668725	-2.2772212603680466	47.1
MEROPENEM	119	103	16	0.6479044308378838	1.7606360462282433	-0.9312459540036178	86.6
FORMOTEROL;MOMETASONE	118	17	101	-0.9244487931321703	1.770581532476064	-3.523443310397975	14.4
LIDOCAINE	118	23	95	-0.6381725316666985	1.485901504887915	-2.227065631808632	19.5
NICOTINE	117	29	88	-0.38969001354448174	1.8740337707783625	-2.6342986219029267	24.8
MACROGOL	117	23	94	-0.8392137914933043	1.1019982716147654	-3.356829491765903	19.7
TORASEMIDE	116	58	58	0.0009247670110161667	1.7833511204435784	-1.8675672164738724	50.0
GLATIRAMER	114	13	101	-0.5775409647171723	0.9659979773262554	-1.6693666083294487	11.4
TENOFOVIR	114	73	41	0.29695144990947336	2.274213940185422	-2.4158229059658094	64.0
BENDAMUSTINE	113	93	20	0.5743140793016809	2.6857577571787745	-1.4890085936697752	82.3
CABOZANTINIB	112	75	37	0.29698782473611873	2.0453100592899798	-1.464486804022593	67.0
UNSPECIFIED	112	60	52	-0.035764251152544606	1.346740302622236	-2.300630075196692	53.6
CARVEDILOL	112	59	53	0.020403902616272597	1.562834346821938	-1.565373114771956	52.7
CLONIDINE	111	67	44	0.3294725694864721	3.161717277273931	-2.3598754112948317	60.4
AZACITIDINE	111	88	23	0.5169249078467131	1.963320453459722	-1.2569137714196539	79.3
LOPERAMIDE	111	53	58	-0.0034718684660422997	2.655925506685638	-1.8941715692091	47.7
FAMPRIDINE	110	12	98	-0.6554492280891792	1.2647627641767394	-2.914195470209671	10.9
OXCARBAZEPINE	108	51	57	-0.020065571380749818	2.3282692527246143	-1.4477598973861898	47.2
DARATUMUMAB	108	83	25	0.4550537341981607	1.7616265209742048	-0.9609813823772815	76.9
