adverse_event	n_signals	n_female_higher	n_male_higher	mean_log_ratio	n_drugs	female_pct
Shunt occlusion	1	1	0	0.6722049680695017	1	100.0
Toe operation	1	0	1	-1.0878918770777042	1	0.0
Shoulder fracture	1	0	1	-0.7968663062328263	1	0.0
Sternal fracture	1	1	0	1.0188981771022505	1	100.0
Shoplifting	1	0	1	-0.949027772848086	1	0.0
Stoma site pain	1	1	0	0.5940265307559218	1	100.0
Serum serotonin increased	1	0	1	-0.5090708788434863	1	0.0
Purulence	1	0	1	-0.9719875165343979	1	0.0
Subdural hygroma	1	0	1	-0.638441759816454	1	0.0
Sense of oppression	1	0	1	-2.235435313484791	1	0.0
Venous occlusion	1	0	1	-0.630136687473613	1	0.0
Subretinal fluid	1	1	0	0.7320046995886687	1	100.0
Retinogram abnormal	1	0	1	-1.1620817065541216	1	0.0
Pulse abnormal	1	1	0	0.6844656941274099	1	100.0
Self-destructive behaviour	1	1	0	0.7803984081526743	1	100.0
Retrognathia	1	0	1	-1.1515901303667442	1	0.0
Self esteem inflated	1	1	0	0.9757884088148927	1	100.0
Rectal obstruction	1	0	1	-0.5070314981935722	1	0.0
Upper respiratory fungal infection	1	0	1	-0.5546326867766505	1	0.0
Thrombotic stroke	1	0	1	-0.505260293127614	1	0.0
Rectal neoplasm	1	0	1	-0.5317736515452454	1	0.0
Ureteric cancer	1	1	0	0.9939046510865923	1	100.0
Punctate keratitis	1	0	1	-0.5295923812657142	1	0.0
Reye's syndrome	1	1	0	0.5305200681646269	1	100.0
Superficial siderosis of central nervous system	1	1	0	0.671451463434174	1	100.0
Superinfection bacterial	1	1	0	0.8208920122606187	1	100.0
Superior sagittal sinus thrombosis	1	1	0	0.8524794128243443	1	100.0
Thrombophlebitis migrans	1	1	0	0.5600811570318904	1	100.0
Subgaleal haematoma	1	1	0	0.7908559928219763	1	100.0
Pulmonary valve stenosis congenital	1	0	1	-0.5259246127538875	1	0.0
Retinal perivascular sheathing	1	0	1	-0.6937895461672205	1	0.0
Pulmonary valve incompetence	1	1	0	0.5279399504159761	1	100.0
Thyroid cancer stage IV	1	1	0	0.5870418403578528	1	100.0
Vertebral lesion	1	0	1	-0.6636035115987746	1	0.0
Retinal pigment epithelial tear	1	1	0	0.6192923294865786	1	100.0
Retinal pigment epitheliopathy	1	0	1	-0.7659683307974325	1	0.0
Serum ferritin abnormal	1	0	1	-0.9677062332751545	1	0.0
Retinal pigmentation	1	0	1	-1.5671633650060661	1	0.0
Red blood cell abnormality	1	0	1	-1.1119243673612709	1	0.0
Stress at work	1	0	1	-0.8916925523782089	1	0.0
Seroma	1	1	0	0.728941685794545	1	100.0
Retinal scar	1	0	1	-0.6301208508178561	1	0.0
Septo-optic dysplasia	1	1	0	1.7407303109835306	1	100.0
Retinal tear	1	0	1	-0.5241517067740675	1	0.0
Thyroid cancer stage III	1	0	1	-0.5876725308188906	1	0.0
Thyroid cancer stage II	1	1	0	2.1444353909117257	1	100.0
Thyroid cancer stage 0	1	1	0	1.7326923011009967	1	100.0
Retinal vascular occlusion	1	1	0	0.5700396017649698	1	100.0
Septic embolus	1	1	0	1.1637955924429213	1	100.0
Sepsis neonatal	1	0	1	-0.6714215904851191	1	0.0
Retinal vein occlusion	1	0	1	-0.565293919932264	1	0.0
Stoma closure	1	1	0	0.5642405234474892	1	100.0
5-hydroxyindolacetic acid increased	1	0	1	-1.0643438305162896	1	0.0
Prosthetic valve endocarditis	1	1	0	0.9486623260563478	1	100.0
Device connection issue	1	1	0	0.6184290888324604	1	100.0
Dermo-hypodermitis	1	1	0	0.6652218105886285	1	100.0
Detachment of retinal pigment epithelium	1	1	0	1.1318215295756229	1	100.0
Developmental coordination disorder	1	0	1	-1.6169430468240469	1	0.0
Device audio issue	1	0	1	-0.7171071952537447	1	0.0
Device chemical property issue	1	0	1	-1.7779477481964934	1	0.0
Device computer issue	1	0	1	-0.626719243574148	1	0.0
Device dispensing error	1	0	1	-0.5083165330235397	1	0.0
Device safety feature issue	1	0	1	-0.7717523800191106	1	0.0
Device electrical finding	1	0	1	-0.7538137257453976	1	0.0
Device extrusion	1	0	1	-0.598156277609271	1	0.0
Device fastener issue	1	0	1	-0.6207266840765047	1	0.0
Device physical property issue	1	0	1	-0.8985128028155831	1	0.0
Device power source issue	1	1	0	0.6292878665925494	1	100.0
Device programming error	1	0	1	-0.6165033592824116	1	0.0
Dermatophytosis	1	0	1	-0.7559660495324652	1	0.0
Dermatillomania	1	1	0	0.6044751651766083	1	100.0
Dependent personality disorder	1	1	0	0.616287503929545	1	100.0
Denture wearer	1	0	1	-0.7987877213386714	1	0.0
Dental restoration failure	1	0	1	-0.5885227963895809	1	0.0
Dental prosthesis placement	1	0	1	-1.2317559087376706	1	0.0
Dental plaque	1	0	1	-1.1136604162391297	1	0.0
Delayed haemolytic transfusion reaction	1	0	1	-1.7342654100595345	1	0.0
Delayed delivery	1	0	1	-2.090698311296331	1	0.0
Dehiscence	1	1	0	0.5314016914225221	1	100.0
Degenerative bone disease	1	1	0	0.7399259240599791	1	100.0
Deep vein thrombosis postoperative	1	0	1	-2.9423766806339753	1	0.0
Deep brain stimulation	1	1	0	1.5304012080800318	1	100.0
Decreased vibratory sense	1	0	1	-0.6264106080048073	1	0.0
Decompensated hypothyroidism	1	0	1	-2.447673519501383	1	0.0
Deafness transitory	1	1	0	1.6591710776012085	1	100.0
Deafness permanent	1	0	1	-0.6090626878785539	1	0.0
Device related bacteraemia	1	1	0	0.9188688511539969	1	100.0
Diabetic blindness	1	1	0	0.5023128387626286	1	100.0
Dawn phenomenon	1	1	0	1.313398634483522	1	100.0
Drug delivery system removal	1	0	1	-1.6458601429663116	1	0.0
Dopamine dysregulation syndrome	1	1	0	1.2225954094176021	1	100.0
Double outlet right ventricle	1	1	0	0.5598413575075094	1	100.0
Drain placement	1	0	1	-0.7098315055658293	1	0.0
Drug administered in wrong device	1	1	0	0.5407936655634149	1	100.0
Drug delivery device implantation	1	0	1	-0.8363441990716316	1	0.0
Drug delivery system issue	1	0	1	-0.7285174884178867	1	0.0
Drug dose titration not performed	1	0	1	-0.5437055230491548	1	0.0
Diabetic coma	1	1	0	0.670817916747394	1	100.0
Drug label confusion	1	0	1	-0.7444314335950262	1	0.0
Drug monitoring procedure incorrectly performed	1	0	1	-0.6396480332626164	1	0.0
Drug specific antibody	1	1	0	0.6716539825065091	1	100.0
Drug specific antibody absent	1	1	0	0.5759221077217354	1	100.0
Drug-disease interaction	1	1	0	0.8332395519317628	1	100.0
Dry gangrene	1	0	1	-0.5325536357733558	1	0.0
Donor specific antibody present	1	1	0	0.6679362141002105	1	100.0
Distractibility	1	0	1	-0.9436517561315663	1	0.0
Dissociative disorder	1	0	1	-1.0428919240894476	1	0.0
Disseminated strongyloidiasis	1	1	0	1.4686490543116686	1	100.0
Disseminated Bacillus Calmette-Guerin infection	1	1	0	0.7928312576951502	1	100.0
Disease susceptibility	1	1	0	0.8213802410954132	1	100.0
Dilatation atrial	1	0	1	-1.0500044283099195	1	0.0
Dihydropyrimidine dehydrogenase deficiency	1	1	0	0.7422168491023102	1	100.0
Diffuse large B-cell lymphoma stage IV	1	1	0	0.7223285335326786	1	100.0
Diffuse alopecia	1	0	1	-2.379609131705714	1	0.0
Diet refusal	1	1	0	0.7736979412170659	1	100.0
Diet noncompliance	1	0	1	-0.5275414361652935	1	0.0
Diaphragmatic disorder	1	0	1	-2.251633455456945	1	0.0
Dialysis hypotension	1	0	1	-0.9315042798802122	1	0.0
Diabetic ketoacidotic hyperglycaemic coma	1	1	0	1.2942067697461463	1	100.0
Diabetic gangrene	1	1	0	1.0023523976389548	1	100.0
Diabetic foot infection	1	1	0	0.7927630594630382	1	100.0
Daydreaming	1	0	1	-0.9067613634820906	1	0.0
Dark circles under eyes	1	0	1	-0.6718090031113109	1	0.0
Genital abscess	1	0	1	-1.879865484406488	1	0.0
Congenital heart valve disorder	1	0	1	-0.70230498509423	1	0.0
Complications of transplanted liver	1	1	0	0.5973123553591337	1	100.0
Complications of transplanted lung	1	1	0	0.6050117279491043	1	100.0
Compulsive sexual behaviour	1	1	0	1.7643458298257428	1	100.0
Congenital aortic valve incompetence	1	0	1	-0.5673078875133815	1	0.0
Congenital choroid plexus cyst	1	0	1	-0.5917456170665774	1	0.0
Congenital hand malformation	1	1	0	0.9461063723264589	1	100.0
Congenital musculoskeletal anomaly	1	0	1	-0.6652750778261218	1	0.0
Contraindicated drug prescribed	1	0	1	-1.0336330119036905	1	0.0
Congenital oral malformation	1	0	1	-0.6452020701807468	1	0.0
Congenital skin dimples	1	1	0	0.8837591961222566	1	100.0
Congestive hepatopathy	1	1	0	1.324888814892689	1	100.0
Conjunctival oedema	1	0	1	-1.0406464937478388	1	0.0
Connective tissue disorder	1	0	1	-0.5501091085782677	1	0.0
Continuous haemodiafiltration	1	0	1	-0.6864530633839161	1	0.0
Complications of bone marrow transplant	1	1	0	0.7873825966683476	1	100.0
Complement factor abnormal	1	0	1	-0.577533529934577	1	0.0
Complement factor C3 decreased	1	0	1	-0.761242195786032	1	0.0
Colour blindness	1	0	1	-0.6601281601355795	1	0.0
Colorectal cancer stage III	1	1	0	0.7174572778612975	1	100.0
Colorectal cancer stage II	1	1	0	0.6694582316637452	1	100.0
Colonoscopy abnormal	1	0	1	-0.9035472507070925	1	0.0
Colonic abscess	1	0	1	-0.6419327668831902	1	0.0
Colon dysplasia	1	0	1	-0.5991219606824552	1	0.0
Colon adenoma	1	0	1	-0.6075965647086202	1	0.0
Collagen disorder	1	0	1	-1.325779251230176	1	0.0
Colectomy total	1	0	1	-1.1849359989275805	1	0.0
Coccydynia	1	0	1	-1.2537102138029277	1	0.0
Coagulation factor V level decreased	1	1	0	0.5347388089409093	1	100.0
Coagulation factor V level abnormal	1	0	1	-0.79403919428694	1	0.0
Clonic convulsion	1	0	1	-0.5921087125284794	1	0.0
Claustrophobia	1	0	1	-0.9087425375037954	1	0.0
Contraindicated drug administered	1	1	0	1.1923088351466604	1	100.0
Contraindication to vaccination	1	0	1	-0.541518149303263	1	0.0
Dairy intolerance	1	0	1	-0.6394732945593149	1	0.0
Cutaneous nocardiosis	1	1	0	0.9772737328265793	1	100.0
Crush syndrome	1	1	0	1.3113680898917988	1	100.0
Cryptococcal cutaneous infection	1	1	0	0.7082825453135979	1	100.0
Cryptococcal fungaemia	1	1	0	0.7911022601830511	1	100.0
Crystal urine present	1	1	0	1.2260046037595718	1	100.0
Cubital tunnel syndrome	1	0	1	-0.5625075094934622	1	0.0
Cutaneous leishmaniasis	1	1	0	1.588455043623345	1	100.0
Cutaneous symptom	1	0	1	-0.918520678581066	1	0.0
Coombs direct test positive	1	1	0	0.8207632863716112	1	100.0
Cystic fibrosis related diabetes	1	1	0	0.5197034712777331	1	100.0
Cystic fibrosis respiratory infection suppression	1	0	1	-0.5435850151424724	1	0.0
Cystitis escherichia	1	0	1	-1.7131614730282896	1	0.0
Cytarabine syndrome	1	1	0	2.404780796378117	1	100.0
Cytokine increased	1	1	0	0.5318724475591381	1	100.0
Cytotoxic oedema	1	0	1	-0.7763016485464833	1	0.0
Croup infectious	1	0	1	-1.2345478973533246	1	0.0
Crossmatch incompatible	1	1	0	1.7616265209742048	1	100.0
Creatinine renal clearance abnormal	1	1	0	0.7675125404060323	1	100.0
Craniofacial deformity	1	0	1	-0.6543143793971664	1	0.0
Corrective lens user	1	0	1	-0.581128194137241	1	0.0
Coronary vein stenosis	1	0	1	-0.7275045868387471	1	0.0
Coronary artery dissection	1	0	1	-1.4350274709406103	1	0.0
Coronary angioplasty	1	1	0	0.8204709037016809	1	100.0
Corona virus infection	1	1	0	0.6131263179598379	1	100.0
Corneal transplant	1	0	1	-1.121337748907047	1	0.0
Corneal epithelial microcysts	1	0	1	-1.5946740005441882	1	0.0
Corneal deposits	1	1	0	0.5127173523248816	1	100.0
Corneal abrasion	1	0	1	-1.149887915156647	1	0.0
Cornea verticillata	1	0	1	-0.653789034344137	1	0.0
Cor pulmonale acute	1	1	0	0.5879560287202281	1	100.0
Coombs positive haemolytic anaemia	1	0	1	-1.1218162441071096	1	0.0
Coombs indirect test positive	1	1	0	0.8609552948749535	1	100.0
Ductus arteriosus stenosis foetal	1	0	1	-0.5353172935870569	1	0.0
Dupuytren's contracture	1	0	1	-0.6939595544859836	1	0.0
Dysaesthesia pharynx	1	1	0	0.5580516099349948	1	100.0
Foetal exposure during delivery	1	0	1	-3.5966794944233866	1	0.0
Fingerprint loss	1	0	1	-1.0576286081741104	1	0.0
Fluid imbalance	1	1	0	0.8733952839626267	1	100.0
Fluorosis	1	1	0	1.1312281757394285	1	100.0
Foaming at mouth	1	1	0	0.5135464180554752	1	100.0
Focal nodular hyperplasia	1	0	1	-0.9319759273027541	1	0.0
Foetal death	1	0	1	-1.5835374861773015	1	0.0
Foetal heart rate deceleration abnormality	1	0	1	-0.614645708527016	1	0.0
Full blood count increased	1	1	0	0.5354690994879925	1	100.0
Foetal hypokinesia	1	0	1	-3.046427973093855	1	0.0
Foetal methotrexate syndrome	1	1	0	0.5080108627210151	1	100.0
Forced expiratory flow decreased	1	0	1	-1.0514902257878198	1	0.0
Forced expiratory volume abnormal	1	0	1	-0.7404021556563389	1	0.0
Foreign body in gastrointestinal tract	1	0	1	-0.6459482190363633	1	0.0
Fracture nonunion	1	0	1	-1.8125133781655374	1	0.0
Finger amputation	1	0	1	-0.8916762902447829	1	0.0
Fibroma	1	0	1	-0.5277133300859536	1	0.0
Fever neonatal	1	1	0	0.8166203411720581	1	100.0
Felty's syndrome	1	0	1	-1.9968133999154918	1	0.0
Febrile convulsion	1	1	0	0.648085396189293	1	100.0
Family stress	1	0	1	-0.7978327879709446	1	0.0
Familial mediterranean fever	1	1	0	0.8318131296705964	1	100.0
False negative investigation result	1	1	0	0.7262021482422929	1	100.0
Failure of child resistant product closure	1	0	1	-0.5789886215566229	1	0.0
Faecal volume decreased	1	1	0	0.6815763826856518	1	100.0
Faecal calprotectin abnormal	1	0	1	-0.5045283988730502	1	0.0
Factor VIII inhibition	1	1	0	1.716304933192367	1	100.0
Factor V inhibition	1	1	0	0.8435800930137107	1	100.0
Facial discomfort	1	0	1	-0.7841456789853751	1	0.0
Facial asymmetry	1	1	0	0.9322551898939953	1	100.0
Eyelid thickening	1	0	1	-1.397710751731934	1	0.0
Eyelid skin dryness	1	0	1	-1.0561560243519947	1	0.0
Fractured coccyx	1	0	1	-0.5790117654862565	1	0.0
Fungal endocarditis	1	1	0	0.9978627286222865	1	100.0
Dysbacteriosis	1	1	0	0.5369512078431917	1	100.0
Gastrointestinal neoplasm	1	1	0	0.6903635293610932	1	100.0
Gastrointestinal anastomotic stenosis	1	0	1	-0.5296985193683046	1	0.0
Gastrointestinal angiodysplasia	1	1	0	0.8868335964644185	1	100.0
Gastrointestinal angiodysplasia haemorrhagic	1	1	0	0.501755747101682	1	100.0
Gastrointestinal bacterial overgrowth	1	1	0	1.2857716274237472	1	100.0
Gastrointestinal fistula	1	0	1	-0.5841086200983852	1	0.0
Gastrointestinal mucosal necrosis	1	1	0	0.6031569593508266	1	100.0
Gastrointestinal oedema	1	0	1	-0.5674844250887525	1	0.0
Fungal oesophagitis	1	0	1	-0.7282001628504811	1	0.0
Gastrointestinal procedural complication	1	0	1	-0.8476095341251719	1	0.0
Gastrointestinal scarring	1	0	1	-0.6539508451782599	1	0.0
Gastrointestinal surgery	1	0	1	-0.7843771306097962	1	0.0
Gastrointestinal tract mucosal pigmentation	1	0	1	-1.2923816135372679	1	0.0
Gastrointestinal viral infection	1	0	1	-1.0453616064070104	1	0.0
Generalised bullous fixed drug eruption	1	0	1	-0.9184468657154996	1	0.0
Gastroenterostomy	1	0	1	-0.5698783849697286	1	0.0
Gastroenteropancreatic neuroendocrine tumour disease	1	1	0	1.4272959872882627	1	100.0
Gastroenteritis adenovirus	1	1	0	0.5006239483480486	1	100.0
Gastroenteritis Escherichia coli	1	0	1	-0.677756110885424	1	0.0
Gastric operation	1	0	1	-0.6314390732545478	1	0.0
Gastric mucosal lesion	1	0	1	-0.5123021731548913	1	0.0
Gastric cancer stage II	1	1	0	0.6180932338787182	1	100.0
Gastric cancer stage I	1	1	0	1.208642008744044	1	100.0
Gastric cancer stage 0	1	1	0	2.699449476363551	1	100.0
Gastrectomy	1	0	1	-0.808502187682081	1	0.0
Gas gangrene	1	0	1	-0.6408630011950107	1	0.0
Gambling disorder	1	0	1	-0.9904045714693501	1	0.0
Gallbladder polyp	1	0	1	-0.6151337282568492	1	0.0
Gallbladder perforation	1	1	0	0.5725917853393216	1	100.0
Gallbladder non-functioning	1	0	1	-1.2424319673979893	1	0.0
Gallbladder enlargement	1	0	1	-0.8141769379351769	1	0.0
Fungal pharyngitis	1	0	1	-1.1120389982854024	1	0.0
Eyelid rash	1	0	1	-0.5395951924350126	1	0.0
Eyelid pain	1	0	1	-0.7947471902547574	1	0.0
Eyelid infection	1	0	1	-0.8489039327132193	1	0.0
Embolism arterial	1	0	1	-0.9507656960332915	1	0.0
Ejection fraction	1	0	1	-0.8380187148990212	1	0.0
Elbow deformity	1	1	0	1.0926192345467762	1	100.0
Electric shock	1	0	1	-0.7844786960817949	1	0.0
Embedded device	1	0	1	-6.447123659548959	1	0.0
Embolic cerebral infarction	1	1	0	0.5300852123077018	1	100.0
Embolic stroke	1	1	0	0.9414886197938525	1	100.0
Emergency care examination	1	1	0	0.5904988307681434	1	100.0
Eyelid exfoliation	1	0	1	-1.0649180151806683	1	0.0
Enanthema	1	1	0	0.9090563509133394	1	100.0
Encephalomalacia	1	1	0	1.1854604238220827	1	100.0
Endocrine disorder	1	1	0	0.6885301380029603	1	100.0
Enterobiasis	1	0	1	-1.0885647765210176	1	0.0
Enterocolonic fistula	1	0	1	-0.5256710160318936	1	0.0
Enterostomy	1	0	1	-0.5525804403720147	1	0.0
Effusion	1	1	0	0.5913812440991048	1	100.0
Eczema infected	1	0	1	-0.523855189852517	1	0.0
Eczema eyelids	1	0	1	-0.6649406655252732	1	0.0
Ecthyma	1	0	1	-1.1254899752593084	1	0.0
Echolalia	1	0	1	-0.6895204024013539	1	0.0
Echocardiogram abnormal	1	1	0	0.6268488508405161	1	100.0
Early satiety	1	0	1	-0.8284110027387785	1	0.0
Ear, nose and throat disorder	1	0	1	-0.9097895074244589	1	0.0
Ear inflammation	1	0	1	-1.187152176033539	1	0.0
Ear infection bacterial	1	0	1	-1.350313504435539	1	0.0
Ear haemorrhage	1	1	0	0.6731097506915042	1	100.0
EGFR gene mutation	1	1	0	0.7360455934803141	1	100.0
Dyspraxia	1	0	1	-0.9794080514141181	1	0.0
Dysplastic naevus	1	1	0	0.9940073104094531	1	100.0
Dysmetria	1	0	1	-0.6715018401831836	1	0.0
Dyslexia	1	0	1	-0.6340545389019195	1	0.0
Dyslalia	1	1	0	0.8635440287772784	1	100.0
Enterovirus test positive	1	1	0	1.1434397131679566	1	100.0
Environmental exposure	1	0	1	-0.6151816402461989	1	0.0
Eosinophilic fasciitis	1	1	0	1.2210244988181036	1	100.0
Explorative laparotomy	1	0	1	-0.6859830758891166	1	0.0
Eyelid disorder	1	0	1	-0.5915239581516718	1	0.0
Eye laser surgery	1	0	1	-0.545163405448287	1	0.0
Eye infection staphylococcal	1	0	1	-0.7722356687609526	1	0.0
Eye colour change	1	0	1	-0.7255968565070929	1	0.0
Extremity contracture	1	1	0	0.6817848603799805	1	100.0
Extrapulmonary tuberculosis	1	1	0	0.5336639389546507	1	100.0
External auditory canal atresia	1	1	0	1.144074425250146	1	100.0
Expulsion of medication	1	1	0	1.8367205769144217	1	100.0
Exposure via direct contact	1	0	1	-0.5523674893358379	1	0.0
Exposure via body fluid	1	0	1	-3.624357147099871	1	0.0
Exposure to communicable disease	1	0	1	-0.5286570502825261	1	0.0
Exposure to chemical pollution	1	0	1	-1.6821245039919521	1	0.0
Exposure to allergen	1	0	1	-1.4099398630493116	1	0.0
Exposure to SARS-CoV-2	1	0	1	-0.976117141923498	1	0.0
Expired device used	1	0	1	-1.3757778376150949	1	0.0
Eosinophilic pleural effusion	1	1	0	1.0959916449601153	1	100.0
Expiratory reserve volume decreased	1	1	0	1.3000381043158376	1	100.0
Executive dysfunction	1	0	1	-0.5684536886456684	1	0.0
Excoriation	1	0	1	-0.5593844474364653	1	0.0
Excessive cerumen production	1	0	1	-1.5280524701644038	1	0.0
Evans syndrome	1	1	0	0.529426593408215	1	100.0
Euthanasia	1	1	0	0.8995492383332762	1	100.0
Essential tremor	1	1	0	0.6609423801291645	1	100.0
Epithelioid mesothelioma	1	0	1	-0.7887610500876416	1	0.0
Epiphyses premature fusion	1	0	1	-1.4655726071218442	1	0.0
Epilepsia partialis continua	1	0	1	-1.5279679031586308	1	0.0
Epiglottic cancer	1	1	0	1.002957570633738	1	100.0
Epidural lipomatosis	1	1	0	1.2670689663458314	1	100.0
Epidermodysplasia verruciformis	1	1	0	1.0532540808992126	1	100.0
Eosinophilic pneumonia acute	1	1	0	1.2469772728275794	1	100.0
Circumstance or information capable of leading to device use error	1	0	1	-0.530904918511097	1	0.0
Ciliary hyperaemia	1	1	0	0.6041879551951403	1	100.0
Chronic rhinosinusitis with nasal polyps	1	0	1	-0.605509436762834	1	0.0
Apnoeic attack	1	1	0	0.6640021417616575	1	100.0
Aortic dilatation	1	1	0	0.5534484954073902	1	100.0
Aortic disorder	1	0	1	-0.5025864288896402	1	0.0
Aortic thrombosis	1	0	1	-0.5293727118134244	1	0.0
Aortic valve replacement	1	0	1	-0.5184530947601114	1	0.0
Aortic valve sclerosis	1	0	1	-0.8810470903999188	1	0.0
Aortic valve thickening	1	1	0	0.5057416792917024	1	100.0
Appendix cancer	1	1	0	0.7918200898651397	1	100.0
Application site scar	1	0	1	-0.758127329437086	1	0.0
Appendix disorder	1	0	1	-1.0986140087823815	1	0.0
Application site acne	1	0	1	-1.2123134977232484	1	0.0
Application site bruise	1	0	1	-0.6966684286682914	1	0.0
Application site discomfort	1	0	1	-1.8568189963210147	1	0.0
Application site infection	1	1	0	0.5316254599341104	1	100.0
Application site laceration	1	1	0	0.8798582465818057	1	100.0
Aortic calcification	1	0	1	-0.6444892169998315	1	0.0
Anxiety disorder due to a general medical condition	1	0	1	-0.6176756785594169	1	0.0
Antisocial behaviour	1	1	0	0.5892674807597782	1	100.0
Antinuclear antibody increased	1	0	1	-0.5935789622501486	1	0.0
Antineutrophil cytoplasmic antibody positive	1	0	1	-2.2546169543117154	1	0.0
Antineutrophil cytoplasmic antibody	1	0	1	-0.7626328251514058	1	0.0
Antidepressant discontinuation syndrome	1	0	1	-1.1740372594757975	1	0.0
Anticonvulsant drug level decreased	1	1	0	0.985399344169636	1	100.0
Anticonvulsant drug level below therapeutic	1	0	1	-0.8001252924654221	1	0.0
Anticonvulsant drug level abnormal	1	1	0	0.7524650506869186	1	100.0
Anticoagulation drug level below therapeutic	1	0	1	-0.643814139622437	1	0.0
Antibiotic therapy	1	0	1	-0.7242600091017289	1	0.0
Antibiotic level below therapeutic	1	1	0	0.8839521638011565	1	100.0
Antibiotic level above therapeutic	1	1	0	0.6380613961178128	1	100.0
Anti-insulin antibody increased	1	1	0	0.8879597818352796	1	100.0
Anti-erythropoietin antibody positive	1	1	0	1.0527490392889742	1	100.0
Anti-erythrocyte antibody positive	1	0	1	-0.833643354451362	1	0.0
Application site oedema	1	0	1	-0.635195259892031	1	0.0
Application site ulcer	1	0	1	-1.7286717965105645	1	0.0
Basophil count decreased	1	0	1	-0.5182739040485056	1	0.0
B-cell lymphoma refractory	1	0	1	-0.7341394971465789	1	0.0
Autonomic neuropathy	1	0	1	-0.5384866933335473	1	0.0
Autophobia	1	0	1	-1.1145137090305761	1	0.0
Autoscopy	1	0	1	-1.3809572982987044	1	0.0
Axillary mass	1	0	1	-0.6434726921792174	1	0.0
B precursor type acute leukaemia	1	1	0	0.7181469668291176	1	100.0
B-cell aplasia	1	1	0	0.8987472002334931	1	100.0
B-lymphocyte abnormalities	1	0	1	-0.6375640560021973	1	0.0
Arterial intramural haematoma	1	1	0	0.5353408097983143	1	100.0
B-lymphocyte count abnormal	1	0	1	-0.9203010091428867	1	0.0
BK polyomavirus test positive	1	1	0	0.882408586616239	1	100.0
BRAF V600E mutation positive	1	1	0	0.7853838257125219	1	100.0
Bacterial endophthalmitis	1	1	0	0.5434612584287732	1	100.0
Bacterial test	1	1	0	0.9406780174089597	1	100.0
Bankruptcy	1	1	0	0.8740741474259028	1	100.0
Autoinflammatory disease	1	0	1	-0.6547521075210412	1	0.0
Autoimmune myositis	1	1	0	1.1291584609089997	1	100.0
Autoimmune myocarditis	1	1	0	1.2089357757184964	1	100.0
Autoimmune hypothyroidism	1	0	1	-0.5188089699273428	1	0.0
Autoimmune arthritis	1	1	0	0.5275543298802727	1	100.0
Autism	1	1	0	0.9662482625267805	1	100.0
Atelectasis neonatal	1	0	1	-1.305814459710958	1	0.0
Asthma exercise induced	1	0	1	-0.5605477760740802	1	0.0
Aspiration pleural cavity	1	0	1	-0.5187761571482543	1	0.0
Aspergilloma	1	1	0	0.7158387951308796	1	100.0
Arthrodesis	1	0	1	-0.7902158049568009	1	0.0
Arthritis reactive	1	0	1	-0.8269343094021168	1	0.0
Arteriovenous malformation	1	0	1	-1.3481164494256233	1	0.0
Arteriovenous fistula thrombosis	1	1	0	0.8378653935936149	1	100.0
Arteriovenous fistula site complication	1	1	0	0.6551427251826425	1	100.0
Arterial stenosis	1	0	1	-0.6958673455926483	1	0.0
Arterial rupture	1	0	1	-0.5371978492922895	1	0.0
Anti factor VIII antibody positive	1	1	0	2.879815108113207	1	100.0
Anterograde amnesia	1	0	1	-0.6460794598356161	1	0.0
Anterior chamber flare	1	1	0	0.5097343638344727	1	100.0
Adenoidal hypertrophy	1	1	0	0.8279886494633044	1	100.0
Acute monocytic leukaemia	1	1	0	0.7778045884583733	1	100.0
Acute myelomonocytic leukaemia	1	1	0	0.5558530645738387	1	100.0
Acute phase reaction	1	0	1	-1.1272015042395136	1	0.0
Acute phosphate nephropathy	1	1	0	1.4112164186499712	1	100.0
Acute promyelocytic leukaemia differentiation syndrome	1	0	1	-0.5666985355615157	1	0.0
Adenoidal disorder	1	1	0	1.0917131869220236	1	100.0
Adenovirus interstitial nephritis	1	1	0	2.9390346293795604	1	100.0
Anorectal swelling	1	0	1	-0.8051585467696536	1	0.0
Adhesive tape use	1	0	1	-2.7672884925476637	1	0.0
Adjustment disorder with depressed mood	1	0	1	-1.4252978167953287	1	0.0
Adrenal gland cancer	1	0	1	-0.5491400741612926	1	0.0
Adrenal haemorrhage	1	1	0	0.6283034862475989	1	100.0
Adverse food reaction	1	1	0	0.5678938642508184	1	100.0
Agonal respiration	1	1	0	0.7387240084411282	1	100.0
Acute lymphocytic leukaemia refractory	1	1	0	0.8069859929905938	1	100.0
Acute left ventricular failure	1	1	0	0.5252076365509284	1	100.0
Acute chest syndrome	1	1	0	0.5042986100892097	1	100.0
Activation syndrome	1	0	1	-0.8024746317386695	1	0.0
Acromegaly	1	1	0	0.731010914749608	1	100.0
Acquired aminoaciduria	1	1	0	2.1613786297308195	1	100.0
Acoustic neuroma	1	0	1	-0.6454384532455382	1	0.0
Acidosis hyperchloraemic	1	1	0	1.2318552144417123	1	100.0
Acetabulum fracture	1	0	1	-1.9267712758946516	1	0.0
Acarodermatitis	1	1	0	0.5928370955161898	1	100.0
Acanthosis	1	0	1	-0.5427289352160836	1	0.0
Abscess bacterial	1	0	1	-0.5378047461818842	1	0.0
Abdominal wall haemorrhage	1	1	0	0.614979358934364	1	100.0
Abdominal symptom	1	0	1	-0.9825213064216394	1	0.0
Abdominal rigidity	1	0	1	-0.5031943645650498	1	0.0
Abdominal compartment syndrome	1	1	0	0.8631984609423398	1	100.0
