adverse_event	n_signals	n_female_higher	n_male_higher	mean_log_ratio	n_drugs	female_pct
Joint stiffness	70	39	31	0.42126468914262427	70	55.7
Hepatic steatosis	70	30	40	-0.10233500603766602	70	42.9
Pallor	70	32	38	-0.055406242870376134	70	45.7
Vasculitis	69	13	56	-1.0843391015132366	69	18.8
Gout	69	36	33	-0.034186302762355084	69	52.2
Mucosal inflammation	69	49	20	0.3677260130138115	69	71.0
Bronchiectasis	69	22	47	-0.638872660684356	69	31.9
Pollakiuria	69	40	29	0.06143320004547614	69	58.0
Staphylococcal infection	69	40	29	0.18118970630331194	69	58.0
Accidental exposure to product	69	11	58	-0.6977804556991177	69	15.9
Disseminated intravascular coagulation	68	57	11	0.5303731969885147	68	83.8
Urinary incontinence	68	29	39	-0.15971513813635108	68	42.6
Angina pectoris	68	51	17	0.5784074751387259	68	75.0
Aggression	68	46	22	0.33603679559255284	68	67.6
Aphasia	68	41	27	0.2651037118680336	68	60.3
Intestinal obstruction	67	40	27	0.15075836759329023	67	59.7
Skin ulcer	67	44	23	0.3035561230811376	67	65.7
Feeling cold	67	22	45	-0.38495166064759717	67	32.8
Ocular hyperaemia	67	25	42	-0.2698470126751896	67	37.3
Haematoma	67	51	16	0.458353888553028	67	76.1
Tubulointerstitial nephritis	67	39	28	0.09687355265025423	67	58.2
Lip swelling	67	19	48	-0.4096230735016911	67	28.4
Psoriatic arthropathy	66	48	18	1.104608184906896	66	72.7
Neoplasm progression	66	4	62	-0.855800730562103	66	6.1
Skin disorder	66	40	26	0.15791034251830807	66	60.6
Ischaemic stroke	66	36	30	0.10640196572106857	66	54.5
Disturbance in attention	66	30	36	-0.11216951500298701	66	45.5
Injection site erythema	66	5	61	-0.7364179205288466	66	7.6
Diverticulitis	66	22	44	-0.5971793337980582	66	33.3
Flatulence	66	29	37	-0.1323242858386622	66	43.9
Joint injury	65	27	38	-0.37029170595607486	65	41.5
Deafness	65	46	19	0.38293881829142645	65	70.8
Blood test abnormal	65	38	27	0.06737774395840056	65	58.5
Product prescribing error	65	19	46	-0.5428244421495375	65	29.2
Visual acuity reduced	65	20	45	-0.3888162469920972	65	30.8
Acute hepatic failure	65	39	26	0.19170119039195946	65	60.0
Candida infection	65	22	43	-0.27505079485577266	65	33.8
Impaired work ability	65	20	45	-0.43967663491439934	65	30.8
Gastric disorder	64	26	38	-0.07516425485499664	64	40.6
Blood alkaline phosphatase increased	64	40	24	0.17158931604327463	64	62.5
Photosensitivity reaction	64	13	51	-0.7154800905397081	64	20.3
Red blood cell count decreased	64	26	38	-0.2172897337913345	64	40.6
Brain oedema	64	39	25	0.15344587856739397	64	60.9
Ventricular fibrillation	64	38	26	-0.1986611967722551	64	59.4
Drug withdrawal syndrome	64	54	10	0.5881401529935923	64	84.4
Eye swelling	64	8	56	-0.6692742479061002	64	12.5
Melaena	64	55	9	0.5697574854315509	64	85.9
Haematemesis	64	45	19	0.30357231847847777	64	70.3
Neurotoxicity	64	58	6	0.7539162691220372	64	90.6
Prescribed overdose	64	45	19	1.1361539406253789	64	70.3
Ejection fraction decreased	64	36	28	0.11244852908279065	64	56.2
Hepatic cirrhosis	64	56	8	1.2073807068749753	64	87.5
Presyncope	63	20	43	-0.34472679219579144	63	31.7
Lacrimation increased	63	23	40	-0.13838661451634907	63	36.5
Cholelithiasis	63	27	36	-0.044198170012339735	63	42.9
Cardiomyopathy	63	39	24	0.1937734456830612	63	61.9
Blindness	63	18	45	-0.38529747140257525	63	28.6
Tachypnoea	63	42	21	0.27347134503932546	63	66.7
Dyskinesia	63	41	22	0.24544041162199284	63	65.1
Nodule	63	9	54	-1.4024702940541578	63	14.3
Cystitis	63	25	38	-0.20137302163910878	63	39.7
Panic attack	63	10	53	-0.5270978839577193	63	15.9
Unresponsive to stimuli	63	47	16	0.4205753481330856	63	74.6
Throat irritation	63	19	44	-0.39318966171251496	63	30.2
Frequent bowel movements	62	37	25	0.417023592786769	62	59.7
Pneumothorax	62	39	23	0.1671929001943108	62	62.9
Hypomagnesaemia	62	44	18	0.370608930614425	62	71.0
Lung neoplasm malignant	62	43	19	0.44821716880934104	62	69.4
Cytopenia	61	51	10	0.5107172267733384	61	83.6
Diplopia	61	18	43	-0.27957608524468247	61	29.5
Pain of skin	61	0	61	-0.9032610926078797	61	0.0
Femur fracture	61	6	55	-0.7881755285749364	61	9.8
Underdose	61	44	17	0.6423865804914998	61	72.1
Rash papular	61	5	56	-0.7702576865961878	61	8.2
Neoplasm malignant	61	49	12	0.50796591144019	61	80.3
Bacteraemia	61	43	18	0.30536695670431563	61	70.5
Impaired quality of life	60	3	57	-1.149993633934242	60	5.0
Hyperbilirubinaemia	60	43	17	0.40146970109656377	60	71.7
