pt	n_drugs	n_signals	mean_bias	median_bias	n_strong	n_f_biased	n_m_biased	max_bias
Pneumonia adenoviral	3	3	0.9540606547863524	0.6044663596668375	3	3	0	1.7125657896915953
Pneumonia aspiration	213	213	0.774195675564127	0.7547330892410977	213	180	33	3.0700967670834567
Pneumonia bacterial	86	86	0.40206877109153877	0.6164612220223245	86	65	21	1.7706776141771647
Pneumonia cryptococcal	5	5	0.17042204922819304	0.5302298823042714	5	3	2	0.8664171524599443
Pneumonia cytomegaloviral	20	20	0.5522430039850165	0.6901991138083843	20	17	3	1.1568828031606653
Pneumonia fungal	46	46	0.4965069836711353	0.6697873798536764	46	36	10	1.4095030295107065
Pneumonia haemophilus	8	8	0.13555187968841856	0.03546003896447064	8	4	4	1.6096626355516048
Pneumonia influenzal	8	8	0.22085413075327054	0.5375421077502907	8	5	3	1.1290722270364668
Pneumonia klebsiella	21	21	0.7042029214921967	0.9457490924058741	21	17	4	1.5976714140163324
Pneumonia legionella	8	8	0.5068911267853743	0.6742555187681807	8	6	2	1.2761547875583945
Pneumonia mycoplasmal	2	2	-0.6301588035081964	-0.6301588035081964	2	0	2	0.7417096012150891
Pneumonia necrotising	1	1	0.8304636037595524	0.8304636037595524	1	1	0	0.8304636037595524
Pneumonia parainfluenzae viral	1	1	0.5987904826372363	0.5987904826372363	1	1	0	0.5987904826372363
Pneumonia pneumococcal	7	7	0.4737976912302192	0.6690555455053429	7	6	1	0.7759193247221509
Pneumonia pseudomonal	24	24	0.4626985471315454	0.6793977186665421	24	19	5	1.230038239128253
Pneumonia respiratory syncytial viral	5	5	0.14036243296072362	0.6001953357946003	5	3	2	1.0716964954873476
Pneumonia staphylococcal	14	14	0.07195111019929208	0.5062747245433561	14	8	6	1.0894517952247196
Pneumonia streptococcal	7	7	-0.1123224792536914	-0.5407824777854398	7	3	4	1.352255729689606
Pneumonia viral	43	43	0.3837211220723878	0.64568707009943	43	26	17	2.0306846065092055
Pneumonitis	127	127	0.08274519302406724	0.5346493591051604	127	70	57	1.236796990045937
Pneumonitis aspiration	1	1	-0.8753952489781477	-0.8753952489781477	1	0	1	0.8753952489781477
Pneumoperitoneum	15	15	-0.006055024480000526	-0.5187493407521725	15	7	8	1.706803968753887
Pneumothorax	119	119	0.3119247422427988	0.6083882936113449	119	87	32	3.042362276214348
Pneumothorax spontaneous	6	6	0.194007507470232	0.5177539936870914	6	4	2	0.6467243379069446
Poisoning	67	67	0.13724084774905945	0.5812512956121072	67	40	27	1.887478260938433
Poisoning deliberate	42	42	-0.3452254456342797	-0.6211152436819691	42	13	29	1.9217606349441607
Pollakiuria	127	127	0.14937299809041538	0.5756913930011776	127	80	47	2.6771946475543977
Polyarteritis nodosa	2	2	-0.794217664614679	-0.794217664614679	2	0	2	0.8779799305513071
Polyarthritis	30	30	-0.11707125986267432	-0.5997683694084532	30	12	18	2.4369272977034298
Polychondritis	4	4	-1.2647148606378187	-1.4251896046578008	4	0	4	1.5950328181890228
Polycythaemia	16	16	0.6630889934052554	0.7435164377341207	16	15	1	1.2719967054042012
Polycythaemia vera	2	2	1.118867350787242	1.118867350787242	2	2	0	1.3278700599976077
Polydactyly	5	5	1.3191989653917486	1.5314525718095913	5	5	0	1.687037497355078
Polydipsia	33	33	0.4630104999626993	0.7443140578691223	33	25	8	1.4233735265870935
