drug_name	n_aes	n_signals	mean_bias	n_strong	n_f_biased	n_m_biased	max_bias
FERROUS FUMARATE	99	99	0.15436832583979268	99	54	45	2.334518822675192
FERROUS GLUCONATE	86	86	0.2757443878642228	86	55	31	2.1464857869153744
FERROUS GLYCINE SULFATE	32	32	-0.4023319076946956	32	9	23	1.5419193688816153
FERROUS SULFATE	208	208	0.1762504162069488	208	130	78	1.985210255721822
FERROUS SULFATE ANHYDROUS	23	23	-0.5467920681373275	23	6	17	2.165375196393745
FERUMOXYTOL	1	1	0.5581808350174212	1	1	0	0.5581808350174212
FERUMOXYTOL NON-STOICHIOMETRIC MAGNETITE	6	6	-0.7858002316624182	6	0	6	0.9940556392153344
FESOTERODINE FUMARATE	77	77	-1.1540838249837178	77	8	69	4.164145736632831
FEXOFENADINE HCL OTC	2	2	-0.7466405992652123	2	0	2	0.7645525660772162
FEXOFENADINE HYDROCHLORIDE	133	133	-0.2572877583402118	133	46	87	1.6692227570787839
FEXOFENADINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE	9	9	-0.5674998393480274	9	1	8	0.8837439613512866
FEXOFENADINE\PSEUDOEPHEDRINE	11	11	-0.7220301457289006	11	0	11	1.029793498742665
FEZOLINETANT	2	2	-4.801393714917824	2	0	2	4.968096177378
FIBRINOGEN HUMAN	1	1	-0.5014273737910167	1	0	1	0.5014273737910167
FIBRINOGEN HUMAN\THROMBIN HUMAN	1	1	-0.8879418838752199	1	0	1	0.8879418838752199
FIDAXOMICIN	7	7	-0.2352012931725876	7	2	5	0.803604580495864
FIG FRUIT OIL\SORBITOL	1	1	0.5483812226290109	1	1	0	0.5483812226290109
