drug	n_signals	n_ae	n_trials	signal_rate
DRUG:TENOFOVIR	114	550	0	0.20727272727272728
DRUG:BENDAMUSTINE	113	576	0	0.19618055555555555
DRUG:CABOZANTINIB	112	844	0	0.13270142180094788
DRUG:UNSPECIFIED	112	674	0	0.1661721068249258
DRUG:CARVEDILOL	112	697	0	0.1606886657101865
DRUG:CLONIDINE	111	619	0	0.17932148626817448
DRUG:AZACITIDINE	111	517	0	0.21470019342359767
DRUG:LOPERAMIDE	111	606	0	0.18316831683168316
DRUG:FAMPRIDINE	110	1000	0	0.11
DRUG:OXCARBAZEPINE	108	558	0	0.1935483870967742
DRUG:DARATUMUMAB	108	616	0	0.17532467532467533
DRUG:MIDAZOLAM	107	597	0	0.17922948073701842
DRUG:METHADONE	107	623	0	0.17174959871589085
DRUG:PAMIDRONIC ACID	107	744	0	0.14381720430107528
DRUG:BUSULFAN	106	495	0	0.21414141414141413
DRUG:ENOXAPARIN	105	840	6	0.125
DRUG:ATOMOXETINE	105	447	0	0.2348993288590604
DRUG:AMPHOTERICIN B	105	503	0	0.20874751491053678
DRUG:PEGFILGRASTIM	104	693	0	0.15007215007215008
DRUG:BOSENTAN	104	864	0	0.12037037037037036
DRUG:NINTEDANIB	103	746	0	0.1380697050938338
DRUG:PAZOPANIB	103	573	0	0.17975567190226877
DRUG:SARILUMAB	103	552	0	0.18659420289855072
DRUG:VALACICLOVIR	103	592	0	0.17398648648648649
DRUG:RITONAVIR	102	548	0	0.18613138686131386
DRUG:DAUNORUBICIN	102	473	0	0.2156448202959831
DRUG:DARBEPOETIN ALFA	102	528	0	0.19318181818181818
DRUG:TRASTUZUMAB	101	1378	0	0.07329462989840348
DRUG:VINCRISTINE SULFATE	101	462	0	0.21861471861471862
DRUG:LIRAGLUTIDE	101	624	0	0.16185897435897437
DRUG:BASILIXIMAB	101	491	0	0.20570264765784113
DRUG:ANAKINRA	100	614	0	0.16286644951140064
DRUG:FOLIC ACID	100	424	0	0.2358490566037736
DRUG:MINOCYCLINE	100	477	0	0.20964360587002095
DRUG:METOCLOPRAMIDE	100	681	0	0.14684287812041116
DRUG:HYDROXYCHLOROQUINE SULFATE	99	633	0	0.15639810426540285
DRUG:LACOSAMIDE	98	639	0	0.15336463223787167
DRUG:CLINDAMYCIN	98	741	0	0.13225371120107962
DRUG:GLYCERYL TRINITRATE	98	441	0	0.2222222222222222
DRUG:IFOSFAMIDE	98	544	0	0.1801470588235294
DRUG:METAMIZOLE	98	583	0	0.1680960548885077
DRUG:LISDEXAMFETAMINE	97	498	0	0.19477911646586346
DRUG:IRBESARTAN	97	569	0	0.1704745166959578
DRUG:EMPAGLIFLOZIN	96	762	0	0.12598425196850394
DRUG:MERCAPTOPURINE	96	509	0	0.18860510805500982
DRUG:PRAMIPEXOLE	95	424	0	0.2240566037735849
DRUG:MACITENTAN	95	1237	0	0.07679870654810024
DRUG:TIRZEPATIDE	95	657	0	0.1445966514459665
DRUG:NALTREXONE	95	551	0	0.1724137931034483
DRUG:EZETIMIBE	94	585	0	0.1606837606837607
